,Value
Total Trading Days,497.0
Mean Daily Return (%),-0.20015716580305887
Median Daily Return (%),-0.08621581542918033
Std Deviation (%),3.371579212490966
Min Daily Return (%),-26.77817727059559
Max Daily Return (%),15.999344154779482
Win Rate (%),47.68611670020121
Average Win (%),1.8661236067706222
Average Loss (%),-2.0836515623413763
10th Percentile (%),-2.798343189815493
25th Percentile (%),-1.273083897709193
50th Percentile (%),-0.08621581542918033
75th Percentile (%),0.9632128863735323
90th Percentile (%),2.721617945255123
Skewness,-1.5143262214897093
Kurtosis,14.372774150264565
