Date,Open (Unit Curr),High (Unit Curr),Low (Unit Curr),Close (Unit Curr),Volume (000's),No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x),Open,High,Low,Close,Volume,Daily_Return,Year,Month,Month_Name,Weekday,Day_of_Month,Week_of_Year,Quarter,Overnight,Intraday
2000-01-05,131.2578125,131.2578125,121.5421875,121.5421875,119.252,6821,187.9852185,51447.38836,387.0688076,,5357.0,89.56235059,,265.6547659,,101.0970355,,131.2578125,131.2578125,121.5421875,121.5421875,119.252,-7.999905382550187,2000,1,January,Wednesday,5,1,1,-0.6457640950432326,-7.4019403606928185
2000-01-12,93.75,104.21875,90.6328125,101.5703125,166.557,10044,213.4823435,42993.52694,323.4654613,,5491.2,74.8454189,,221.6558314,,84.48471843,,93.75,104.21875,90.6328125,101.5703125,166.557,3.149384517991005,2000,1,January,Wednesday,12,2,1,-4.7925071751486845,8.341666666666667
2000-01-19,96.0859375,103.046875,96.0859375,101.5566406,173.316,12284,221.2675784,42987.7398,323.4219212,,5478.24,74.83534433,,221.6257117,,84.47334636,,96.0859375,103.046875,96.0859375,101.5566406,173.316,6.203022849673201,2000,1,January,Wednesday,19,3,1,0.4820261437908497,5.693552295308556
2000-02-02,115.390625,117.1835938,113.90625,114.6875,82.782,4931,61.0125956,48554.6138,365.3047719,,5304.92,84.52557923,,250.5990426,,95.41256946,,115.390625,117.1835938,113.90625,114.6875,82.782,-0.35297311973934153,2000,2,February,Wednesday,2,5,1,0.25794189519413524,-0.6093432633716994
2000-02-09,139.0625,142.1875,133.9882813,135.609375,152.903,7576,135.6271076,57412.19253,431.9455197,,5649.1,99.94516378,,296.6991627,,112.8182139,,139.0625,142.1875,133.9882813,135.609375,152.903,-2.2635135135135154,2000,2,February,Wednesday,9,6,1,0.22522522522522523,-2.4831460674157304
2000-02-16,154.6875,160.15625,147.65625,155.4617188,122.805,6927,122.604441,65816.96972,495.1795767,,5725.5,114.5764955,,340.4426336,,129.3340777,,154.6875,160.15625,147.65625,155.4617188,122.805,-0.30511018837675596,2000,2,February,Wednesday,16,7,1,-0.8016032064128256,0.5005050828282828
2000-02-23,157.03125,159.0625,143.6070313,143.6070313,131.394,7870,126.8310782,60798.11611,457.4198041,,5642.46,105.8394986,,314.3215275,,119.4717458,,157.03125,159.0625,143.6070313,143.6070313,131.394,-7.999499467467475,2000,2,February,Wednesday,23,8,1,0.6006006006006006,-8.548756187064683
2000-03-01,137.5,146.8898438,137.5,146.8898438,90.905,3919,84.2710732,62187.94232,467.87628,,5642.12,108.258957,,321.5550116,,122.2028331,,137.5,146.8898438,137.5,146.8898438,90.905,7.999793249546205,2000,3,March,Wednesday,1,9,1,1.0959722445603433,6.828977309090904
2000-03-08,215.8265625,215.8265625,187.5,193.56875,359.148,17052,474.1645925,81950.13319,616.558806,,5511.42,142.6616738,,424.4092339,,161.0366588,,215.8265625,215.8265625,187.5,193.56875,359.148,-3.1380597986636394,2000,3,March,Wednesday,8,10,1,7.999765410144892,-10.312823520042858
2000-03-15,142.359375,158.140625,142.3554688,151.6765625,186.399,9983,175.54963,64214.46901,483.1230261,,5249.76,111.7868059,,332.1022646,,126.185073,,142.359375,158.140625,142.3554688,151.6765625,186.399,-1.9756739470236484,2000,3,March,Wednesday,15,11,1,-7.997112001414649,6.544835912633074
2000-03-22,156.234375,162.7625,155.484375,162.7625,54.694,2894,56.0165461,68907.86118,518.4341618,,5201.87,119.957228,,356.5294753,,135.4078547,,156.234375,162.7625,155.484375,162.7625,54.694,7.999834114378124,2000,3,March,Wednesday,22,12,1,3.6681458134616105,4.178417841784171
2000-03-29,157.03125,164.84375,157.03125,161.6109375,103.066,7878,106.030515,68420.33052,514.7661834,,5102.46,119.1085175,,353.9920751,,134.4498293,,157.03125,164.84375,157.03125,161.6109375,103.066,2.945099132096507,2000,3,March,Wednesday,29,13,1,0.027868460864711286,2.9164179104477648
2000-04-05,117.7289063,127.146875,108.625,122.0390625,435.802,21851,333.6757008,51667.00424,180.6863454,,4757.06,62.00268618,,135.0770882,,58.55787892,,117.7289063,127.146875,108.625,122.0390625,435.802,3.6610857396540686,2000,4,April,Wednesday,5,14,2,0.0,3.6610857396540637
2000-04-12,165.53125,165.546875,155.859375,157.30625,222.49,15711,227.5034503,66597.87873,232.9015877,,5426.82,79.92039477,,174.4410144,,75.48009754,,165.53125,165.546875,155.859375,157.30625,222.49,-5.254143178460168,2000,4,April,Wednesday,12,15,2,-0.30020986457617366,-4.96885029261846
2000-04-19,124.84375,131.09375,112.9523438,112.9523438,327.215,18733,248.8665576,47820.01028,167.2328989,,4665.81,57.38612358,,124.9348299,,54.19780793,,124.84375,131.09375,112.9523438,112.9523438,327.215,-7.999363624562528,2000,4,April,Wednesday,19,16,2,1.6862869869551385,-9.525031249061332
2000-04-26,115.15625,123.1109375,115.15625,123.1109375,198.532,9271,155.0040622,52120.79804,182.2733223,,4792.95,62.54725877,,136.2734753,,59.07219561,,115.15625,123.1109375,115.15625,123.1109375,198.532,7.999451716811734,2000,4,April,Wednesday,26,17,2,1.0211774381468028,6.907734056987794
2000-05-03,122.1875,123.28125,109.5484375,120.3125,323.943,19403,242.4283538,50936.039,178.1300633,,4335.29,61.12549562,,133.1499632,,57.7294242,,122.1875,123.28125,109.5484375,120.3125,323.943,-2.184959349593496,2000,5,May,Wednesday,3,18,2,-0.660569105691057,-1.5345268542199488
2000-05-10,124.390625,125.46875,117.984375,120.3125,261.832,16612,202.7419817,50936.039,178.1300633,,4458.4,61.12549562,,133.1499632,,57.7294242,,124.390625,125.46875,117.984375,120.3125,261.832,-2.8391167192429068,2000,5,May,Wednesday,10,19,2,0.45425867507886436,-3.278482602688104
2000-05-17,108.90625,116.390625,107.0625,109.2695313,366.848,22155,264.8590002,46260.83828,161.7802682,,4234.23,55.51504834,,120.8242112,,52.43068776,,108.90625,116.390625,107.0625,109.2695313,366.848,0.9126984588744502,2000,5,May,Wednesday,17,20,2,0.5772005772005772,0.33357249928263716
2000-05-24,96.171875,96.171875,89.875,94.140625,479.098,26326,285.3630097,39855.79675,139.3809911,,3933.65,47.82871573,,103.9378874,,45.1714001,,96.171875,96.171875,89.875,94.140625,479.098,-2.5080906148867266,2000,5,May,Wednesday,24,21,2,-0.40453074433656955,-2.1121039805036554
2000-05-31,98.8125,109.6460938,98.8125,109.21875,355.661,18141,246.99219,46239.3393,161.7050835,,4433.61,55.48924862,,120.7675311,,52.40632145,,98.8125,109.6460938,98.8125,109.21875,355.661,11.563322959061528,2000,5,May,Wednesday,31,22,2,0.9336844625329183,10.531309297912713
2000-06-07,124.21875,125.59375,120.390625,121.0226563,408.773,23844,321.198358,51236.69393,179.1814934,,4604.84,61.48629481,,133.9426133,,58.07017775,,124.21875,125.59375,120.390625,121.0226563,408.773,-3.0321809280948853,2000,6,June,Wednesday,7,23,2,-0.47135269052746515,-2.5729559345911994
2000-06-14,122.484375,123.746875,121.09375,122.5992188,255.831,14988,200.5959687,51904.15449,181.5156912,,4625.04,62.28727696,,135.7023139,,58.82665812,,122.484375,123.746875,121.09375,122.5992188,255.831,0.5568442912250671,2000,6,June,Wednesday,14,24,2,0.46264850247985195,0.0937620002551368
2000-06-21,137.8109375,139.65625,131.4375,131.8632813,437.688,20379,379.6665183,55826.2295,195.2317061,,4731.57,66.99394012,,146.0425167,,63.27182379,,137.8109375,139.65625,131.4375,131.8632813,437.688,-3.8218265995031087,2000,6,June,Wednesday,21,25,2,0.5162628495885769,-4.315808532976552
2000-06-28,126.578125,128.90625,125.3929688,128.8609375,207.133,11674,168.730304,54555.1438,190.7865513,,4748.8,65.46858116,,142.691412,,61.83121225,,126.578125,128.90625,125.3929688,128.8609375,207.133,1.0903206825703116,2000,6,June,Wednesday,28,26,2,-0.7005265063474378,1.803481051722014
2000-07-05,136.25,136.703125,133.59375,133.8125,251.137,13310,216.7613823,56651.45948,198.1176445,,4912.11,59.34559055,,148.2181624,,64.20711543,,136.25,136.703125,133.59375,133.8125,251.137,-1.88519288014245,2000,7,July,Wednesday,5,27,3,-0.09795445058876273,-1.7889908256880735
2000-07-12,129.0632813,131.203125,126.1140625,131.1296875,481.656,22618,395.5083548,55515.65196,194.1455754,,4964.28,58.15576829,,145.2237066,,62.91982424,,129.0632813,131.203125,126.1140625,131.1296875,481.656,1.3856673431912547,2000,7,July,Wednesday,12,28,3,-0.21201793756644885,1.6010798572498315
2000-07-19,116.4375,116.734375,112.6570313,114.0070313,514.643,24843,378.1865665,48266.5275,168.7944286,,4616.01,50.56190264,,126.112033,,54.70387756,,116.4375,116.734375,112.6570313,114.0070313,514.643,-2.403643585576587,2000,7,July,Wednesday,19,29,3,-0.32302726924504566,-2.0873590552871764
2000-07-26,112.578125,113.09375,103.2335938,103.2539063,584.657,27422,401.5503918,43714.03633,152.8737651,,4191.27,45.79291205,,114.1097938,,49.54421655,,112.578125,113.09375,103.2335938,103.2539063,584.657,-7.981675006364819,2000,7,July,Wednesday,26,30,3,0.3279281592088878,-8.282442703678004
2000-08-02,105.625,105.625,101.28125,103.8578125,412.513,22315,271.4569143,43969.70878,153.7678854,,4260.88,46.06074333,,114.7838515,,49.83398827,,105.625,105.625,101.28125,103.8578125,412.513,-2.0324843768423584,2000,8,August,Wednesday,2,31,3,-0.36552293361632154,-1.6730769230769285
2000-08-09,117.65625,121.875,117.4023438,118.6101563,627.392,32166,480.6580322,50215.32712,175.6096386,,4317.04,52.60337987,,131.2498703,,56.91259033,,117.65625,121.875,117.4023438,118.6101563,627.392,1.0287805685187612,2000,8,August,Wednesday,9,32,3,0.21627012867182893,0.8107570146082337
2000-08-16,114.6875,121.546875,114.6875,121.0820313,541.432,27677,413.6647852,51261.8312,179.2694017,,4325.67,53.69965175,,134.0088855,,58.09866759,,114.6875,121.546875,114.6875,121.0820313,541.432,6.181018474575151,2000,8,August,Wednesday,16,33,3,0.573432949194656,5.575613122615801
