,Value
Total Trading Days,1285.0
Mean Daily Return (%),0.1034703505794162
Median Daily Return (%),0.039999999999995595
Std Deviation (%),2.141463559806112
Min Daily Return (%),-15.999481294171048
Max Daily Return (%),15.999344154779482
Win Rate (%),51.050583657587545
Average Win (%),1.506546005923394
Average Loss (%),-1.3641703020593245
10th Percentile (%),-2.0044988391468532
25th Percentile (%),-0.9199845380750027
50th Percentile (%),0.039999999999995595
75th Percentile (%),1.063170596484353
90th Percentile (%),2.36174728140373
Skewness,0.25229071065036723
Kurtosis,7.667443912609432
