Date,Open (Unit Curr),High (Unit Curr),Low (Unit Curr),Close (Unit Curr),Volume (000's),No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x),Open,High,Low,Close,Volume,Daily_Return,Year,Month,Month_Name,Weekday,Day_of_Month,Week_of_Year,Quarter,Overnight,Intraday
2000-01-07,102.875,102.875,102.8738281,102.8738281,5.444,348,7.1685785,43545.28988,327.6166967,,5414.48,75.80595718,,224.5275347,,85.5689639,,102.875,102.875,102.8738281,102.8738281,5.444,-7.999804373384711,2000,1,January,Friday,7,1,1,-7.998756341720621,-0.0011391494532226284
2000-01-14,93.453125,96.1953125,87.59375,94.3828125,142.981,9503,170.1244662,39951.14214,300.5758201,,5471.27,69.54907359,,205.8214473,,78.50625978,,93.453125,96.1953125,87.59375,94.3828125,142.981,0.4569247538225518,2000,1,January,Friday,14,2,1,-0.5325938328594275,0.9948169202474502
2000-01-21,98.0859375,106.25,97.3984375,105.7382813,184.521,13595,240.7091701,44757.77943,336.7389651,,5423.05,77.91672349,,230.8380531,,87.95157462,,98.0859375,106.25,97.3984375,105.7382813,184.521,7.141584944323842,2000,1,January,Friday,21,3,1,-0.6123167948646295,7.801672691358022
2000-01-28,115.21875,118.75,115.21875,117.96875,268.267,11053,201.4857809,49943.7785,375.7562708,,5335.8,86.94388599,,257.8290839,,98.14235687,,115.21875,118.75,115.21875,117.96875,268.267,3.311439518336079,2000,1,January,Friday,28,4,1,0.9031198686371099,2.386764307024681
2000-02-04,116.796875,124.21875,116.796875,122.5625,266.961,12383,207.5748425,51888.60908,390.3883693,,5313.59,90.32951546,,267.9511416,,101.9640592,,116.796875,124.21875,116.796875,122.5625,266.961,5.288590604026844,2000,2,February,Friday,4,5,1,0.33557046979865773,4.936454849498328
2000-02-11,144.53125,155.6710938,144.53125,155.6710938,63.176,1688,62.9201761,65905.61166,495.8464819,,5933.56,114.7308065,,340.9039791,,129.5082642,,144.53125,155.6710938,144.53125,155.6710938,63.176,7.9994580292682915,2000,2,February,Friday,11,6,1,0.27100271002710025,7.7075676021621575
2000-02-18,162.8125,165.609375,152.734375,153.75,158.041,9293,159.3345773,65092.2888,489.7273781,,5721.65,113.3149455,,336.6709621,,127.9100386,,162.8125,165.609375,152.734375,153.75,158.041,-4.156155337158007,2000,2,February,Friday,18,7,1,1.4931769702046351,-5.566218809980806
2000-02-25,146.875,146.875,136.4835938,136.4992188,160.333,8074,146.2148193,57788.92077,434.7798667,,5623.08,100.6009855,,298.659881,,113.5585063,,146.875,146.875,136.4835938,136.4992188,160.333,-7.9893622286587025,2000,2,February,Friday,25,8,1,-0.9953130759913634,-7.064361668085111
2000-03-03,170.3125,171.33125,170.3125,171.33125,24.665,1124,27.0397024,72535.56556,545.7275047,,5378.27,126.2724634,,375.4102116,,142.5364995,,170.3125,171.33125,170.3125,171.33125,24.665,7.9996060277750525,2000,3,March,Friday,3,9,1,7.357431301093273,0.5981651376146856
2000-03-10,187.484375,197.7390625,179.53125,182.8125,201.023,11193,243.8038557,77396.319,582.2977971,,5301.78,134.7342339,,400.7084701,,152.0881557,,187.484375,197.7390625,179.53125,182.8125,201.023,-0.15275774669522013,2000,3,March,Friday,10,10,1,2.3988939997781205,-2.4918743228602382
2000-03-24,158.609375,172.2929688,151.5625,166.7679688,179.594,8641,191.3824316,70603.63437,531.1924558,,5141.42,122.9092896,,365.3552899,,138.7401452,,158.609375,172.2929688,151.5625,166.7679688,179.594,4.536239012732612,2000,3,March,Friday,24,12,1,-0.5778648383937317,5.143828225790566
2000-03-31,150.015625,150.015625,139.0929688,139.0929688,102.306,8496,92.0137141,58887.02239,205.9357035,,5001.28,70.66702672,,154.1120257,,66.74083737,,150.015625,150.015625,139.0929688,139.0929688,102.306,-7.999689921455156,2000,3,March,Friday,31,13,1,-0.7751136833402232,-7.281012361212377
2000-04-07,142.3453125,142.3453125,142.3453125,142.3453125,9.336,448,8.5051893,60263.94921,210.7509987,,5219.2,72.3193997,,157.7421711,,68.30140615,,142.3453125,142.3453125,142.3453125,142.3453125,9.336,7.999715481369973,2000,4,April,Friday,7,14,2,7.999715481369971,0.0
2000-04-28,125.78125,131.25,124.5507813,126.5625,243.466,15408,198.7028371,53582.067,187.3835731,,4657.55,64.30084604,,140.1259813,,60.72835532,,125.78125,131.25,124.5507813,126.5625,243.466,1.6630059617194881,2000,4,April,Friday,28,17,2,1.0354565422026984,0.6211180124223602
2000-05-05,128.0,136.328125,128.0,132.8125,304.992,19370,260.8228002,56228.095,196.6370829,,4693.88,67.47619647,,147.1019995,,63.72728645,,128.0,136.328125,128.0,132.8125,304.992,4.01370533529124,2000,5,May,Friday,5,18,2,0.24473813020068524,3.759765625
2000-05-12,111.375,114.046875,105.703125,106.71875,346.466,22336,242.4298757,45180.9281,158.0036795,,4107.14,54.21910845,,117.9771238,,51.206749,,111.375,114.046875,105.703125,106.71875,346.466,-5.006954102920725,2000,5,May,Friday,12,19,2,-0.8623087621696801,-4.1806958473625135
2000-05-19,107.421875,107.421875,98.4375,100.890625,496.288,24462,324.4515097,42713.50699,149.3747817,,4068.65,51.25809419,,111.4719869,,48.41024572,,107.421875,107.421875,98.4375,100.890625,496.288,-6.879146235938849,2000,5,May,Friday,19,20,2,-0.8508797231035478,-6.08
2000-05-26,94.84375,95.9375,91.109375,93.59375,410.476,22163,245.0450214,39624.2693,138.571309,,4084.71,47.55087257,,103.3274858,,44.90899363,,94.84375,95.9375,91.109375,93.59375,410.476,-0.6279187438307243,2000,5,May,Friday,26,21,2,0.6992542946489981,-1.3179571663920924
2000-06-02,109.21875,119.0625,109.21875,117.578125,393.002,19606,290.8558869,49778.40175,174.0816528,,4453.47,59.73627981,,130.0979553,,56.41739183,,109.21875,119.0625,109.21875,117.578125,393.002,8.012286846184757,2000,6,June,Friday,2,22,2,0.3330079807085006,7.65379113018598
2000-06-09,123.75,127.65625,122.65625,122.8148438,403.812,21026,324.2805356,51995.44246,181.8349373,,4729.63,62.39682655,,135.9429865,,58.93012125,,123.75,127.65625,122.65625,122.8148438,403.812,-0.6157658822748657,2000,6,June,Friday,9,23,2,0.1409812652343694,-0.7556817777777733
2000-06-16,129.6875,132.34375,127.359375,131.7140625,438.07,20865,366.245517,55763.05558,195.0107785,,4764.67,66.91812863,,145.8759643,,63.20022431,,129.6875,132.34375,127.359375,131.7140625,438.07,1.6067209874162325,2000,6,June,Friday,16,24,2,0.043392314738927296,1.5626506024096474
2000-06-23,132.421875,132.421875,127.5,128.1601563,297.814,16057,245.8137651,54258.45791,189.7490015,,4721.7,65.112545,,141.909226,,61.49495709,,132.421875,132.421875,127.5,128.1601563,297.814,-3.5630723995626057,2000,6,June,Friday,23,25,2,-0.35624845684454726,-3.2182890477876023
2000-06-30,130.078125,130.390625,127.34375,129.9820313,212.825,12427,175.7648158,55029.77507,192.4463996,,4748.77,57.64678491,,143.9427353,,62.36914552,,130.078125,130.390625,127.34375,129.9820313,212.825,-0.38438740487848344,2000,6,June,Friday,30,26,2,-0.31074312730953785,-0.07387383543544428
2000-07-07,132.46875,134.171875,132.2070313,132.5476563,190.15,10956,161.9834204,56115.96956,196.2449654,,4905.94,58.78463474,,146.8063907,,63.60020674,,132.46875,134.171875,132.2070313,132.5476563,190.15,0.34065706584378574,2000,7,July,Friday,7,27,3,0.28092375776691864,0.059565973106864734
2000-07-14,124.140625,124.984375,119.53125,120.809375,886.972,34248,690.3889634,51146.39823,178.8657173,,4856.82,53.57872922,,133.7045567,,57.96783922,,124.140625,124.984375,119.53125,120.809375,886.972,-2.9217151108041906,2000,7,July,Friday,14,28,3,-0.2448364617992341,-2.683448709880426
2000-07-21,114.84375,117.0,113.3125,113.5484375,465.616,23078,344.4174088,48072.3752,168.1154524,,4463.66,50.35851718,,125.6001676,,54.48383098,,114.84375,117.0,113.3125,113.5484375,465.616,-1.0073491280915503,2000,7,July,Friday,21,29,3,0.12191712079469094,-1.12789115646258
2000-07-28,106.640625,110.15625,105.234375,108.6570313,553.974,27203,382.4365393,46001.52753,160.8734243,,4276.7,48.18918776,,120.1405615,,52.13679251,,106.640625,110.15625,105.234375,108.6570313,553.974,2.538374249104236,2000,7,July,Friday,28,30,3,0.6355151211312517,1.8908425377289377
