Date,Open (Unit Curr),High (Unit Curr),Low (Unit Curr),Close (Unit Curr),Volume (000's),No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x),Open,High,Low,Close,Volume,Daily_Return,Year,Month,Month_Name,Weekday,Day_of_Month,Week_of_Year,Quarter,Overnight,Intraday
2000-01-03,117.2734375,122.4804688,117.2734375,122.4804688,29.722,691,46.5888391,51844.55185,390.0569009,,5375.11,90.25375393,,267.7218415,,101.8774843,,117.2734375,122.4804688,117.2734375,122.4804688,29.722,,2000,1,January,Monday,3,1,1,,4.440077319299178
2000-01-10,103.515625,110.9375,94.64414063,107.03125,286.845,12955,379.6765224,45305.078,340.8566125,,5518.39,78.86948996,,233.6865212,,89.02704734,,103.515625,110.9375,94.64414063,107.03125,286.845,4.041282391045775,2000,1,January,Monday,10,2,1,0.6238680059384344,3.3962264150943398
2000-01-17,101.171875,101.546875,91.8046875,92.57617188,117.054,6972,143.6860121,39186.41227,294.8223098,,5404.07,68.21779114,,201.8413371,,77.00352221,,101.171875,101.546875,91.8046875,92.57617188,117.054,-1.9141627295753638,2000,1,January,Monday,17,3,1,7.1931131528846945,-8.496138991196906
2000-01-24,114.046875,114.196875,109.765625,111.71875,278.145,12598,201.2046722,47297.7505,355.8486538,,5458.06,82.3375874,,244.0575768,,92.9427618,,114.046875,114.196875,109.765625,111.71875,278.145,5.6559163119289435,2000,1,January,Monday,24,4,1,7.8576969455621395,-2.041375530894643
2000-01-31,115.609375,117.1875,110.953125,112.578125,96.083,6556,70.6656065,47661.57935,358.5859511,,5205.29,82.97095345,,245.951159,,93.65770613,,115.609375,117.1875,110.953125,112.578125,96.083,-4.5695364238410585,2000,1,January,Monday,31,5,1,-2.0,-2.621975942694959
2000-02-07,128.125,132.3671875,127.578125,132.3671875,228.012,9694,191.0760276,56039.56551,421.6184434,,5474.0,97.55564638,,289.5551934,,110.120924,,128.125,132.3671875,127.578125,132.3671875,228.012,7.999745028046923,2000,2,February,Monday,7,6,1,4.5385007649158595,3.3109756097560976
2000-02-14,168.1242188,168.1242188,168.1242188,168.1242188,34.545,284,37.1702472,71177.82245,535.5124087,,5924.31,123.9088564,,368.343707,,139.8684573,,168.1242188,168.1242188,168.1242188,168.1242188,34.545,7.999638658670483,2000,2,February,Monday,14,7,1,7.99963865867049,0.0
2000-02-21,155.46875,165.625,153.140625,160.546875,235.875,12147,243.1701405,67969.84425,511.3769116,,5876.89,118.3242952,,351.6474761,,133.5645983,,155.46875,165.625,153.140625,160.546875,235.875,4.4207317073170715,2000,2,February,Monday,21,8,1,1.1178861788617886,3.2663316582914574
2000-02-28,135.9375,138.90625,125.5796875,133.59375,158.538,8368,132.9748005,56558.8485,425.5253133,,5740.69,98.45963248,,292.2578516,,111.1413445,,135.9375,138.90625,125.5796875,133.59375,158.538,-2.1285607533454987,2000,2,February,Monday,28,9,1,-0.4115179595445379,-1.7241379310344827
2000-03-06,185.034375,185.0375,184.359375,185.0375,6.06,185,7.1763158,78338.30497,589.3849088,,5520.69,136.3740762,,405.6111267,,153.9392115,,185.034375,185.0375,184.359375,185.0375,6.06,7.999854083828839,2000,3,March,Monday,6,10,1,7.998030131689345,0.0016888753778766495
2000-03-13,187.46875,192.109375,168.1882813,168.1882813,110.135,6934,124.5890862,71204.94423,535.7164618,,5129.22,123.956071,,368.4848649,,139.9217532,,187.46875,192.109375,168.1882813,168.1882813,110.135,-7.999572622222217,2000,3,March,Monday,13,11,1,2.547008547008547,-10.284630745124188
2000-03-27,171.09375,173.046875,161.265625,163.1507813,149.172,11138,158.380073,69072.24567,519.6709225,,5146.3,120.2433943,,357.3850302,,135.7308796,,171.09375,173.046875,161.265625,163.1507813,149.172,-2.168994157587889,2000,3,March,Monday,27,13,1,2.5938921191681468,-4.64246572420091
2000-04-03,132.015625,137.5,127.965625,127.965625,120.919,5361,99.9034986,54176.10029,189.460986,,5052.94,65.01371221,,141.6920974,,61.40161536,,132.015625,137.5,127.965625,127.965625,120.919,-7.999932632108708,2000,4,April,Monday,3,14,2,-5.088211044065367,-3.0678186767664792
2000-04-10,153.7320313,153.7320313,153.7320313,153.7320313,13.379,127,13.1632618,65084.68147,227.6097368,,5442.86,78.10449125,,170.4516041,,73.7650838,,153.7320313,153.7320313,153.7320313,153.7320313,13.379,7.999363379106694,2000,4,April,Monday,10,15,2,7.9993633791066925,0.0
2000-04-17,133.1445313,133.1445313,133.1445313,133.1445313,3.37,183,2.8716612,56368.66524,197.1286756,,4880.71,67.64488696,,147.4726004,,63.88660467,,133.1445313,133.1445313,133.1445313,133.1445313,3.37,-7.999719254604742,2000,4,April,Monday,17,16,2,-7.999719254604737,0.0
