Date,Open (Unit Curr),High (Unit Curr),Low (Unit Curr),Close (Unit Curr),Volume (000's),No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x),Open,High,Low,Close,Volume,Daily_Return,Year,Month,Month_Name,Weekday,Day_of_Month,Week_of_Year,Quarter,Overnight,Intraday
2000-01-06,119.53125,120.3125,111.8191406,111.8191406,70.725,3424,102.6629686,47331.73618,356.1043479,,5421.53,82.39760433,,244.2344585,,93.00954559,,119.53125,120.3125,111.8191406,111.8191406,70.725,-7.999730052579479,2000,1,January,Thursday,6,1,1,-1.6545181071387225,-6.451960805228761
2000-01-13,101.171875,103.125,93.44492188,93.95351563,99.652,7465,123.827259,39769.42579,299.2086617,,5444.82,69.2327321,,204.875687,,78.14917684,,101.171875,103.125,93.44492188,93.95351563,99.652,-7.499038530574575,2000,1,January,Thursday,13,2,1,-0.3922775171140681,-7.134749029806951
2000-01-20,101.953125,105.453125,98.359375,98.69023438,137.494,11847,180.4072003,41774.42351,314.2934328,,5355.8,72.7231388,,215.3108904,,82.08911106,,101.953125,105.453125,98.359375,98.69023438,137.494,-2.8224704983004223,2000,1,January,Thursday,20,3,1,0.39040716358631267,-3.2003831368582305
2000-01-27,112.5,116.78125,112.5,114.1875,188.271,9514,139.0534351,48342.93156,363.7121625,,5369.1,84.15707534,,249.4973221,,94.99660185,,112.5,116.78125,112.5,114.1875,188.271,1.218836565096959,2000,1,January,Thursday,27,4,1,-0.2770083102493075,1.5
2000-02-03,114.8125,116.984375,114.8125,116.40625,86.903,5011,64.3898045,49282.2715,370.7793665,,5340.19,85.79231134,,254.3862071,,96.8424581,,114.8125,116.984375,114.8125,116.40625,86.903,1.4986376021798309,2000,2,February,Thursday,3,5,1,0.10899182561307902,1.3881328252585736
2000-02-10,135.921875,144.90625,135.921875,144.140625,207.32,10390,187.7659859,61024.02075,459.1194169,,5789.04,106.2327614,,315.4972699,,119.9156612,,135.921875,144.90625,135.921875,144.140625,207.32,6.29104735568613,2000,2,February,Thursday,10,6,1,0.23044129508007835,6.046672031267962
2000-02-17,156.234375,165.625,156.234375,160.4171875,151.265,9664,157.6713219,67914.93917,510.9638285,,5835.15,118.2287145,,351.3617173,,133.4567067,,156.234375,165.625,156.234375,160.4171875,151.265,3.1875813147127063,2000,2,February,Thursday,17,7,1,0.4970073700227224,2.6772677267726848
2000-02-24,144.1875,149.984375,139.921875,148.3515625,111.453,6652,103.6739643,62806.78212,472.5321739,,5810.17,109.336255,,324.7758228,,123.4188884,,144.1875,149.984375,139.921875,148.3515625,111.453,3.3038293160510435,2000,2,February,Thursday,24,8,1,0.40420632245185306,2.887949718248808
2000-03-02,156.234375,158.640625,154.6875,158.640625,16.406,603,16.642885,67162.80571,505.3050884,,5528.31,116.9193741,,347.4471664,,131.9787218,,156.234375,158.640625,154.6875,158.640625,16.406,7.999723395444169,2000,3,March,Thursday,2,9,1,6.361591079586951,1.54015401540154
2000-03-09,196.859375,202.34375,182.03125,183.0921875,109.646,8286,132.6848092,77514.72875,583.188663,,5328.79,134.9403658,,401.3247451,,152.3208376,,196.859375,202.34375,182.03125,183.0921875,109.646,-5.412321203706694,2000,3,March,Thursday,9,10,1,1.6999773982112327,-6.9934121755694925
