Date,Open (Unit Curr),High (Unit Curr),Low (Unit Curr),Close (Unit Curr),Volume (000's),No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x),Open,High,Low,Close,Volume,Daily_Return,Year,Month,Month_Name,Weekday,Day_of_Month,Week_of_Year,Quarter,Overnight,Intraday
2000-01-04,132.2785156,132.2785156,125.0,132.1109375,94.536,5826,157.6650904,55921.01679,420.7265321,,5491.01,97.35028096,,288.9381952,,109.8879691,,132.2785156,132.2785156,125.0,132.1109375,94.536,7.862860743720468,2000,1,January,Tuesday,4,1,1,7.999681007099473,-0.12668580323862197
2000-01-11,109.296875,109.296875,98.46914063,98.46914063,243.957,9464,312.059451,41680.83711,313.5893275,,5296.3,72.56021861,,214.823811,,81.90520847,,109.296875,109.296875,98.46914063,98.46914063,243.957,-7.999635031824814,2000,1,January,Tuesday,11,2,1,2.116788321167883,-9.906719080486063
2000-01-18,92.1875,96.078125,89.0625,95.625,127.889,9631,152.518667,40476.9456,304.5317473,,5464.51,70.46442023,,208.5580419,,79.53949339,,92.1875,96.078125,89.0625,95.625,127.889,3.2933184188604914,2000,1,January,Tuesday,18,3,1,-0.41984008639265413,3.728813559322034
2000-01-25,111.71875,113.28125,107.971875,112.8125,186.695,9449,133.3596138,47760.8054,359.3324868,,5367.79,83.14368965,,246.4675905,,93.85269094,,111.71875,113.28125,107.971875,112.8125,186.695,0.9790209790209836,2000,1,January,Tuesday,25,4,1,0.0,0.9790209790209791
2000-02-01,112.5,115.38125,111.109375,115.09375,65.915,4614,48.0728055,48726.60562,366.598767,,5215.54,84.82498864,,251.4941906,,95.75054314,,112.5,115.38125,111.109375,115.09375,65.915,2.2345593337959713,2000,2,February,Tuesday,1,5,1,-0.06939625260235947,2.3055555555555554
2000-02-08,140.625,142.421875,136.703125,138.75,196.352,8636,176.1767142,58741.8216,441.9490973,,5610.56,102.2598288,,303.619345,,115.4310105,,140.625,142.421875,136.703125,138.75,196.352,4.822050404296752,2000,2,February,Tuesday,8,6,1,6.238564598949418,-1.3333333333333335
2000-02-15,168.1242188,168.1242188,154.675,155.9375,392.035,18228,396.7543325,66018.3986,496.695044,,5803.19,114.92715,,341.4909896,,129.7298969,,168.1242188,168.1242188,154.675,155.9375,392.035,-7.2486396588092195,2000,2,February,Tuesday,15,7,1,0.0,-7.248639658809225
2000-02-22,162.328125,164.046875,155.9375,156.09375,137.121,8551,138.7545473,66084.5493,497.1927344,,5883.33,115.0423074,,341.8352772,,129.8598868,,162.328125,164.046875,155.9375,156.09375,137.121,-2.7737226277372296,2000,2,February,Tuesday,22,8,1,1.1094890510948905,-3.840600635287323
2000-02-29,134.765625,144.2804688,131.25,136.009375,353.413,14828,316.6831826,57581.53832,433.2196072,,5446.98,100.2399669,,297.5805391,,113.150988,,134.765625,144.2804688,131.25,136.009375,353.413,1.8081871345029255,2000,2,February,Tuesday,29,9,1,0.8771929824561403,0.9228985507246419
2000-03-07,199.8398438,199.8398438,199.8398438,199.8398438,13.68,515,17.496378,84605.09153,636.5336112,,5589.85,147.2835187,,438.2272198,,166.2538025,,199.8398438,199.8398438,199.8398438,199.8398438,13.68,7.99964536918194,2000,3,March,Tuesday,7,10,1,7.999645369181932,0.0
2000-03-14,154.7335938,158.90625,154.7335938,154.7335938,124.474,6787,124.1577358,65508.70746,492.8603393,,5175.71,114.0398617,,338.838253,,128.7283249,,154.7335938,158.90625,154.7335938,154.7335938,124.474,-7.999777033217126,2000,3,March,Tuesday,14,11,1,-7.9997770332171205,0.0
2000-03-21,146.09375,150.70625,144.53125,150.70625,97.316,3463,93.5209878,63803.67316,480.0323686,,5133.24,111.071678,,329.9642381,,125.3778358,,146.09375,150.70625,144.53125,150.70625,97.316,7.999887988623611,2000,3,March,Tuesday,21,12,1,4.694454515575699,3.157219251336906
2000-03-28,161.71875,161.71875,151.7429688,156.9875,140.483,10749,139.5614039,66462.9313,500.0395237,,5156.12,115.7010081,,343.8046028,,130.6034289,,161.71875,161.71875,151.7429688,156.9875,140.483,-3.7776596905576665,2000,3,March,Tuesday,28,13,1,-0.877734871135432,-2.9256038647342923
2000-04-04,117.7289063,117.7289063,117.7289063,117.7289063,92.355,746,69.58626,49842.23718,174.3048937,,4691.46,59.81288514,,130.2662517,,56.48974104,,117.7289063,117.7289063,117.7289063,117.7289063,92.355,-7.999584810373872,2000,4,April,Tuesday,4,14,2,-7.999584810373878,0.0
2000-04-11,159.375,166.0296875,155.15625,166.0296875,332.282,16955,343.2583416,70291.07231,245.817174,,5541.54,84.35239012,,184.1777917,,79.66585566,,159.375,166.0296875,155.15625,166.0296875,332.282,7.999410465085033,2000,4,April,Tuesday,11,15,2,3.6706525323847794,4.175490196078427
2000-04-18,133.1445313,138.671875,122.49375,122.7734375,357.757,18223,286.6503905,51977.91253,181.7736328,,4745.47,62.37578985,,135.8967704,,58.91025333,,133.1445313,138.671875,122.49375,122.7734375,357.757,-7.789350188654732,2000,4,April,Tuesday,18,16,2,0.0,-7.789350188654734
2000-04-25,112.5,116.375,104.53125,113.9921875,294.057,19066,202.8316111,48260.24319,168.7724516,,4533.99,57.91442251,,126.0954649,,54.69675509,,112.5,116.375,104.53125,113.9921875,294.057,0.3714659145628296,2000,4,April,Tuesday,25,17,2,-0.94242278324276,1.3263888888888888
2000-05-02,131.25,134.375,120.734375,123.0,263.437,16039,209.9023484,52073.83104,182.1090725,,4372.22,62.4908963,,136.149651,,59.01896458,,131.25,134.375,120.734375,123.0,263.437,-2.8148148148148144,2000,5,May,Tuesday,2,18,2,3.7037037037037033,-6.2857142857142865
2000-05-09,117.265625,124.125,110.34375,123.828125,353.218,22338,268.1655053,52424.42975,183.3351626,,4578.49,62.91163023,,137.0739734,,59.41632296,,117.265625,124.125,110.34375,123.828125,353.218,4.927973731596236,2000,5,May,Tuesday,9,19,2,-0.6328778731066649,5.596269153897402
