Date,Open (Unit Curr),High (Unit Curr),Low (Unit Curr),Close (Unit Curr),Volume (000's),No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x),Open,High,Low,Close,Volume,Daily_Return,Year,Month,Month_Name,Weekday,Day_of_Month,Week_of_Year,Quarter,Overnight,Intraday,YearMonth
2000-01-24,114.046875,114.196875,109.765625,111.71875,278.145,12598,201.2046722,47297.7505,355.8486538,,5458.06,82.3375874,,244.0575768,,92.9427618,,114.046875,114.196875,109.765625,111.71875,278.145,5.6559163119289435,2000,1,January,Monday,24,4,1,7.8576969455621395,-2.041375530894643,2000-01
2000-01-25,111.71875,113.28125,107.971875,112.8125,186.695,9449,133.3596138,47760.8054,359.3324868,,5367.79,83.14368965,,246.4675905,,93.85269094,,111.71875,113.28125,107.971875,112.8125,186.695,0.9790209790209836,2000,1,January,Tuesday,25,4,1,0.0,0.9790209790209791,2000-01
2000-01-27,112.5,116.78125,112.5,114.1875,188.271,9514,139.0534351,48342.93156,363.7121625,,5369.1,84.15707534,,249.4973221,,94.99660185,,112.5,116.78125,112.5,114.1875,188.271,1.218836565096959,2000,1,January,Thursday,27,4,1,-0.2770083102493075,1.5,2000-01
2000-01-28,115.21875,118.75,115.21875,117.96875,268.267,11053,201.4857809,49943.7785,375.7562708,,5335.8,86.94388599,,257.8290839,,98.14235687,,115.21875,118.75,115.21875,117.96875,268.267,3.311439518336079,2000,1,January,Friday,28,4,1,0.9031198686371099,2.386764307024681,2000-01
2000-01-31,115.609375,117.1875,110.953125,112.578125,96.083,6556,70.6656065,47661.57935,358.5859511,,5205.29,82.97095345,,245.951159,,93.65770613,,115.609375,117.1875,110.953125,112.578125,96.083,-4.5695364238410585,2000,1,January,Monday,31,5,1,-2.0,-2.621975942694959,2000-01
2000-02-23,157.03125,159.0625,143.6070313,143.6070313,131.394,7870,126.8310782,60798.11611,457.4198041,,5642.46,105.8394986,,314.3215275,,119.4717458,,157.03125,159.0625,143.6070313,143.6070313,131.394,-7.999499467467475,2000,2,February,Wednesday,23,8,1,0.6006006006006006,-8.548756187064683,2000-02
2000-02-24,144.1875,149.984375,139.921875,148.3515625,111.453,6652,103.6739643,62806.78212,472.5321739,,5810.17,109.336255,,324.7758228,,123.4188884,,144.1875,149.984375,139.921875,148.3515625,111.453,3.3038293160510435,2000,2,February,Thursday,24,8,1,0.40420632245185306,2.887949718248808,2000-02
2000-02-25,146.875,146.875,136.4835938,136.4992188,160.333,8074,146.2148193,57788.92077,434.7798667,,5623.08,100.6009855,,298.659881,,113.5585063,,146.875,146.875,136.4835938,136.4992188,160.333,-7.9893622286587025,2000,2,February,Friday,25,8,1,-0.9953130759913634,-7.064361668085111,2000-02
2000-02-28,135.9375,138.90625,125.5796875,133.59375,158.538,8368,132.9748005,56558.8485,425.5253133,,5740.69,98.45963248,,292.2578516,,111.1413445,,135.9375,138.90625,125.5796875,133.59375,158.538,-2.1285607533454987,2000,2,February,Monday,28,9,1,-0.4115179595445379,-1.7241379310344827,2000-02
2000-02-29,134.765625,144.2804688,131.25,136.009375,353.413,14828,316.6831826,57581.53832,433.2196072,,5446.98,100.2399669,,297.5805391,,113.150988,,134.765625,144.2804688,131.25,136.009375,353.413,1.8081871345029255,2000,2,February,Tuesday,29,9,1,0.8771929824561403,0.9228985507246419,2000-02
2000-03-27,171.09375,173.046875,161.265625,163.1507813,149.172,11138,158.380073,69072.24567,519.6709225,,5146.3,120.2433943,,357.3850302,,135.7308796,,171.09375,173.046875,161.265625,163.1507813,149.172,-2.168994157587889,2000,3,March,Monday,27,13,1,2.5938921191681468,-4.64246572420091,2000-03
2000-03-28,161.71875,161.71875,151.7429688,156.9875,140.483,10749,139.5614039,66462.9313,500.0395237,,5156.12,115.7010081,,343.8046028,,130.6034289,,161.71875,161.71875,151.7429688,156.9875,140.483,-3.7776596905576665,2000,3,March,Tuesday,28,13,1,-0.877734871135432,-2.9256038647342923,2000-03
2000-03-29,157.03125,164.84375,157.03125,161.6109375,103.066,7878,106.030515,68420.33052,514.7661834,,5102.46,119.1085175,,353.9920751,,134.4498293,,157.03125,164.84375,157.03125,161.6109375,103.066,2.945099132096507,2000,3,March,Wednesday,29,13,1,0.027868460864711286,2.9164179104477648,2000-03
2000-03-30,158.6101563,158.6101563,148.6828125,151.1875,91.481,7855,88.1717183,64007.41732,481.5652551,,5041.08,111.426363,,331.0246442,,125.7782046,,158.6101563,158.6101563,148.6828125,151.1875,91.481,-6.449710434975975,2000,3,March,Thursday,30,13,1,-1.8567933868956152,-4.679811478125377,2000-03
2000-03-31,150.015625,150.015625,139.0929688,139.0929688,102.306,8496,92.0137141,58887.02239,205.9357035,,5001.28,70.66702672,,154.1120257,,66.74083737,,150.015625,150.015625,139.0929688,139.0929688,102.306,-7.999689921455156,2000,3,March,Friday,31,13,1,-0.7751136833402232,-7.281012361212377,2000-03
2000-04-24,122.5,124.21875,112.515625,113.5703125,240.951,16591,181.5888772,48081.6363,168.1478396,,4511.05,57.70008635,,125.6245837,,54.49432724,,122.5,124.21875,112.515625,113.5703125,240.951,-3.8074693629072787,2000,4,April,Monday,24,17,2,3.75585611815463,-7.289540816326531,2000-04
