,Value
Total Trading Days,1555.0
Mean Daily Return (%),0.1494359221244837
Median Daily Return (%),0.05698546870547272
Std Deviation (%),2.0430828003234485
Min Daily Return (%),-11.367619673567752
Max Daily Return (%),15.179978371697821
Win Rate (%),51.76848874598071
Average Win (%),1.4903581445513923
Average Loss (%),-1.2950005990097706
10th Percentile (%),-1.9714870248495564
25th Percentile (%),-0.7963852283074502
50th Percentile (%),0.05698546870547272
75th Percentile (%),1.0880308567040586
90th Percentile (%),2.3755231472525886
Skewness,0.3655570431602129
Kurtosis,5.942105448901556
