Date,Open (Unit Curr),High (Unit Curr),Low (Unit Curr),Close (Unit Curr),Volume (000's),No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x),Open,High,Low,Close,Volume,Daily_Return,Year,Month,Month_Name,Weekday,Day_of_Month,Week_of_Year,Quarter,Overnight,Intraday,YearMonth
2000-01-03,117.2734375,122.4804688,117.2734375,122.4804688,29.722,691,46.5888391,51844.55185,390.0569009,,5375.11,90.25375393,,267.7218415,,101.8774843,,117.2734375,122.4804688,117.2734375,122.4804688,29.722,,2000,1,January,Monday,3,1,1,,4.440077319299178,2000-01
2000-02-07,128.125,132.3671875,127.578125,132.3671875,228.012,9694,191.0760276,56039.56551,421.6184434,,5474.0,97.55564638,,289.5551934,,110.120924,,128.125,132.3671875,127.578125,132.3671875,228.012,7.999745028046923,2000,2,February,Monday,7,6,1,4.5385007649158595,3.3109756097560976,2000-02
2000-03-06,185.034375,185.0375,184.359375,185.0375,6.06,185,7.1763158,78338.30497,589.3849088,,5520.69,136.3740762,,405.6111267,,153.9392115,,185.034375,185.0375,184.359375,185.0375,6.06,7.999854083828839,2000,3,March,Monday,6,10,1,7.998030131689345,0.0016888753778766495,2000-03
2000-04-03,132.015625,137.5,127.965625,127.965625,120.919,5361,99.9034986,54176.10029,189.460986,,5052.94,65.01371221,,141.6920974,,61.40161536,,132.015625,137.5,127.965625,127.965625,120.919,-7.999932632108708,2000,4,April,Monday,3,14,2,-5.088211044065367,-3.0678186767664792,2000-04
2000-05-08,135.78125,135.9375,117.5,118.0125,586.908,33290,474.7186105,49962.3007,174.7247717,,4463.4,59.95696667,,130.5827886,,56.62581754,,135.78125,135.9375,117.5,118.0125,586.908,-11.143529411764707,2000,5,May,Monday,8,19,2,2.235294117647059,-13.086306098964325,2000-05
2000-06-05,126.9835938,131.6867188,122.1875,125.1289063,394.532,20134,324.7623585,52975.13433,185.2610493,,4531.53,63.57250004,,138.5258572,,60.0404755,,126.9835938,131.6867188,122.1875,125.1289063,394.532,6.421926952823909,2000,6,June,Monday,5,23,2,7.999335590697669,-1.4605725389384887,2000-06
2000-07-03,132.8125,135.340625,131.890625,135.2570313,349.843,18817,299.685599,57263.0227,200.2563619,,4844.98,59.98623743,,149.8304945,,64.90024339,,132.8125,135.340625,131.890625,135.2570313,349.843,4.0582532425772255,2000,7,July,Monday,3,27,3,2.177584602803489,1.840588272941172,2000-07
2000-08-07,99.21875,101.5625,98.90625,101.5625,399.504,22095,256.2472789,42997.955,150.369534,,4201.25,45.04277658,,112.2219089,,48.73263082,,99.21875,101.5625,98.90625,101.5625,399.504,3.371501272264621,2000,8,August,Monday,7,32,3,0.9860050890585241,2.3622047244094486,2000-08
2000-09-04,134.359375,135.9375,133.15625,134.2007813,649.314,27657,560.1913881,56815.84397,198.6925187,,4602.43,59.51779255,,148.6515475,,64.39342403,,134.359375,135.9375,133.15625,134.2007813,649.314,2.576091434138461,2000,9,September,Monday,4,36,3,2.6973122028589676,-0.11803694383068652,2000-09
2000-10-09,117.03125,117.375,115.0,115.6023438,577.85,24901,429.7057787,48941.92615,171.156387,,4056.07,44.14700216,,127.8926616,,55.46935473,,117.03125,117.375,115.0,115.6023438,577.85,0.12043872167348812,2000,10,October,Monday,9,41,4,1.3579803746665169,-1.220961238985314,2000-10
