Date,Open (Unit Curr),High (Unit Curr),Low (Unit Curr),Close (Unit Curr),Volume (000's),No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x),Open,High,Low,Close,Volume,Daily_Return,Year,Month,Month_Name,Weekday,Day_of_Month,Week_of_Year,Quarter,Overnight,Intraday
2000-04-03,132.015625,137.5,127.965625,127.965625,120.919,5361,99.9034986,54176.10029,189.460986,,5052.94,65.01371221,,141.6920974,,61.40161536,,132.015625,137.5,127.965625,127.965625,120.919,-7.999932632108708,2000,4,April,Monday,3,14,2,-5.088211044065367,-3.0678186767664792
2000-04-04,117.7289063,117.7289063,117.7289063,117.7289063,92.355,746,69.58626,49842.23718,174.3048937,,4691.46,59.81288514,,130.2662517,,56.48974104,,117.7289063,117.7289063,117.7289063,117.7289063,92.355,-7.999584810373872,2000,4,April,Tuesday,4,14,2,-7.999584810373878,0.0
2000-04-05,117.7289063,127.146875,108.625,122.0390625,435.802,21851,333.6757008,51667.00424,180.6863454,,4757.06,62.00268618,,135.0770882,,58.55787892,,117.7289063,127.146875,108.625,122.0390625,435.802,3.6610857396540686,2000,4,April,Wednesday,5,14,2,0.0,3.6610857396540637
2000-04-06,122.5625,131.8015625,114.2429688,131.8015625,485.434,22679,389.9962436,55800.09997,195.1403277,,4866.73,66.96258353,,145.9736285,,63.24220934,,122.5625,131.8015625,114.2429688,131.8015625,485.434,7.999487868894417,2000,4,April,Thursday,6,14,2,0.42890980090903275,7.5382457929627655
2000-04-07,142.3453125,142.3453125,142.3453125,142.3453125,9.336,448,8.5051893,60263.94921,210.7509987,,5219.2,72.3193997,,157.7421711,,68.30140615,,142.3453125,142.3453125,142.3453125,142.3453125,9.336,7.999715481369973,2000,4,April,Friday,7,14,2,7.999715481369971,0.0
2000-04-10,153.7320313,153.7320313,153.7320313,153.7320313,13.379,127,13.1632618,65084.68147,227.6097368,,5442.86,78.10449125,,170.4516041,,73.7650838,,153.7320313,153.7320313,153.7320313,153.7320313,13.379,7.999363379106694,2000,4,April,Monday,10,15,2,7.9993633791066925,0.0
2000-04-11,159.375,166.0296875,155.15625,166.0296875,332.282,16955,343.2583416,70291.07231,245.817174,,5541.54,84.35239012,,184.1777917,,79.66585566,,159.375,166.0296875,155.15625,166.0296875,332.282,7.999410465085033,2000,4,April,Tuesday,11,15,2,3.6706525323847794,4.175490196078427
2000-04-12,165.53125,165.546875,155.859375,157.30625,222.49,15711,227.5034503,66597.87873,232.9015877,,5426.82,79.92039477,,174.4410144,,75.48009754,,165.53125,165.546875,155.859375,157.30625,222.49,-5.254143178460168,2000,4,April,Wednesday,12,15,2,-0.30020986457617366,-4.96885029261846
2000-04-13,155.4921875,155.4921875,144.721875,144.721875,78.526,2307,72.7448234,61270.10135,214.2696458,,5172.13,73.52682669,,160.394802,,69.44174971,,155.4921875,155.4921875,144.721875,144.721875,78.526,-7.9999205371687365,2000,4,April,Thursday,13,15,2,-1.1532043386705904,-6.926593980806907
2000-04-17,133.1445313,133.1445313,133.1445313,133.1445313,3.37,183,2.8716612,56368.66524,197.1286756,,4880.71,67.64488696,,147.4726004,,63.88660467,,133.1445313,133.1445313,133.1445313,133.1445313,3.37,-7.999719254604742,2000,4,April,Monday,17,16,2,-7.999719254604737,0.0
2000-04-18,133.1445313,138.671875,122.49375,122.7734375,357.757,18223,286.6503905,51977.91253,181.7736328,,4745.47,62.37578985,,135.8967704,,58.91025333,,133.1445313,138.671875,122.49375,122.7734375,357.757,-7.789350188654732,2000,4,April,Tuesday,18,16,2,0.0,-7.789350188654734
2000-04-19,124.84375,131.09375,112.9523438,112.9523438,327.215,18733,248.8665576,47820.01028,167.2328989,,4665.81,57.38612358,,124.9348299,,54.19780793,,124.84375,131.09375,112.9523438,112.9523438,327.215,-7.999363624562528,2000,4,April,Wednesday,19,16,2,1.6862869869551385,-9.525031249061332
2000-04-20,111.328125,121.875,103.9226563,118.065625,527.193,27849,375.5317007,49984.79193,174.8034266,,4657.42,59.98395714,,130.6420847,,56.65130846,,111.328125,121.875,103.9226563,118.065625,527.193,4.526936784113023,2000,4,April,Thursday,20,16,2,-1.437968213281108,6.051929824561401
2000-04-24,122.5,124.21875,112.515625,113.5703125,240.951,16591,181.5888772,48081.6363,168.1478396,,4511.05,57.70008635,,125.6245837,,54.49432724,,122.5,124.21875,112.515625,113.5703125,240.951,-3.8074693629072787,2000,4,April,Monday,24,17,2,3.75585611815463,-7.289540816326531
