Date,Open (Unit Curr),High (Unit Curr),Low (Unit Curr),Close (Unit Curr),Volume (000's),No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x),Open,High,Low,Close,Volume,Daily_Return,Year,Month,Month_Name,Weekday,Day_of_Month,Week_of_Year,Quarter,Overnight,Intraday
2000-08-01,106.625,108.121875,105.390625,106.0125,343.186,19119,234.2957338,44881.92694,156.9580329,,4253.69,47.01634316,,117.1888338,,50.86786978,,106.625,108.121875,105.390625,106.0125,343.186,-0.23746687142826017,2000,8,August,Tuesday,1,31,3,0.33892319145347094,-0.5744431418522834
2000-08-02,105.625,105.625,101.28125,103.8578125,412.513,22315,271.4569143,43969.70878,153.7678854,,4260.88,46.06074333,,114.7838515,,49.83398827,,105.625,105.625,101.28125,103.8578125,412.513,-2.0324843768423584,2000,8,August,Wednesday,2,31,3,-0.36552293361632154,-1.6730769230769285
2000-08-03,102.734375,102.734375,100.015625,100.8101563,357.724,19232,231.7984276,42679.43938,149.2556427,,4207.63,44.70911355,,111.3821707,,48.37163448,,102.734375,102.734375,100.015625,100.8101563,357.724,-2.9344505980231306,2000,8,August,Thursday,3,31,3,-1.0817072620319192,-1.8730037536121644
2000-08-04,101.390625,103.125,97.7359375,98.25,533.763,27320,342.4916376,41595.56016,145.4651738,,4186.16,43.57368909,,108.5246193,,47.14319732,,101.390625,103.125,97.7359375,98.25,533.763,-2.5395817187122027,2000,8,August,Friday,4,31,3,0.5758037893251409,-3.0975496994914473
2000-08-07,99.21875,101.5625,98.90625,101.5625,399.504,22095,256.2472789,42997.955,150.369534,,4201.25,45.04277658,,112.2219089,,48.73263082,,99.21875,101.5625,98.90625,101.5625,399.504,3.371501272264621,2000,8,August,Monday,7,32,3,0.9860050890585241,2.3622047244094486
2000-08-08,101.890625,117.65625,101.890625,117.4023438,1264.121,56487,892.7654692,49703.98221,173.8213978,,4317.22,52.06771731,,129.9017548,,56.33304689,,101.890625,117.65625,101.890625,117.4023438,1264.121,15.596153895384624,2000,8,August,Tuesday,8,32,3,0.32307692307692304,15.223892090170215
2000-08-09,117.65625,121.875,117.4023438,118.6101563,627.392,32166,480.6580322,50215.32712,175.6096386,,4317.04,52.60337987,,131.2498703,,56.91259033,,117.65625,121.875,117.4023438,118.6101563,627.392,1.0287805685187612,2000,8,August,Wednesday,9,32,3,0.21627012867182893,0.8107570146082337
2000-08-10,117.75,119.6875,113.28125,113.903125,478.111,26570,356.0727404,48222.53729,168.640589,,4253.23,50.51582041,,125.9960567,,54.65402033,,117.75,119.6875,113.28125,113.903125,478.111,-3.9684892481673617,2000,8,August,Thursday,10,32,3,-0.7251961609631568,-3.266985138004244
2000-08-11,113.28125,116.953125,111.890625,113.3664063,643.395,33347,467.6768076,47995.30963,167.8459439,,4192.0,50.27778666,,125.3969911,,54.39648712,,113.28125,116.953125,111.890625,113.3664063,643.395,-0.47120629921260093,2000,8,August,Friday,11,32,3,-0.5459683393234407,0.07517245793102936
2000-08-14,114.046875,114.84375,112.3445313,114.0335938,393.826,20508,286.0471813,48277.77312,168.8337561,,4232.51,50.57368306,,126.141681,,54.71662301,,114.046875,114.84375,112.3445313,114.0335938,393.826,0.5885231099541421,2000,8,August,Monday,14,33,3,0.6002383970779586,-0.011645387039315582
2000-08-16,114.6875,121.546875,114.6875,121.0820313,541.432,27677,413.6647852,51261.8312,179.2694017,,4325.67,53.69965175,,134.0088855,,58.09866759,,114.6875,121.546875,114.6875,121.0820313,541.432,6.181018474575151,2000,8,August,Wednesday,16,33,3,0.573432949194656,5.575613122615801
2000-08-17,121.5625,122.03125,117.578125,117.6671875,329.013,18408,251.0033148,49816.10765,174.2135153,,4294.18,52.18517501,,130.1973636,,56.4601266,,121.5625,122.03125,117.578125,117.6671875,329.013,-2.820272969768056,2000,8,August,Thursday,17,33,3,0.3968125533090582,-3.204370179948588
2000-08-18,118.015625,125.3875,117.984375,124.4789063,843.432,35932,658.226953,52699.94742,184.2986843,,4347.04,55.20615939,,137.8003513,,59.72858666,,118.015625,125.3875,117.984375,124.4789063,843.432,5.7889705233245214,2000,8,August,Friday,18,33,3,0.2961212105116415,5.476631844300283
2000-08-21,126.40625,126.5625,123.90625,124.671875,583.912,28488,467.6808675,52781.64353,184.5843864,,4409.57,55.29174066,,138.0157359,,59.82117866,,126.40625,126.5625,123.90625,124.671875,583.912,0.15502120458459334,2000,8,August,Monday,21,34,3,1.5483295582265204,-1.3720642768850433
2000-08-22,124.75,134.6453125,124.75,129.8523438,620.234,32234,517.2044645,54974.86999,192.2543893,,4461.23,57.58926875,,143.7979829,,62.3069177,,124.75,134.6453125,124.75,129.8523438,620.234,4.155282656974557,2000,8,August,Tuesday,22,34,3,0.06266449429753103,4.090055150300601
2000-08-23,129.0625,129.234375,125.0,125.29375,410.814,22460,332.9755599,53044.92332,185.5051106,,4444.79,55.56754105,,138.7098497,,60.1195723,,129.0625,129.234375,125.0,125.29375,410.814,-3.5105980120167857,2000,8,August,Wednesday,23,34,3,-0.6082630292885017,-2.9200968523002397
2000-08-24,125.0,128.984375,124.4375,128.2210938,441.99,21261,359.954851,54284.25668,189.8392233,,4459.07,56.86581246,,141.9772422,,61.52419667,,125.0,128.984375,124.4375,128.2210938,441.99,2.3363845363395974,2000,8,August,Thursday,24,34,3,-0.23444904474485187,2.5768750400000044
2000-08-25,128.90625,129.828125,125.953125,126.2382813,452.478,20540,371.8026394,53444.8043,186.9035473,,4416.86,55.98643887,,139.7641004,,60.57278577,,128.90625,129.828125,125.953125,126.2382813,452.478,-1.5464011741257,2000,8,August,Friday,25,34,3,0.5343552918591578,-2.0696969309090933
2000-08-28,125.15625,127.34375,121.328125,121.5734375,485.107,22494,384.6372144,51469.87515,179.9969589,,4395.81,53.91758949,,134.5573749,,58.33445855,,125.15625,127.34375,121.328125,121.5734375,485.107,-3.6952687821487307,2000,8,August,Monday,28,35,3,-0.8571340554206334,-2.8626716604244717
2000-08-29,121.40625,123.671875,119.53125,122.5601563,474.096,24848,370.5007263,51887.61682,181.4578568,,4401.82,54.35519739,,135.6587137,,58.8079148,,121.40625,123.671875,119.53125,122.5601563,474.096,0.8116236739625027,2000,8,August,Tuesday,29,35,3,-0.1375197604328636,0.9504504916344938
2000-08-30,122.359375,124.359375,121.7359375,122.2828125,367.999,17641,289.6591591,51770.19933,181.0472323,,4411.85,54.23219596,,135.3491529,,58.67483723,,122.359375,124.359375,121.7359375,122.2828125,367.999,-0.22629197642430876,2000,8,August,Wednesday,30,35,3,-0.16382265334953944,-0.0625718299067761
2000-08-31,122.265625,132.0625,121.875,130.8304688,1130.571,42262,930.2762549,55388.97337,193.7025636,,4477.31,58.02306534,,144.8897297,,62.77625042,,122.265625,132.0625,121.875,130.8304688,1130.571,6.990071724102687,2000,8,August,Thursday,31,35,3,-0.01405553212967332,7.0051118619808355
2001-08-01,59.375,60.140625,56.015625,56.52578125,434.479,23410,163.1528506,23934.63179,34.58561902,,3284.17,15.15166237,,25.87324708,,11.09337946,,59.375,60.140625,56.015625,56.52578125,434.479,-3.8191582697471693,2001,8,August,Wednesday,1,31,3,1.0288995825911205,-4.798684210526313
2001-08-02,57.328125,59.359375,57.21875,58.9421875,443.479,24575,164.9397733,24957.80727,36.06411085,,3298.78,15.79937694,,26.99738104,,11.56760752,,57.328125,59.359375,57.21875,58.9421875,443.479,4.274874573272713,2001,8,August,Thursday,2,31,3,1.4194297403010214,2.8154810575088627
2001-08-03,59.296875,62.50078125,58.9140625,60.5171875,245.792,17356,94.3385681,25624.7073,37.02778351,,3325.38,16.22155364,,27.73008523,,11.8767067,,59.296875,62.50078125,58.9140625,60.5171875,245.792,2.672109853405069,2001,8,August,Friday,3,31,3,0.6017548975426084,2.057971014492751
2001-08-06,60.328125,60.640625,58.94375,59.2390625,175.044,12977,66.9440215,25083.51264,36.2457555,,3329.95,15.87895389,,27.13548996,,11.62587026,,60.328125,60.640625,58.94375,59.2390625,175.044,-2.112003304846244,2001,8,August,Monday,6,32,3,-0.31241124680488264,-1.8052318052318006
2001-08-07,58.984375,59.046875,58.2828125,58.646875,128.851,10022,48.389509,24832.76352,35.88342223,,3319.67,15.7202188,,26.859999,,11.50965142,,58.984375,59.046875,58.2828125,58.646875,128.851,-0.9996571096985263,2001,8,August,Tuesday,7,32,3,-0.42993168570147916,-0.5721854304635737
2001-08-08,58.3609375,58.421875,57.1875,57.51484375,160.445,12577,59.1758563,24353.42912,35.1907825,,3302.32,15.41677929,,26.33336786,,11.28748638,,58.3609375,58.421875,57.1875,57.51484375,160.445,-1.9302499067512247,2001,8,August,Wednesday,8,32,3,-0.4875579474609736,-1.4497603812481619
2001-08-09,56.953125,57.765625,56.421875,57.528125,152.678,11125,55.7867132,24359.05279,35.19890871,,3319.61,15.42033932,,26.33954642,,11.29009288,,56.953125,57.765625,56.421875,57.528125,152.678,0.023091864871860324,2001,8,August,Thursday,9,32,3,-0.9766500495795873,1.009602194787385
2001-08-10,57.03125,57.765625,56.421875,56.9875,100.087,7630,36.700695,24130.1367,34.86812425,,3316.21,15.27542549,,26.0880428,,11.18399336,,57.03125,57.765625,56.421875,56.9875,100.087,-0.9397577271986646,2001,8,August,Friday,10,32,3,-0.8637079689282465,-0.07671232876712827
2001-08-13,56.875,57.203125,56.171875,56.51328125,185.313,12457,67.0228474,23929.33893,34.57797082,,3287.62,15.14831176,,25.86743196,,11.09092629,,56.875,57.203125,56.171875,56.51328125,185.313,-0.8321452072822977,2001,8,August,Monday,13,33,3,-0.197411713094972,-0.6359890109890135
2001-08-14,56.50078125,59.46875,56.25,59.21015625,353.78,20172,132.8874175,25071.2729,36.22806905,,3331.89,15.87120561,,27.12204251,,11.62019731,,56.50078125,59.46875,56.25,59.21015625,353.78,4.772108326306035,2001,8,August,Tuesday,14,33,3,-0.022118694444052896,4.79528767577881
2001-08-16,58.125,59.0625,57.828125,58.58671875,191.604,11724,71.8685121,24807.29164,35.84661529,,3337.91,15.704094,,26.83201377,,11.49784555,,58.125,59.0625,57.828125,58.58671875,191.604,-1.0529232474369543,2001,8,August,Thursday,16,33,3,-1.8327197878320025,0.7943548387096824
2001-08-17,58.75,58.984375,56.796875,57.234375,138.337,10032,51.478911,24234.67064,35.01917611,,3296.71,15.34160001,,26.20289127,,11.23244343,,58.75,58.984375,56.796875,57.234375,138.337,-2.308276993239189,2001,8,August,Friday,17,33,3,0.2787001106799434,-2.579787234042553
2001-08-20,56.640625,57.96875,55.859375,57.5296875,247.965,15686,89.8610572,24359.71439,35.19986474,,3278.92,15.42075814,,26.34027331,,11.29039952,,56.640625,57.96875,55.859375,57.5296875,247.965,0.5159705159705208,2001,8,August,Monday,20,34,3,-1.0374010374010374,1.5696551724137957
2001-08-21,57.65625,58.7296875,57.546875,58.5578125,180.009,13448,66.9153175,24795.05191,35.82892883,,3297.43,15.69634571,,26.81856632,,11.4921726,,57.65625,58.7296875,57.546875,58.5578125,180.009,1.7871207800320477,2001,8,August,Tuesday,21,34,3,0.2199951112197482,1.5636856368563636
2001-08-23,58.0859375,59.21796875,57.828125,58.90234375,134.125,10407,50.1217076,24940.93629,36.03973223,,3308.79,15.78869687,,26.97884536,,11.55978804,,58.0859375,59.21796875,57.828125,58.90234375,134.125,0.5883608613282965,2001,8,August,Thursday,23,34,3,-0.8058275742455325,1.4055144586415602
2001-08-24,58.59375,59.84375,58.125,59.5640625,154.341,11480,58.199842,25221.12693,36.44460859,,3305.51,15.96606972,,27.28668289,,11.68965263,,58.59375,59.84375,58.125,59.5640625,154.341,1.1234166721931116,2001,8,August,Friday,24,34,3,-0.5239074209165064,1.6559999999999975
2001-08-27,60.15625,61.484375,59.921875,61.0703125,261.593,15370,101.8499937,25858.91624,37.36621617,,3318.32,16.36981808,,27.98740396,,11.98525939,,60.15625,61.484375,59.921875,61.0703125,261.593,2.52878990582619,2001,8,August,Monday,27,35,3,0.9942026704441146,1.5194805194805194
2001-08-28,60.78125,61.71875,60.15546875,61.5453125,225.171,15334,87.9297252,26060.04482,37.65684761,,3313.07,16.49714122,,28.20837824,,12.07847977,,60.78125,61.71875,60.15546875,61.5453125,225.171,0.7777919918127152,2001,8,August,Tuesday,28,35,3,-0.47332736343865933,1.2570694087403622
2001-08-29,61.015625,61.01640625,58.14375,58.525,329.179,21129,125.6505719,24781.15816,35.80885232,,3300.62,15.68755037,,26.80330165,,11.48573303,,61.015625,61.01640625,58.14375,58.525,329.179,-4.907461474015595,2001,8,August,Wednesday,29,35,3,-0.8606463733529688,-4.081946222791295
