Date,Open (Unit Curr),High (Unit Curr),Low (Unit Curr),Close (Unit Curr),Volume (000's),No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x),Open,High,Low,Close,Volume,Daily_Return,Year,Month,Month_Name,Weekday,Day_of_Month,Week_of_Year,Quarter,Overnight,Intraday
2000-02-01,112.5,115.38125,111.109375,115.09375,65.915,4614,48.0728055,48726.60562,366.598767,,5215.54,84.82498864,,251.4941906,,95.75054314,,112.5,115.38125,111.109375,115.09375,65.915,2.2345593337959713,2000,2,February,Tuesday,1,5,1,-0.06939625260235947,2.3055555555555554
2000-02-02,115.390625,117.1835938,113.90625,114.6875,82.782,4931,61.0125956,48554.6138,365.3047719,,5304.92,84.52557923,,250.5990426,,95.41256946,,115.390625,117.1835938,113.90625,114.6875,82.782,-0.35297311973934153,2000,2,February,Wednesday,2,5,1,0.25794189519413524,-0.6093432633716994
2000-02-03,114.8125,116.984375,114.8125,116.40625,86.903,5011,64.3898045,49282.2715,370.7793665,,5340.19,85.79231134,,254.3862071,,96.8424581,,114.8125,116.984375,114.8125,116.40625,86.903,1.4986376021798309,2000,2,February,Thursday,3,5,1,0.10899182561307902,1.3881328252585736
2000-02-04,116.796875,124.21875,116.796875,122.5625,266.961,12383,207.5748425,51888.60908,390.3883693,,5313.59,90.32951546,,267.9511416,,101.9640592,,116.796875,124.21875,116.796875,122.5625,266.961,5.288590604026844,2000,2,February,Friday,4,5,1,0.33557046979865773,4.936454849498328
2000-02-07,128.125,132.3671875,127.578125,132.3671875,228.012,9694,191.0760276,56039.56551,421.6184434,,5474.0,97.55564638,,289.5551934,,110.120924,,128.125,132.3671875,127.578125,132.3671875,228.012,7.999745028046923,2000,2,February,Monday,7,6,1,4.5385007649158595,3.3109756097560976
2000-02-08,140.625,142.421875,136.703125,138.75,196.352,8636,176.1767142,58741.8216,441.9490973,,5610.56,102.2598288,,303.619345,,115.4310105,,140.625,142.421875,136.703125,138.75,196.352,4.822050404296752,2000,2,February,Tuesday,8,6,1,6.238564598949418,-1.3333333333333335
2000-02-09,139.0625,142.1875,133.9882813,135.609375,152.903,7576,135.6271076,57412.19253,431.9455197,,5649.1,99.94516378,,296.6991627,,112.8182139,,139.0625,142.1875,133.9882813,135.609375,152.903,-2.2635135135135154,2000,2,February,Wednesday,9,6,1,0.22522522522522523,-2.4831460674157304
2000-02-10,135.921875,144.90625,135.921875,144.140625,207.32,10390,187.7659859,61024.02075,459.1194169,,5789.04,106.2327614,,315.4972699,,119.9156612,,135.921875,144.90625,135.921875,144.140625,207.32,6.29104735568613,2000,2,February,Thursday,10,6,1,0.23044129508007835,6.046672031267962
2000-02-11,144.53125,155.6710938,144.53125,155.6710938,63.176,1688,62.9201761,65905.61166,495.8464819,,5933.56,114.7308065,,340.9039791,,129.5082642,,144.53125,155.6710938,144.53125,155.6710938,63.176,7.9994580292682915,2000,2,February,Friday,11,6,1,0.27100271002710025,7.7075676021621575
2000-02-14,168.1242188,168.1242188,168.1242188,168.1242188,34.545,284,37.1702472,71177.82245,535.5124087,,5924.31,123.9088564,,368.343707,,139.8684573,,168.1242188,168.1242188,168.1242188,168.1242188,34.545,7.999638658670483,2000,2,February,Monday,14,7,1,7.99963865867049,0.0
2000-02-15,168.1242188,168.1242188,154.675,155.9375,392.035,18228,396.7543325,66018.3986,496.695044,,5803.19,114.92715,,341.4909896,,129.7298969,,168.1242188,168.1242188,154.675,155.9375,392.035,-7.2486396588092195,2000,2,February,Tuesday,15,7,1,0.0,-7.248639658809225
2000-02-16,154.6875,160.15625,147.65625,155.4617188,122.805,6927,122.604441,65816.96972,495.1795767,,5725.5,114.5764955,,340.4426336,,129.3340777,,154.6875,160.15625,147.65625,155.4617188,122.805,-0.30511018837675596,2000,2,February,Wednesday,16,7,1,-0.8016032064128256,0.5005050828282828
