Date,Open (Unit Curr),High (Unit Curr),Low (Unit Curr),Close (Unit Curr),Volume (000's),No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x),Open,High,Low,Close,Volume,Daily_Return,Year,Month,Month_Name,Weekday,Day_of_Month,Week_of_Year,Quarter,Overnight,Intraday
2000-01-03,117.2734375,122.4804688,117.2734375,122.4804688,29.722,691,46.5888391,51844.55185,390.0569009,,5375.11,90.25375393,,267.7218415,,101.8774843,,117.2734375,122.4804688,117.2734375,122.4804688,29.722,,2000,1,January,Monday,3,1,1,,4.440077319299178
2000-01-04,132.2785156,132.2785156,125.0,132.1109375,94.536,5826,157.6650904,55921.01679,420.7265321,,5491.01,97.35028096,,288.9381952,,109.8879691,,132.2785156,132.2785156,125.0,132.1109375,94.536,7.862860743720468,2000,1,January,Tuesday,4,1,1,7.999681007099473,-0.12668580323862197
2000-01-05,131.2578125,131.2578125,121.5421875,121.5421875,119.252,6821,187.9852185,51447.38836,387.0688076,,5357.0,89.56235059,,265.6547659,,101.0970355,,131.2578125,131.2578125,121.5421875,121.5421875,119.252,-7.999905382550187,2000,1,January,Wednesday,5,1,1,-0.6457640950432326,-7.4019403606928185
2000-01-06,119.53125,120.3125,111.8191406,111.8191406,70.725,3424,102.6629686,47331.73618,356.1043479,,5421.53,82.39760433,,244.2344585,,93.00954559,,119.53125,120.3125,111.8191406,111.8191406,70.725,-7.999730052579479,2000,1,January,Thursday,6,1,1,-1.6545181071387225,-6.451960805228761
2000-01-07,102.875,102.875,102.8738281,102.8738281,5.444,348,7.1685785,43545.28988,327.6166967,,5414.48,75.80595718,,224.5275347,,85.5689639,,102.875,102.875,102.8738281,102.8738281,5.444,-7.999804373384711,2000,1,January,Friday,7,1,1,-7.998756341720621,-0.0011391494532226284
2000-01-10,103.515625,110.9375,94.64414063,107.03125,286.845,12955,379.6765224,45305.078,340.8566125,,5518.39,78.86948996,,233.6865212,,89.02704734,,103.515625,110.9375,94.64414063,107.03125,286.845,4.041282391045775,2000,1,January,Monday,10,2,1,0.6238680059384344,3.3962264150943398
2000-01-11,109.296875,109.296875,98.46914063,98.46914063,243.957,9464,312.059451,41680.83711,313.5893275,,5296.3,72.56021861,,214.823811,,81.90520847,,109.296875,109.296875,98.46914063,98.46914063,243.957,-7.999635031824814,2000,1,January,Tuesday,11,2,1,2.116788321167883,-9.906719080486063
2000-01-12,93.75,104.21875,90.6328125,101.5703125,166.557,10044,213.4823435,42993.52694,323.4654613,,5491.2,74.8454189,,221.6558314,,84.48471843,,93.75,104.21875,90.6328125,101.5703125,166.557,3.149384517991005,2000,1,January,Wednesday,12,2,1,-4.7925071751486845,8.341666666666667
2000-01-13,101.171875,103.125,93.44492188,93.95351563,99.652,7465,123.827259,39769.42579,299.2086617,,5444.82,69.2327321,,204.875687,,78.14917684,,101.171875,103.125,93.44492188,93.95351563,99.652,-7.499038530574575,2000,1,January,Thursday,13,2,1,-0.3922775171140681,-7.134749029806951
2000-01-14,93.453125,96.1953125,87.59375,94.3828125,142.981,9503,170.1244662,39951.14214,300.5758201,,5471.27,69.54907359,,205.8214473,,78.50625978,,93.453125,96.1953125,87.59375,94.3828125,142.981,0.4569247538225518,2000,1,January,Friday,14,2,1,-0.5325938328594275,0.9948169202474502
2000-01-17,101.171875,101.546875,91.8046875,92.57617188,117.054,6972,143.6860121,39186.41227,294.8223098,,5404.07,68.21779114,,201.8413371,,77.00352221,,101.171875,101.546875,91.8046875,92.57617188,117.054,-1.9141627295753638,2000,1,January,Monday,17,3,1,7.1931131528846945,-8.496138991196906
2000-01-18,92.1875,96.078125,89.0625,95.625,127.889,9631,152.518667,40476.9456,304.5317473,,5464.51,70.46442023,,208.5580419,,79.53949339,,92.1875,96.078125,89.0625,95.625,127.889,3.2933184188604914,2000,1,January,Tuesday,18,3,1,-0.41984008639265413,3.728813559322034
2000-01-19,96.0859375,103.046875,96.0859375,101.5566406,173.316,12284,221.2675784,42987.7398,323.4219212,,5478.24,74.83534433,,221.6257117,,84.47334636,,96.0859375,103.046875,96.0859375,101.5566406,173.316,6.203022849673201,2000,1,January,Wednesday,19,3,1,0.4820261437908497,5.693552295308556
2000-01-20,101.953125,105.453125,98.359375,98.69023438,137.494,11847,180.4072003,41774.42351,314.2934328,,5355.8,72.7231388,,215.3108904,,82.08911106,,101.953125,105.453125,98.359375,98.69023438,137.494,-2.8224704983004223,2000,1,January,Thursday,20,3,1,0.39040716358631267,-3.2003831368582305
2000-01-21,98.0859375,106.25,97.3984375,105.7382813,184.521,13595,240.7091701,44757.77943,336.7389651,,5423.05,77.91672349,,230.8380531,,87.95157462,,98.0859375,106.25,97.3984375,105.7382813,184.521,7.141584944323842,2000,1,January,Friday,21,3,1,-0.6123167948646295,7.801672691358022
2000-01-24,114.046875,114.196875,109.765625,111.71875,278.145,12598,201.2046722,47297.7505,355.8486538,,5458.06,82.3375874,,244.0575768,,92.9427618,,114.046875,114.196875,109.765625,111.71875,278.145,5.6559163119289435,2000,1,January,Monday,24,4,1,7.8576969455621395,-2.041375530894643
2000-01-25,111.71875,113.28125,107.971875,112.8125,186.695,9449,133.3596138,47760.8054,359.3324868,,5367.79,83.14368965,,246.4675905,,93.85269094,,111.71875,113.28125,107.971875,112.8125,186.695,0.9790209790209836,2000,1,January,Tuesday,25,4,1,0.0,0.9790209790209791
2000-01-27,112.5,116.78125,112.5,114.1875,188.271,9514,139.0534351,48342.93156,363.7121625,,5369.1,84.15707534,,249.4973221,,94.99660185,,112.5,116.78125,112.5,114.1875,188.271,1.218836565096959,2000,1,January,Thursday,27,4,1,-0.2770083102493075,1.5
2000-01-28,115.21875,118.75,115.21875,117.96875,268.267,11053,201.4857809,49943.7785,375.7562708,,5335.8,86.94388599,,257.8290839,,98.14235687,,115.21875,118.75,115.21875,117.96875,268.267,3.311439518336079,2000,1,January,Friday,28,4,1,0.9031198686371099,2.386764307024681
2000-01-31,115.609375,117.1875,110.953125,112.578125,96.083,6556,70.6656065,47661.57935,358.5859511,,5205.29,82.97095345,,245.951159,,93.65770613,,115.609375,117.1875,110.953125,112.578125,96.083,-4.5695364238410585,2000,1,January,Monday,31,5,1,-2.0,-2.621975942694959
2001-01-01,89.359375,90.8875,87.11015625,87.72734375,851.691,34075,486.6660846,37140.64127,70.4101334,,3955.08,29.13122449,,53.65535503,,22.982359,,89.359375,90.8875,87.11015625,87.72734375,851.691,-1.5949382618678287,2001,1,January,Monday,1,1,1,0.23573538046287945,-1.8263682461968844
2001-01-02,87.671875,89.828125,86.1875,89.40859375,895.405,34978,501.4846803,37852.4228,71.75950786,,4018.88,29.68950961,,54.69572794,,23.42280425,,87.671875,89.828125,86.1875,89.40859375,895.405,1.9164492256725785,2001,1,January,Tuesday,2,1,1,-0.06322857575407079,1.9809303154517848
2001-01-03,89.109375,89.109375,85.546875,87.884375,852.261,29897,474.737123,37207.12272,70.53616698,,4060.02,29.18336915,,53.7525274,,23.02349724,,89.109375,89.109375,85.546875,87.884375,852.261,-1.7047787981789964,2001,1,January,Wednesday,3,1,1,-0.33466441809459097,-1.3747150622479334
2001-01-04,88.109375,96.515625,88.109375,95.275,1028.225,36972,624.8440183,40336.05083,76.4678967,,4115.37,31.63754075,,58.32591391,,24.95965523,,88.109375,96.515625,88.109375,95.275,1028.225,8.409486896845998,2001,1,January,Thursday,4,1,1,0.25601820573906825,8.132647632558971
2001-01-05,95.015625,100.125,94.53125,99.7109375,729.94,31067,454.6517905,42214.06921,80.0281886,,4183.73,33.11056257,,61.0709127,,26.12175935,,95.015625,100.125,94.53125,99.7109375,729.94,4.65593020204671,2001,1,January,Friday,5,1,1,-0.2722382576751568,4.941621443841473
2001-01-08,97.68359375,99.234375,92.81328125,93.86171875,1230.81,43444,754.8984856,39737.71775,75.33359448,,4120.43,31.1682388,,57.45136251,,24.58941106,,97.68359375,99.234375,92.81328125,93.86171875,1230.81,-5.866175664028839,2001,1,January,Monday,8,2,1,-2.03322102953851,-3.9125044987403585
2001-01-09,94.125,95.2765625,91.25,92.55,1238.554,49994,738.0013537,39182.38262,74.28080651,,4125.31,30.73266226,,56.63965893,,24.24577372,,94.125,95.2765625,91.25,92.55,1238.554,-1.3975013109377987,2001,1,January,Tuesday,9,2,1,0.2804990719392784,-1.6733067729083697
2001-01-10,92.625,94.078125,87.90078125,88.525,1353.619,50551,783.1759246,37478.34059,71.05033383,,4047.64,29.39609861,,54.14895203,,23.19132489,,92.625,94.078125,87.90078125,88.525,1353.619,-4.349000540248504,2001,1,January,Wednesday,10,2,1,0.08103727714749091,-4.42645074224021
2001-01-11,88.546875,89.609375,86.21875,86.58515625,808.399,34945,455.083018,36657.07965,69.49341154,,4027.13,28.75194342,,52.94855893,,22.68313459,,88.546875,89.609375,86.21875,86.58515625,808.399,-2.1912948319683823,2001,1,January,Thursday,11,2,1,0.024710533747522523,-2.215457914240342
2001-01-12,86.359375,91.375,86.359375,90.59296875,1300.664,53837,744.5376952,38353.84511,72.71008949,,4036.58,30.08279969,,55.42863005,,23.73308073,,86.359375,91.375,86.359375,90.59296875,1300.664,4.628752402349567,2001,1,January,Friday,12,2,1,-0.2607620749081886,4.902297810747237
2001-01-15,91.5625,97.09375,91.03125,96.42890625,1541.54,51323,936.6079585,40824.57375,77.39402406,,4046.76,32.02071321,,59.03996167,,25.26194966,,91.5625,97.09375,91.03125,96.42890625,1541.54,6.441932062194389,2001,1,January,Monday,15,3,1,1.0702058486189114,5.31484641638225
2001-01-16,96.796875,97.40625,94.453125,95.3109375,633.081,26541,387.1405917,40351.26549,76.49674021,,4070.73,31.64947436,,58.34815236,,24.96906995,,96.796875,97.40625,94.453125,95.3109375,633.081,-1.1593709744063374,2001,1,January,Tuesday,16,3,1,0.3815958972364709,-1.5351089588377782
2001-01-17,95.59375,99.21875,95.59375,98.4671875,871.284,35729,547.8284341,41687.50963,79.02995248,,4083.41,32.6975561,,60.3012688,,25.79592812,,95.59375,99.21875,95.59375,98.4671875,871.284,3.31152969720816,2001,1,January,Wednesday,17,3,1,0.29672617583895416,3.0058842759071536
2001-01-18,98.828125,101.390625,98.75,100.4109375,619.079,26303,397.0785416,42510.42434,80.59000994,,4113.21,33.34300842,,61.50407912,,26.30514176,,98.828125,101.390625,98.75,100.4109375,619.079,1.9740078389057336,2001,1,January,Thursday,18,3,1,0.3665561179961657,1.6015810276679872
2001-01-19,100.609375,106.25,100.609375,105.9203125,710.843,28079,472.7171165,44842.89802,85.01184482,,4194.46,35.1724818,,64.91333087,,27.74845953,,100.609375,106.25,100.609375,105.9203125,710.843,5.486827567962904,2001,1,January,Friday,19,3,1,0.19762538319094686,5.278769995340886
2001-01-22,108.59375,109.1875,105.703125,106.925,722.605,27907,494.1547805,45268.24702,85.81820892,,4267.11,35.50610386,,65.53504071,,28.0116624,,108.59375,109.1875,105.703125,106.925,722.605,0.9485314726578098,2001,1,January,Monday,22,4,1,2.524008319933918,-1.536690647482017
2001-01-23,106.640625,106.640625,104.46875,105.5335938,533.007,21749,360.254995,44679.17504,84.70146361,,4296.69,35.04406584,,64.67402577,,27.64714894,,106.640625,106.640625,104.46875,105.5335938,533.007,-1.301291746551314,2001,1,January,Tuesday,23,4,1,-0.26595744680850797,-1.038095191208786
2001-01-24,105.90625,106.953125,104.921875,106.5976563,485.268,20765,329.502265,45129.66131,85.5554822,,4326.42,35.39740429,,65.33247739,,27.92590657,,105.90625,106.953125,104.921875,106.5976563,485.268,1.0082689896987018,2001,1,January,Wednesday,24,4,1,0.35311618469681494,0.6528474948362321
2001-01-25,106.640625,106.640625,103.59375,105.903125,432.978,18421,292.0891003,44835.62145,84.9980501,,4330.22,35.16677442,,64.90269509,,27.74395684,,106.640625,106.640625,103.59375,105.903125,432.978,-0.651544625001288,2001,1,January,Thursday,25,4,1,0.040309235204079225,-0.6915750915750889
2001-01-29,103.28125,106.25,98.6875,103.8070313,494.863,17724,328.6444366,43948.20981,83.31572126,,4234.57,34.470734,,63.60561306,,27.19483296,,103.28125,106.25,98.6875,103.8070313,494.863,-1.9792557585057047,2001,1,January,Monday,29,5,1,-2.4757295877718457,0.5090772042360114
2001-01-30,103.96875,108.1875,103.96875,107.7382813,537.152,22788,366.2413358,45612.56142,86.47095,,4372.04,35.7761665,,66.0383066,,28.22472165,,103.96875,108.1875,103.96875,107.7382813,537.152,3.7870748741853255,2001,1,January,Tuesday,30,5,1,0.15578780933695235,3.625638761647126
2001-01-31,107.65625,108.0492188,105.625,106.0414063,464.946,17628,317.4152462,44894.16482,85.10903489,,4326.72,35.21269286,,64.9882648,,27.78018305,,107.65625,108.0492188,105.625,106.0414063,464.946,-1.5749972800057965,2001,1,January,Wednesday,31,5,1,-0.0761394176797556,-1.499999953555873
2002-01-01,63.671875,66.834375,62.52421875,62.88203125,535.475,29190,223.2757098,26629.48261,34.17107248,,3246.15,13.40000814,,24.96396965,,10.71468395,,63.671875,66.834375,62.52421875,62.88203125,535.475,-1.2065494893951367,2002,1,January,Tuesday,1,1,1,0.03436763550667937,-1.2404907975460167
2002-01-02,63.046875,64.890625,62.2390625,63.14296875,435.717,22712,177.4468667,26739.98525,34.31286997,,3269.16,13.45561329,,25.06908092,,10.75914598,,63.046875,64.890625,62.2390625,63.14296875,435.717,0.414963535389945,2002,1,January,Wednesday,2,1,1,0.2621476226565166,0.1524163568773257
2002-01-03,64.05390625,67.58125,63.671875,67.1203125,567.702,27959,237.1466452,28424.32343,36.47422034,,3308.02,14.30317559,,26.67124111,,11.43685916,,64.05390625,67.58125,63.671875,67.1203125,567.702,6.298949556438127,2002,1,January,Thursday,3,1,1,1.4426586491468945,4.787227554915904
2002-01-04,68.359375,70.625,68.359375,70.06328125,555.437,26136,248.4405474,29670.6212,38.07347527,,3375.74,14.93031508,,27.85673264,,11.93832165,,68.359375,70.625,68.359375,70.06328125,555.437,4.384617175314864,2002,1,January,Friday,4,1,1,1.8460320785902224,2.492571428571433
2002-01-07,71.25,73.825,71.015625,73.24609375,497.73,26708,231.2584388,31018.48876,39.80306501,,3401.8,15.60856469,,29.13883843,,12.48065194,,71.25,73.825,71.015625,73.24609375,497.73,4.542768256375362,2002,1,January,Monday,7,2,1,1.6937812914664157,2.8015350877192984
2002-01-08,74.21875,75.78125,72.390625,75.390625,554.386,26816,262.914451,31926.66168,40.9684366,,3437.78,16.06555909,,30.00270206,,12.84606594,,74.21875,75.78125,72.390625,75.390625,554.386,2.9278438483280933,2002,1,January,Tuesday,8,2,1,1.3279291771105541,1.5789473684210527
2002-01-09,75.95625,75.95625,68.515625,69.23046875,526.902,29401,242.2597554,29317.93911,37.62091202,,3400.89,14.75284476,,27.52125773,,11.79641589,,75.95625,75.95625,68.515625,69.23046875,526.902,-8.170984455958552,2002,1,January,Wednesday,9,2,1,0.7502590673575091,-8.854809512054633
2002-01-10,69.140625,69.140625,65.4375,66.471875,731.892,39556,311.4707045,28149.72106,36.12184933,,3381.96,14.16499513,,26.41003644,,11.32636968,,69.140625,69.140625,65.4375,66.471875,731.892,-3.984652711166281,2002,1,January,Thursday,10,2,1,-0.1297748688145348,-3.8598870056497216
2002-01-11,64.3125,64.6875,59.825,61.8046875,674.973,38119,270.2288936,26173.24565,33.58562715,,3362.88,13.17042881,,24.52999226,,10.53111167,,64.3125,64.6875,59.825,61.8046875,674.973,-7.021296601006055,2002,1,January,Friday,11,2,1,-3.248554369799253,-3.899416909620991
2002-01-14,62.5,64.84375,62.34453125,62.71796875,361.001,23522,146.3572406,26560.0049,34.08191836,,3407.84,13.36504682,,24.89788172,,10.68672878,,62.5,64.84375,62.34453125,62.71796875,361.001,1.4776892933889396,2002,1,January,Monday,14,3,1,1.125015800783719,0.34874999999999545
2002-01-15,64.0625,64.0625,60.046875,60.453125,422.955,23510,165.0418629,25600.99773,32.85131603,,3352.52,12.88247156,,23.98566403,,10.30086103,,64.0625,64.0625,60.046875,60.453125,422.955,-3.611156093125223,2002,1,January,Tuesday,15,3,1,2.143773589606253,-5.634146341463415
2002-01-16,61.71875,62.46875,60.0015625,60.53828125,575.853,29744,225.1378127,25637.06014,32.89759147,,3348.8,12.90061823,,24.01996696,,10.31537116,,61.71875,62.46875,60.0015625,60.53828125,575.853,0.1408632721633385,2002,1,January,Wednesday,16,3,1,2.093564228482812,-1.9126582278481057
2002-01-17,58.59375,65.15625,57.98984375,64.37265625,599.565,32818,238.8314788,27260.86082,34.98125985,,3401.15,13.71771787,,25.56454324,,10.96872636,,58.59375,65.15625,57.98984375,64.37265625,599.565,6.333802217088902,2002,1,January,Thursday,17,3,1,-3.212068809766543,9.862666666666676
2002-01-18,65.078125,65.546875,61.11171875,61.6484375,416.17,24560,166.6158918,26107.19477,33.50087036,,3377.05,13.13719088,,24.46716397,,10.50453533,,65.078125,65.546875,61.11171875,61.6484375,416.17,-4.231950192361378,2002,1,January,Friday,18,3,1,1.095913686177886,-5.270108043217287
2002-01-21,60.56484375,62.265625,59.84375,61.375,332.865,22394,130.1743962,25991.39806,33.3522795,,3382.29,13.07892175,,24.35701692,,10.45794317,,60.56484375,62.265625,59.84375,61.375,332.865,-0.4435432771511816,2002,1,January,Monday,21,4,1,-1.757698644024836,1.3376675309263033
2002-01-22,61.484375,63.1453125,61.28125,62.28828125,467.475,22801,186.3596009,26378.15906,33.84857297,,3368.28,13.27354064,,24.72490805,,10.61356098,,61.484375,63.1453125,61.28125,62.28828125,467.475,1.4880346232179154,2002,1,January,Tuesday,22,4,1,0.17820773930753564,1.3074968233799191
2002-01-23,62.03125,62.1875,60.203125,60.68359375,299.253,18597,116.8750202,25698.59782,32.9765569,,3373.07,12.9315841,,24.07850225,,10.34013156,,62.03125,62.1875,60.203125,60.68359375,299.253,-2.5762269688569983,2002,1,January,Wednesday,23,4,1,-0.41264784457348813,-2.172544080604534
2002-01-24,61.28515625,61.59375,60.15625,60.31015625,258.725,16048,100.4238787,25540.4526,32.77362424,,3357.79,12.85200513,,23.92807286,,10.27649998,,61.28515625,61.59375,60.15625,60.31015625,258.725,-0.6153846153846176,2002,1,January,Thursday,24,4,1,0.9913099452848406,-1.5909235770284937
2002-01-25,60.9375,60.9375,59.39921875,59.7984375,328.835,20051,126.4894345,25323.74733,32.49554707,,3332.3,12.74295862,,23.72194053,,10.18930608,,60.9375,60.9375,59.39921875,59.7984375,328.835,-0.848478567819988,2002,1,January,Friday,25,4,1,1.0401958625335206,-1.8692307692307717
2002-01-28,60.046875,61.3125,58.671875,58.95703125,273.77,16167,104.7581877,24967.42432,32.03831177,,3317.64,12.56365619,,23.38300234,,10.04593535,,60.046875,61.3125,58.671875,58.95703125,273.77,-1.407070627890572,2002,1,January,Monday,28,5,1,0.4154581798228448,-1.8149882903981265
2002-01-29,59.5625,60.4375,58.59375,58.86171875,303.641,18334,115.686641,24927.0609,31.98651724,,3313.28,12.54334524,,23.34460822,,10.02969465,,59.5625,60.4375,58.59375,58.86171875,303.641,-0.1616643477108548,2002,1,January,Tuesday,29,5,1,1.026966143245213,-1.1765477439664194
2002-01-30,57.8125,58.203125,56.7578125,57.33203125,398.92,24000,146.3703093,24279.26103,31.15525752,,3298.79,12.21737109,,22.72841418,,9.769044799,,57.8125,58.203125,56.7578125,57.33203125,398.92,-2.598781572276121,2002,1,January,Wednesday,30,5,1,-1.7825146330780588,-0.8310810810810811
2002-01-31,58.5625,61.265625,58.125,60.77109375,507.669,27013,194.8077432,25735.65276,33.02410598,,3311.03,12.95023023,,24.1137493,,10.35504105,,58.5625,61.265625,58.125,60.77109375,507.669,5.998501056074135,2002,1,January,Thursday,31,5,1,2.146215166587177,3.7713447171824948
2003-01-01,74.40625,75.390625,74.40625,74.8828125,234.492,14345,112.5627102,31740.4826,34.90842189,,3390.12,11.42046027,,24.30408304,,9.668251396,,74.40625,75.390625,74.40625,74.8828125,234.492,0.44748121522064643,2003,1,January,Wednesday,1,1,1,-0.19177766366598487,0.6404871902561949
2003-01-02,75.40625,75.625,73.59375,73.7171875,286.651,17566,136.9292336,31246.41062,34.3650378,,3365.06,11.24268952,,23.9163323,,9.517755506,,75.40625,75.625,73.59375,73.7171875,286.651,-1.556598852373503,2003,1,January,Thursday,2,1,1,0.6990088680229526,-2.2399502693742304
2003-01-03,74.359375,75.38515625,74.234375,75.01328125,531.714,26665,255.3726682,31795.78423,34.96924303,,3357.54,11.44035821,,24.34748409,,9.685096445,,74.359375,75.38515625,74.234375,75.01328125,531.714,1.7581975031264019,2003,1,January,Friday,3,1,1,0.8711502999215831,0.8793864257196967
2003-01-06,75.078125,75.75,74.53125,75.0125,408.661,23543,196.4684679,31795.45308,34.96887883,,3334.89,11.44023906,,24.3472242,,9.684995577,,75.078125,75.75,74.53125,75.0125,408.661,-0.001041482237529312,2003,1,January,Monday,6,2,1,0.08644302571418887,-0.08740894901144262
2003-01-07,75.3875,76.140625,74.078125,74.33203125,414.92,25515,199.3256045,31507.02365,34.65166198,,3330.5,11.33646002,,24.12086302,,9.597139062,,75.3875,76.140625,74.078125,74.33203125,414.92,-0.9071404765872426,2003,1,January,Tuesday,7,2,1,0.4999166805532411,-1.4000580334936201
2003-01-08,74.609375,75.28125,74.421875,74.8640625,303.153,19929,145.2007191,31732.53506,34.89968113,,3357.87,11.41760069,,24.29784576,,9.665830551,,74.609375,75.28125,74.421875,74.8640625,303.153,0.7157496452782741,2003,1,January,Wednesday,8,2,1,0.37311471963844656,0.34136125654450644
2003-01-09,75.0,75.21875,74.609375,74.94375,203.463,13280,97.6090481,31766.3121,34.93682937,,3384.2,11.42975392,,24.32435419,,9.676119144,,75.0,75.21875,74.609375,74.94375,203.463,0.10644292780663811,2003,1,January,Thursday,9,2,1,0.18157911214075131,-0.07500000000000757
2003-01-10,74.921875,74.921875,69.3140625,69.3140625,1080.731,55092,490.8292793,29380.06362,32.3124153,,3358.99,10.57116407,,22.45161169,,8.949260306,,74.921875,74.921875,69.3140625,69.3140625,1080.731,-7.5118839129346915,2003,1,January,Friday,10,2,1,-0.029188558085223006,-7.484880083420221
2003-01-13,69.0625,69.21875,66.671875,66.97265625,583.898,28683,252.6718279,28387.61472,31.22091254,,3327.16,10.21407362,,21.67273169,,8.646957235,,69.0625,69.21875,66.671875,66.97265625,583.898,-3.3779671332927697,2003,1,January,Monday,13,3,1,-0.36293140371047455,-3.026018099547511
2003-01-14,66.71875,69.88203125,66.5625,69.51171875,534.955,29334,236.3471674,29463.84392,32.40455751,,3335.35,10.60130885,,22.51736299,,8.974780052,,66.71875,69.88203125,66.5625,69.51171875,534.955,3.791192767570717,2003,1,January,Tuesday,14,3,1,-0.379119276757072,4.186182669789227
2003-01-15,70.3125,72.34375,69.75,72.00703125,749.34,36481,342.9879868,30521.52886,33.56780738,,3357.69,10.9818717,,23.34744064,,9.29695423,,70.3125,72.34375,69.75,72.00703125,749.34,3.5897724079797744,2003,1,January,Wednesday,15,3,1,1.152008991289688,2.4099999999999957
2003-01-16,71.5625,72.7140625,70.95703125,72.1140625,353.171,19563,161.8142231,30566.89606,33.61770257,,3373.52,10.99819516,,23.38304509,,9.310773222,,71.5625,72.7140625,70.95703125,72.1140625,353.171,0.14863999826406626,2003,1,January,Thursday,16,3,1,-0.6173442263667789,0.7707423580786066
2003-01-17,71.89296875,72.915625,71.328125,72.2109375,438.568,22511,202.9350199,30607.95834,33.66286317,,3370.39,11.01296967,,23.41527103,,9.323280924,,71.89296875,72.915625,71.328125,72.2109375,438.568,0.13433579615624858,2003,1,January,Friday,17,3,1,-0.30658895413083753,0.4422807341642929
2003-01-20,71.515625,71.878125,70.59375,70.728125,184.1,11978,83.9094049,29979.44049,32.97161451,,3341.89,10.7868243,,22.92200635,,9.131832398,,71.515625,71.878125,70.59375,70.728125,184.1,-2.053445850914193,2003,1,January,Monday,20,4,1,-0.9628908363085578,-1.1011579637316942
2003-01-21,70.5,71.078125,69.734375,69.9234375,194.198,11398,87.3944631,29638.35862,32.5964901,,3354.14,10.66410053,,22.6543232,,9.027937782,,70.5,71.078125,69.734375,69.9234375,194.198,-1.1377192594883567,2003,1,January,Tuesday,21,4,1,-0.3225378871559308,-0.8178191489361621
2003-01-22,69.921875,71.11171875,69.734375,70.26875,204.725,12294,92.3196889,29784.72579,32.75746582,,3357.04,10.71676452,,22.76919306,,9.072521686,,69.921875,71.11171875,69.734375,70.26875,204.725,0.4938437129896389,2003,1,January,Wednesday,22,4,1,-0.002234586936612898,0.49608938547485626
