Date,Open (Unit Curr),High (Unit Curr),Low (Unit Curr),Close (Unit Curr),Volume (000's),No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x),Open,High,Low,Close,Volume,Daily_Return,Year,Month,Month_Name,Weekday,Day_of_Month,Week_of_Year,Quarter,Overnight,Intraday
2000-07-03,132.8125,135.340625,131.890625,135.2570313,349.843,18817,299.685599,57263.0227,200.2563619,,4844.98,59.98623743,,149.8304945,,64.90024339,,132.8125,135.340625,131.890625,135.2570313,349.843,4.0582532425772255,2000,7,July,Monday,3,27,3,2.177584602803489,1.840588272941172
2000-07-04,135.390625,137.734375,134.784375,136.3835938,394.496,19549,344.3759542,57739.96925,201.924307,,4887.06,60.48586577,,151.0879218,,65.44080072,,135.390625,137.734375,134.784375,136.3835938,394.496,0.8329049434045999,2000,7,July,Tuesday,4,27,3,0.09877024411669594,0.7334103081361799
2000-07-05,136.25,136.703125,133.59375,133.8125,251.137,13310,216.7613823,56651.45948,198.1176445,,4912.11,59.34559055,,148.2181624,,64.20711543,,136.25,136.703125,133.59375,133.8125,251.137,-1.88519288014245,2000,7,July,Wednesday,5,27,3,-0.09795445058876273,-1.7889908256880735
2000-07-06,133.59375,133.59375,130.796875,132.0976563,169.836,10006,143.409189,55925.45555,195.5787127,,4885.6,58.5850606,,146.3041174,,63.3842837,,133.59375,133.59375,130.796875,132.0976563,169.836,-1.2815272863147986,2000,7,July,Thursday,6,27,3,-0.16347501167678655,-1.1198830035087637
2000-07-07,132.46875,134.171875,132.2070313,132.5476563,190.15,10956,161.9834204,56115.96956,196.2449654,,4905.94,58.78463474,,146.8063907,,63.60020674,,132.46875,134.171875,132.2070313,132.5476563,190.15,0.34065706584378574,2000,7,July,Friday,7,27,3,0.28092375776691864,0.059565973106864734
2000-07-10,132.96875,134.3390625,129.3046875,130.1007813,295.222,16255,248.4704118,55080.0496,192.6222163,,4867.43,57.69945031,,144.0752796,,62.42612521,,132.96875,134.3390625,129.3046875,130.1007813,295.222,-1.8460341497566035,2000,7,July,Monday,10,28,3,0.31769230158768197,-2.156874227967102
2000-07-11,130.4671875,133.484375,129.0632813,129.3375,600.42,29253,505.7223949,54756.90343,191.4921314,,4898.07,57.36093652,,143.2233334,,62.05988074,,130.4671875,133.484375,129.0632813,129.3375,600.42,-0.5866846396870851,2000,7,July,Tuesday,11,28,3,0.28163259001120244,-0.8658786332770365
2000-07-12,129.0632813,131.203125,126.1140625,131.1296875,481.656,22618,395.5083548,55515.65196,194.1455754,,4964.28,58.15576829,,145.2237066,,62.91982424,,129.0632813,131.203125,126.1140625,131.1296875,481.656,1.3856673431912547,2000,7,July,Wednesday,12,28,3,-0.21201793756644885,1.6010798572498315
2000-07-13,131.234375,132.28125,123.6875,124.4453125,412.742,19740,337.5269616,52685.72502,184.2489467,,4880.8,55.19126062,,137.7628552,,59.7124674,,131.234375,132.28125,123.6875,124.4453125,412.742,-5.097529878579166,2000,7,July,Thursday,13,28,3,0.07983508692492795,-5.173234908917728
2000-07-14,124.140625,124.984375,119.53125,120.809375,886.972,34248,690.3889634,51146.39823,178.8657173,,4856.82,53.57872922,,133.7045567,,57.96783922,,124.140625,124.984375,119.53125,120.809375,886.972,-2.9217151108041906,2000,7,July,Friday,14,28,3,-0.2448364617992341,-2.683448709880426
2000-07-17,121.390625,122.328125,118.984375,119.5414063,501.687,21134,387.0587832,50609.5853,176.9884116,,4747.32,53.01638748,,132.289297,,57.35943107,,121.390625,122.328125,118.984375,119.5414063,501.687,-1.0495615096096644,2000,7,July,Monday,17,29,3,0.48112987920018385,-1.5233620388724372
2000-07-18,119.296875,120.265625,115.234375,116.8148438,584.238,28277,438.5845944,49455.25558,172.9515679,,4734.8,51.80716217,,129.2460091,,56.05114736,,119.296875,120.265625,115.234375,116.8148438,584.238,-2.280851952801566,2000,7,July,Tuesday,18,29,3,-0.20455782441301723,-2.0805500563195762
