Date,Open (Unit Curr),High (Unit Curr),Low (Unit Curr),Close (Unit Curr),Volume (000's),No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x),Open,High,Low,Close,Volume,Daily_Return,Year,Month,Month_Name,Weekday,Day_of_Month,Week_of_Year,Quarter,Overnight,Intraday
2000-06-01,109.0625,111.328125,106.265625,108.85625,367.971,19245,257.4975644,46085.86968,161.1683799,,4325.47,55.3050783,,120.362922,,52.23238344,,109.0625,111.328125,106.265625,108.85625,367.971,-0.33190271816880834,2000,6,June,Thursday,1,22,2,-0.14306151645207438,-0.18911174785100027
2000-06-02,109.21875,119.0625,109.21875,117.578125,393.002,19606,290.8558869,49778.40175,174.0816528,,4453.47,59.73627981,,130.0979553,,56.41739183,,109.21875,119.0625,109.21875,117.578125,393.002,8.012286846184757,2000,6,June,Friday,2,22,2,0.3330079807085006,7.65379113018598
2000-06-05,126.9835938,131.6867188,122.1875,125.1289063,394.532,20134,324.7623585,52975.13433,185.2610493,,4531.53,63.57250004,,138.5258572,,60.0404755,,126.9835938,131.6867188,122.1875,125.1289063,394.532,6.421926952823909,2000,6,June,Monday,5,23,2,7.999335590697669,-1.4605725389384887
2000-06-06,126.5625,128.046875,122.03125,124.8070313,460.22,26395,367.3182745,52838.86389,184.7844935,,4591.68,63.40896949,,138.1665923,,59.88603054,,126.5625,128.046875,122.03125,124.8070313,460.22,-0.2572347265853092,2000,6,June,Tuesday,6,23,2,1.1456934631578435,-1.3870369975308598
2000-06-07,124.21875,125.59375,120.390625,121.0226563,408.773,23844,321.198358,51236.69393,179.1814934,,4604.84,61.48629481,,133.9426133,,58.07017775,,124.21875,125.59375,120.390625,121.0226563,408.773,-3.0321809280948853,2000,6,June,Wednesday,7,23,2,-0.47135269052746515,-2.5729559345911994
2000-06-08,121.5625,124.984375,121.5625,123.5757813,288.614,16092,227.9706398,52317.59637,182.9615521,,4728.81,62.78342546,,136.7923167,,59.29524111,,121.5625,124.984375,121.5625,123.5757813,288.614,2.1096256503171817,2000,6,June,Thursday,8,23,2,0.4460682953956993,1.6561697069408763
2000-06-09,123.75,127.65625,122.65625,122.8148438,403.812,21026,324.2805356,51995.44246,181.8349373,,4729.63,62.39682655,,135.9429865,,58.93012125,,123.75,127.65625,122.65625,122.8148438,403.812,-0.6157658822748657,2000,6,June,Friday,9,23,2,0.1409812652343694,-0.7556817777777733
2000-06-12,125.9375,125.9375,120.78125,121.3429688,234.158,13812,183.2765837,51372.30287,179.6557357,,4639.46,61.64903152,,134.3001342,,58.22387297,,125.9375,125.9375,120.78125,121.3429688,234.158,-1.198450410763796,2000,6,June,Monday,12,24,2,2.5425723010201753,-3.6482629875930566
2000-06-13,120.328125,122.65625,116.40625,121.9203125,328.801,19221,250.8318652,51616.7297,180.5105287,,4615.13,61.94235452,,134.9445439,,58.50089923,,120.328125,122.65625,116.40625,121.9203125,328.801,0.47579493538814077,2000,6,June,Tuesday,13,24,2,-0.8363433085873158,1.323204778600177
2000-06-14,122.484375,123.746875,121.09375,122.5992188,255.831,14988,200.5959687,51904.15449,181.5156912,,4625.04,62.28727696,,135.7023139,,58.82665812,,122.484375,123.746875,121.09375,122.5992188,255.831,0.5568442912250671,2000,6,June,Wednesday,14,24,2,0.46264850247985195,0.0937620002551368
2000-06-15,121.90625,131.09375,121.09375,129.63125,637.266,30498,517.439377,54881.26675,191.9270464,,4653.22,65.8599431,,143.5512062,,62.20083051,,121.90625,131.09375,121.09375,129.63125,637.266,5.735787934727021,2000,6,June,Thursday,15,24,2,-0.5652310078178107,6.336836708536269
2000-06-16,129.6875,132.34375,127.359375,131.7140625,438.07,20865,366.245517,55763.05558,195.0107785,,4764.67,66.91812863,,145.8759643,,63.20022431,,129.6875,132.34375,127.359375,131.7140625,438.07,1.6067209874162325,2000,6,June,Friday,16,24,2,0.043392314738927296,1.5626506024096474
2000-06-19,132.796875,136.171875,130.15625,133.9125,557.151,27665,477.6890782,56693.79593,198.2657006,,4837.24,68.03505814,,148.3297786,,64.25509833,,132.796875,136.171875,130.15625,133.9125,557.151,1.6690985444321793,2000,6,June,Monday,19,25,2,0.8220933129292771,0.8400988351570731
2000-06-20,134.0625,139.265625,134.0625,137.103125,391.498,19492,344.9012848,58044.59322,202.9896174,,4863.9,69.65607453,,151.8910359,,65.78605267,,134.0625,139.265625,134.0625,137.103125,391.498,2.3826192476430696,2000,6,June,Tuesday,20,25,2,0.11201344161299782,2.268065268065272
2000-06-21,137.8109375,139.65625,131.4375,131.8632813,437.688,20379,379.6665183,55826.2295,195.2317061,,4731.57,66.99394012,,146.0425167,,63.27182379,,137.8109375,139.65625,131.4375,131.8632813,437.688,-3.8218265995031087,2000,6,June,Wednesday,21,25,2,0.5162628495885769,-4.315808532976552
2000-06-22,132.34375,134.21875,130.46875,132.8953125,229.019,13174,194.6787249,56263.15487,196.7596919,,4794.16,67.51826986,,147.1944317,,63.76702229,,132.34375,134.21875,130.46875,132.8953125,229.019,0.7826524486767683,2000,6,June,Thursday,22,25,2,0.3643688335852058,0.4167650531286809
2000-06-23,132.421875,132.421875,127.5,128.1601563,297.814,16057,245.8137651,54258.45791,189.7490015,,4721.7,65.112545,,141.909226,,61.49495709,,132.421875,132.421875,127.5,128.1601563,297.814,-3.5630723995626057,2000,6,June,Friday,23,25,2,-0.35624845684454726,-3.2182890477876023
2000-06-26,125.0,127.8125,122.828125,126.396875,237.329,14109,189.7220671,53511.94726,187.1383551,,4670.09,64.21669926,,139.9411169,,60.64888365,,125.0,127.8125,122.828125,126.396875,237.329,-1.3758420330515886,2000,6,June,Monday,26,26,2,-2.4657868648370327,1.1174999999999955
