Date,Open (Unit Curr),High (Unit Curr),Low (Unit Curr),Close (Unit Curr),Volume (000's),No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x),Open,High,Low,Close,Volume,Daily_Return,Year,Month,Month_Name,Weekday,Day_of_Month,Week_of_Year,Quarter,Overnight,Intraday
2000-03-01,137.5,146.8898438,137.5,146.8898438,90.905,3919,84.2710732,62187.94232,467.87628,,5642.12,108.258957,,321.5550116,,122.2028331,,137.5,146.8898438,137.5,146.8898438,90.905,7.999793249546205,2000,3,March,Wednesday,1,9,1,1.0959722445603433,6.828977309090904
2000-03-02,156.234375,158.640625,154.6875,158.640625,16.406,603,16.642885,67162.80571,505.3050884,,5528.31,116.9193741,,347.4471664,,131.9787218,,156.234375,158.640625,154.6875,158.640625,16.406,7.999723395444169,2000,3,March,Thursday,2,9,1,6.361591079586951,1.54015401540154
2000-03-03,170.3125,171.33125,170.3125,171.33125,24.665,1124,27.0397024,72535.56556,545.7275047,,5378.27,126.2724634,,375.4102116,,142.5364995,,170.3125,171.33125,170.3125,171.33125,24.665,7.9996060277750525,2000,3,March,Friday,3,9,1,7.357431301093273,0.5981651376146856
2000-03-06,185.034375,185.0375,184.359375,185.0375,6.06,185,7.1763158,78338.30497,589.3849088,,5520.69,136.3740762,,405.6111267,,153.9392115,,185.034375,185.0375,184.359375,185.0375,6.06,7.999854083828839,2000,3,March,Monday,6,10,1,7.998030131689345,0.0016888753778766495
2000-03-07,199.8398438,199.8398438,199.8398438,199.8398438,13.68,515,17.496378,84605.09153,636.5336112,,5589.85,147.2835187,,438.2272198,,166.2538025,,199.8398438,199.8398438,199.8398438,199.8398438,13.68,7.99964536918194,2000,3,March,Tuesday,7,10,1,7.999645369181932,0.0
2000-03-08,215.8265625,215.8265625,187.5,193.56875,359.148,17052,474.1645925,81950.13319,616.558806,,5511.42,142.6616738,,424.4092339,,161.0366588,,215.8265625,215.8265625,187.5,193.56875,359.148,-3.1380597986636394,2000,3,March,Wednesday,8,10,1,7.999765410144892,-10.312823520042858
2000-03-09,196.859375,202.34375,182.03125,183.0921875,109.646,8286,132.6848092,77514.72875,583.188663,,5328.79,134.9403658,,401.3247451,,152.3208376,,196.859375,202.34375,182.03125,183.0921875,109.646,-5.412321203706694,2000,3,March,Thursday,9,10,1,1.6999773982112327,-6.9934121755694925
2000-03-10,187.484375,197.7390625,179.53125,182.8125,201.023,11193,243.8038557,77396.319,582.2977971,,5301.78,134.7342339,,400.7084701,,152.0881557,,187.484375,197.7390625,179.53125,182.8125,201.023,-0.15275774669522013,2000,3,March,Friday,10,10,1,2.3988939997781205,-2.4918743228602382
2000-03-13,187.46875,192.109375,168.1882813,168.1882813,110.135,6934,124.5890862,71204.94423,535.7164618,,5129.22,123.956071,,368.4848649,,139.9217532,,187.46875,192.109375,168.1882813,168.1882813,110.135,-7.999572622222217,2000,3,March,Monday,13,11,1,2.547008547008547,-10.284630745124188
2000-03-14,154.7335938,158.90625,154.7335938,154.7335938,124.474,6787,124.1577358,65508.70746,492.8603393,,5175.71,114.0398617,,338.838253,,128.7283249,,154.7335938,158.90625,154.7335938,154.7335938,124.474,-7.999777033217126,2000,3,March,Tuesday,14,11,1,-7.9997770332171205,0.0
2000-03-15,142.359375,158.140625,142.3554688,151.6765625,186.399,9983,175.54963,64214.46901,483.1230261,,5249.76,111.7868059,,332.1022646,,126.185073,,142.359375,158.140625,142.3554688,151.6765625,186.399,-1.9756739470236484,2000,3,March,Wednesday,15,11,1,-7.997112001414649,6.544835912633074
2000-03-16,150.0,150.0,139.5429688,139.5429688,132.158,9371,120.8157683,59077.5364,444.4748762,,5102.41,102.844253,,305.366605,,116.0907091,,150.0,150.0,139.5429688,139.5429688,132.158,-7.999649715162804,2000,3,March,Thursday,16,11,1,-1.1053537028833895,-6.9713541333333255
2000-03-21,146.09375,150.70625,144.53125,150.70625,97.316,3463,93.5209878,63803.67316,480.0323686,,5133.24,111.071678,,329.9642381,,125.3778358,,146.09375,150.70625,144.53125,150.70625,97.316,7.999887988623611,2000,3,March,Tuesday,21,12,1,4.694454515575699,3.157219251336906
2000-03-22,156.234375,162.7625,155.484375,162.7625,54.694,2894,56.0165461,68907.86118,518.4341618,,5201.87,119.957228,,356.5294753,,135.4078547,,156.234375,162.7625,155.484375,162.7625,54.694,7.999834114378124,2000,3,March,Wednesday,22,12,1,3.6681458134616105,4.178417841784171
2000-03-23,174.984375,175.7828125,157.96875,159.53125,159.171,9841,169.166671,67539.8647,508.1419238,,5115.02,117.5757717,,349.4096062,,132.7196641,,174.984375,175.7828125,157.96875,159.53125,159.171,-1.9852545887412587,2000,3,March,Thursday,23,12,1,7.509023884494286,-8.831145638003393
2000-03-24,158.609375,172.2929688,151.5625,166.7679688,179.594,8641,191.3824316,70603.63437,531.1924558,,5141.42,122.9092896,,365.3552899,,138.7401452,,158.609375,172.2929688,151.5625,166.7679688,179.594,4.536239012732612,2000,3,March,Friday,24,12,1,-0.5778648383937317,5.143828225790566
2000-03-27,171.09375,173.046875,161.265625,163.1507813,149.172,11138,158.380073,69072.24567,519.6709225,,5146.3,120.2433943,,357.3850302,,135.7308796,,171.09375,173.046875,161.265625,163.1507813,149.172,-2.168994157587889,2000,3,March,Monday,27,13,1,2.5938921191681468,-4.64246572420091
2000-03-28,161.71875,161.71875,151.7429688,156.9875,140.483,10749,139.5614039,66462.9313,500.0395237,,5156.12,115.7010081,,343.8046028,,130.6034289,,161.71875,161.71875,151.7429688,156.9875,140.483,-3.7776596905576665,2000,3,March,Tuesday,28,13,1,-0.877734871135432,-2.9256038647342923
2000-03-29,157.03125,164.84375,157.03125,161.6109375,103.066,7878,106.030515,68420.33052,514.7661834,,5102.46,119.1085175,,353.9920751,,134.4498293,,157.03125,164.84375,157.03125,161.6109375,103.066,2.945099132096507,2000,3,March,Wednesday,29,13,1,0.027868460864711286,2.9164179104477648
2000-03-30,158.6101563,158.6101563,148.6828125,151.1875,91.481,7855,88.1717183,64007.41732,481.5652551,,5041.08,111.426363,,331.0246442,,125.7782046,,158.6101563,158.6101563,148.6828125,151.1875,91.481,-6.449710434975975,2000,3,March,Thursday,30,13,1,-1.8567933868956152,-4.679811478125377
2000-03-31,150.015625,150.015625,139.0929688,139.0929688,102.306,8496,92.0137141,58887.02239,205.9357035,,5001.28,70.66702672,,154.1120257,,66.74083737,,150.015625,150.015625,139.0929688,139.0929688,102.306,-7.999689921455156,2000,3,March,Friday,31,13,1,-0.7751136833402232,-7.281012361212377
