Date,Open (Unit Curr),High (Unit Curr),Low (Unit Curr),Close (Unit Curr),Volume (000's),No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x),Open,High,Low,Close,Volume,Daily_Return,Year,Month,Month_Name,Weekday,Day_of_Month,Week_of_Year,Quarter,Overnight,Intraday
2000-05-02,131.25,134.375,120.734375,123.0,263.437,16039,209.9023484,52073.83104,182.1090725,,4372.22,62.4908963,,136.149651,,59.01896458,,131.25,134.375,120.734375,123.0,263.437,-2.8148148148148144,2000,5,May,Tuesday,2,18,2,3.7037037037037033,-6.2857142857142865
2000-05-03,122.1875,123.28125,109.5484375,120.3125,323.943,19403,242.4283538,50936.039,178.1300633,,4335.29,61.12549562,,133.1499632,,57.7294242,,122.1875,123.28125,109.5484375,120.3125,323.943,-2.184959349593496,2000,5,May,Wednesday,3,18,2,-0.660569105691057,-1.5345268542199488
2000-05-04,121.0859375,128.515625,117.1875,127.6875,289.491,17637,232.5674607,54058.35204,189.0492049,,4553.92,64.87240912,,141.3816646,,61.26816293,,121.0859375,128.515625,117.1875,127.6875,289.491,6.129870129870141,2000,5,May,Thursday,4,18,2,0.6428571428571428,5.451964642880186
2000-05-05,128.0,136.328125,128.0,132.8125,304.992,19370,260.8228002,56228.095,196.6370829,,4693.88,67.47619647,,147.1019995,,63.72728645,,128.0,136.328125,128.0,132.8125,304.992,4.01370533529124,2000,5,May,Friday,5,18,2,0.24473813020068524,3.759765625
2000-05-08,135.78125,135.9375,117.5,118.0125,586.908,33290,474.7186105,49962.3007,174.7247717,,4463.4,59.95696667,,130.5827886,,56.62581754,,135.78125,135.9375,117.5,118.0125,586.908,-11.143529411764707,2000,5,May,Monday,8,19,2,2.235294117647059,-13.086306098964325
2000-05-09,117.265625,124.125,110.34375,123.828125,353.218,22338,268.1655053,52424.42975,183.3351626,,4578.49,62.91163023,,137.0739734,,59.41632296,,117.265625,124.125,110.34375,123.828125,353.218,4.927973731596236,2000,5,May,Tuesday,9,19,2,-0.6328778731066649,5.596269153897402
2000-05-10,124.390625,125.46875,117.984375,120.3125,261.832,16612,202.7419817,50936.039,178.1300633,,4458.4,61.12549562,,133.1499632,,57.7294242,,124.390625,125.46875,117.984375,120.3125,261.832,-2.8391167192429068,2000,5,May,Wednesday,10,19,2,0.45425867507886436,-3.278482602688104
2000-05-11,119.546875,119.546875,108.2117188,112.34375,463.359,24690,335.0405438,47562.3533,166.3318383,,4251.36,57.07692383,,124.2555401,,53.90578701,,119.546875,119.546875,108.2117188,112.34375,463.359,-6.62337662337662,2000,5,May,Thursday,11,19,2,-0.6363636363636364,-6.025356162593125
2000-05-12,111.375,114.046875,105.703125,106.71875,346.466,22336,242.4298757,45180.9281,158.0036795,,4107.14,54.21910845,,117.9771238,,51.206749,,111.375,114.046875,105.703125,106.71875,346.466,-5.006954102920725,2000,5,May,Friday,12,19,2,-0.8623087621696801,-4.1806958473625135
2000-05-15,104.15625,112.5,95.5,108.90625,515.857,28362,342.9626905,46107.0379,161.242408,,4212.53,55.3304811,,120.4187302,,52.25637489,,104.15625,112.5,95.5,108.90625,515.857,2.0497803806734938,2000,5,May,Monday,15,20,2,-2.4011713030746704,4.56045604560456
2000-05-16,109.765625,111.109375,105.3125,108.28125,383.746,22645,264.2428737,45842.4351,160.317057,,4230.13,55.01294606,,119.7211284,,51.95648178,,109.765625,111.109375,105.3125,108.28125,383.746,-0.5738880918220945,2000,5,May,Tuesday,16,20,2,0.7890961262553802,-1.3523131672597866
2000-05-17,108.90625,116.390625,107.0625,109.2695313,366.848,22155,264.8590002,46260.83828,161.7802682,,4234.23,55.51504834,,120.8242112,,52.43068776,,108.90625,116.390625,107.0625,109.2695313,366.848,0.9126984588744502,2000,5,May,Wednesday,17,20,2,0.5772005772005772,0.33357249928263716
2000-05-18,108.59375,109.375,105.625,108.34375,206.536,14545,141.9536245,45868.89538,160.4095921,,4192.44,55.04469956,,119.7908885,,51.98647109,,108.59375,109.375,105.625,108.34375,206.536,-0.8472456035875764,2000,5,May,Thursday,18,20,2,-0.6184535542159839,-0.23021582733812948
