Date,Open (Unit Curr),High (Unit Curr),Low (Unit Curr),Close (Unit Curr),Volume (000's),No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x),Open,High,Low,Close,Volume,Daily_Return,Year,Month,Month_Name,Weekday,Day_of_Month,Week_of_Year,Quarter,Overnight,Intraday
2000-11-01,112.1875,115.15625,112.1875,113.9570313,342.662,16265,250.4996893,48245.35928,168.7204006,,3788.53,43.51867913,,126.0562248,,54.67988611,,112.1875,115.15625,112.1875,113.9570313,342.662,1.727480726420616,2000,11,November,Wednesday,1,44,4,0.1478505872179034,1.5772980947075181
2000-11-02,114.453125,116.4054688,114.453125,115.6007813,419.269,18943,310.1134694,48941.26464,171.1540736,,3875.79,44.14640546,,127.8909176,,55.46860499,,114.453125,116.4054688,114.453125,115.6007813,419.269,1.4424296432158812,2000,11,November,Thursday,2,44,4,0.43533399768374187,1.002730419112623
2000-11-03,116.015625,118.90625,115.484375,118.41875,441.378,19085,332.2953689,50134.29252,175.3262499,,3935.7,45.22255036,,131.0362297,,56.82074806,,116.015625,118.90625,115.484375,118.41875,441.378,2.437672711473282,2000,11,November,Friday,3,44,4,0.35885890677799925,2.0713804713804738
2000-11-06,118.359375,119.6859375,117.315625,118.6203125,442.937,17614,336.234117,50219.62692,175.6246755,,3931.54,45.29952441,,131.2612063,,56.91746359,,118.359375,119.6859375,117.315625,118.6203125,442.937,0.17021164300417002,2000,11,November,Monday,6,45,4,-0.05013986383068799,0.22046204620461804
2000-11-07,117.96875,120.4992188,117.3203125,120.26875,486.574,22103,371.3122485,50917.5168,178.0652888,,3954.83,45.92904083,,133.1011311,,57.70843168,,117.96875,120.4992188,117.3203125,120.26875,486.574,1.3896755667373473,2000,11,November,Tuesday,7,45,4,-0.5492840865682235,1.949668874172183
2000-11-08,120.34375,125.171875,119.703125,124.9484375,707.093,29326,557.2413892,52898.73027,184.9938542,,4028.71,47.71615143,,138.3244247,,59.95388136,,120.34375,125.171875,119.703125,124.9484375,707.093,3.8910253079041723,2000,11,November,Wednesday,8,45,4,0.062360338824509975,3.826278888600361
2000-11-09,123.90625,125.6507813,122.65625,123.859375,435.736,19552,346.4927154,52437.65989,183.3814301,,4022.5,47.3002529,,137.1088535,,59.43131761,,123.90625,125.6507813,122.65625,123.859375,435.736,-0.8716095389348033,2000,11,November,Thursday,9,45,4,-0.8340940638013158,-0.03783102143757881
2000-11-10,123.515625,124.140625,121.390625,122.3640625,348.999,18929,273.1100157,51804.59769,181.1675279,,3941.13,46.72921289,,135.4398412,,58.71382334,,123.515625,124.140625,121.390625,122.3640625,348.999,-1.2072663050334276,2000,11,November,Friday,10,45,4,-0.27753248391573104,-0.9323213156230211
2000-11-13,118.578125,118.65625,114.3757813,115.1804688,545.649,23863,404.1953685,48763.31926,170.5317751,,3820.08,43.98589369,,127.4217804,,55.26692687,,118.578125,118.65625,114.3757813,115.1804688,545.649,-5.870672772081265,2000,11,November,Monday,13,46,4,-3.0939946113672083,-2.865331358545263
2000-11-14,114.453125,120.3117188,113.296875,119.6625,573.161,26158,431.2991238,50660.85209,177.1676983,,3943.54,45.69752199,,132.4244573,,57.41753536,,114.453125,120.3117188,113.296875,119.6625,573.161,3.891311822825294,2000,11,November,Tuesday,14,46,4,-0.6314818888807994,4.551535836177469
2000-11-15,120.0,122.484375,118.3546875,118.7515625,457.668,20984,353.6793879,50275.19351,175.8189993,,3946.53,45.34964704,,131.4077027,,56.98044115,,120.0,122.484375,118.3546875,118.7515625,457.668,-0.7612556147498117,2000,11,November,Wednesday,15,46,4,0.2820432466311549,-1.0403645833333286
2000-11-16,118.75,120.3125,117.4226563,117.73125,293.045,13887,223.109241,49843.22944,174.3083638,,3901.9,44.96000323,,130.2688677,,56.49086564,,118.75,120.3125,117.4226563,117.73125,293.045,-0.8591992210628785,2000,11,November,Thursday,16,46,4,-0.0013157721608974065,-0.8578947368421028
2000-11-17,117.65625,119.828125,115.46875,119.33125,466.621,22604,350.5875586,50520.6126,176.6772623,,3905.84,45.57102201,,132.0547284,,57.25859201,,117.65625,119.828125,115.46875,119.33125,466.621,1.3590274459839735,2000,11,November,Friday,17,46,4,-0.0637044115305009,1.4236387782204492
2000-11-20,119.0,120.859375,118.984375,120.0320313,305.43,15094,234.4986641,50817.29849,177.7148121,,3926.52,45.83864108,,132.8369144,,57.59484716,,119.0,120.859375,118.984375,120.0320313,305.43,0.5872571518357628,2000,11,November,Monday,20,47,4,-0.27758864505315844,0.8672531932773108
2000-11-21,119.609375,120.0320313,117.96875,119.9,323.57,13662,246.958894,50761.40115,177.5193317,,3924.7,45.78822009,,132.689546,,57.53149474,,119.609375,120.0320313,117.96875,119.9,323.57,-0.10999672218326983,2000,11,November,Tuesday,21,47,4,-0.3521195929306912,0.2429784454604881
2000-11-22,120.21875,121.515625,115.796875,115.875,702.929,27521,530.9755177,49057.35912,171.5600714,,3862.39,44.25112597,,128.1969904,,55.6001831,,120.21875,121.515625,115.796875,115.875,702.929,-3.35696413678066,2000,11,November,Wednesday,22,47,4,0.26584653878231385,-3.6132050948791266
2000-11-23,115.78125,116.71875,114.2398438,116.2140625,322.382,15788,238.7155311,49200.90614,172.0620743,,3852.4,44.38060944,,128.5754394,,55.76287511,,115.78125,116.71875,114.2398438,116.2140625,322.382,0.2926105717367733,2000,11,November,Thursday,23,47,4,-0.08090614886731393,0.37381916329284504
2000-11-24,116.40625,117.171875,115.625,116.284375,428.793,17508,319.5824327,49230.67395,172.1661763,,3868.34,44.40746085,,128.6539196,,55.79661309,,116.40625,117.171875,115.625,116.284375,428.793,0.06050257472067777,2000,11,November,Friday,24,47,4,0.1653737042365272,-0.10469798657718365
2000-11-27,118.75,118.75,116.953125,118.5554688,510.288,18396,384.7786754,50192.17438,175.5286704,,3969.2,45.27476144,,131.1888301,,56.88634968,,118.75,118.75,116.953125,118.5554688,510.288,1.9530515600225673,2000,11,November,Monday,27,48,4,2.1203407594528523,-0.16381574736842117
2000-11-28,118.2992188,118.2992188,116.190625,116.615625,451.719,18059,338.5269657,49370.91344,172.6566123,,4023.92,44.53396083,,129.0236485,,55.95555643,,118.2992188,118.2992188,116.190625,116.615625,451.719,-1.6362330811347636,2000,11,November,Tuesday,28,48,4,-0.21614355085743148,-1.4231656109634523
2000-11-29,116.25,116.25,113.765625,115.6992188,466.143,18688,342.6936447,48982.93958,171.2998164,,3996.18,44.18399744,,128.0007899,,55.51583816,,116.25,116.25,113.765625,115.6992188,466.143,-0.7858348313101282,2000,11,November,Wednesday,29,48,4,-0.31353002652945894,-0.473790279569895
