Date,Open (Unit Curr),High (Unit Curr),Low (Unit Curr),Close (Unit Curr),Volume (000's),No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x),Open,High,Low,Close,Volume,Daily_Return,Year,Month,Month_Name,Weekday,Day_of_Month,Week_of_Year,Quarter,Overnight,Intraday
2000-10-03,112.5,119.03125,110.25,118.3757813,718.323,29776,531.8314696,50116.10107,175.262632,,4135.55,45.20614116,,130.9882696,,56.80013041,,112.5,119.03125,110.25,118.3757813,718.323,3.1653412930987557,2000,10,October,Tuesday,3,40,4,-1.955444196306993,5.222916711111111
2000-10-04,118.046875,120.0,115.2359375,118.79375,549.481,25129,414.7964982,50293.0542,175.8814604,,4160.41,45.36575789,,131.4547908,,57.00068393,,118.046875,120.0,115.2359375,118.79375,549.481,0.353086328478569,2000,10,October,Wednesday,4,40,4,-0.2778493171389948,0.6326935804103268
2000-10-05,119.515625,120.53125,116.796875,116.9820313,518.489,23408,394.3433458,49526.03683,173.1990993,,4116.25,44.67388652,,129.4326176,,56.13136877,,119.515625,120.53125,116.796875,116.9820313,518.489,-1.5250959751670456,2000,10,October,Thursday,5,40,4,0.6076708581049063,-2.1198849104458075
2000-10-06,116.828125,117.953125,113.046875,115.4632813,571.168,22747,421.0776785,48883.05203,170.9504964,,4092.42,44.09389603,,127.7374452,,55.40262851,,116.828125,117.953125,113.046875,115.4632813,571.168,-1.2982763105772732,2000,10,October,Friday,6,40,4,-0.13156405158097365,-1.1682492550488117
2000-10-09,117.03125,117.375,115.0,115.6023438,577.85,24901,429.7057787,48941.92615,171.156387,,4056.07,44.14700216,,127.8926616,,55.46935473,,117.03125,117.375,115.0,115.6023438,577.85,0.12043872167348812,2000,10,October,Monday,9,41,4,1.3579803746665169,-1.220961238985314
2000-10-10,116.0,118.4375,113.171875,113.8859375,1056.326,42203,777.4876828,48215.26071,168.6151419,,3945.28,43.49152937,,125.9768726,,54.64577327,,116.0,118.4375,113.171875,113.8859375,1056.326,-1.484750432888715,2000,10,October,Tuesday,10,41,4,0.34398627824360783,-1.8224676724137956
2000-10-11,113.75,113.75,105.8679688,106.2578125,945.285,37464,654.6454222,44985.78354,157.3212332,,3836.51,40.57844959,,117.4626425,,50.98557782,,113.75,113.75,105.8679688,106.2578125,945.285,-6.6980394308998825,2000,10,October,Wednesday,11,41,4,-0.11936284934212986,-6.586538461538462
2000-10-12,106.015625,106.875,102.515625,106.0898438,890.214,35542,594.8185681,44914.67153,157.0725451,,3847.58,40.51430455,,117.275162,,50.90498155,,106.015625,106.875,102.515625,106.0898438,890.214,-0.15807656495846478,2000,10,October,Thursday,12,41,4,-0.2279244173222557,0.070007416359614
2000-10-13,105.78125,105.78125,101.171875,101.2460938,789.78,31025,517.957068,42863.99983,149.901075,,3738.93,38.66454065,,111.868748,,48.58080993,,105.78125,105.78125,101.171875,101.2460938,789.78,-4.565705657113995,2000,10,October,Friday,13,41,4,-0.2908796817363181,-4.28729685081241
2000-10-16,108.515625,109.3453125,101.25,102.0492188,925.223,34779,626.631459,43204.01443,151.090151,,3728.67,38.97124344,,112.7651663,,48.96617258,,108.515625,109.3453125,101.25,102.0492188,925.223,0.7932404795650605,2000,10,October,Monday,16,42,4,7.180060906211478,-5.958963236861046
2000-10-17,101.59375,103.046875,98.43828125,100.7953125,898.449,36616,578.7787318,42673.15506,149.2336656,,3664.79,38.49239327,,111.3656027,,48.36451202,,101.59375,103.046875,98.43828125,100.7953125,898.449,-1.2287269954094016,2000,10,October,Tuesday,17,42,4,-0.44632267189879316,-0.7859120270685999
2000-10-18,100.640625,100.640625,95.34609375,97.5203125,750.497,30422,469.5610405,41286.63639,144.3848265,,3593.63,37.2417142,,107.7101692,,46.79307211,,100.640625,100.640625,95.34609375,97.5203125,750.497,-3.2491590320730346,2000,10,October,Wednesday,18,42,4,-0.1534669580988643,-3.1004502406458596
2000-10-19,97.421875,105.078125,95.46875,104.340625,973.434,38586,625.8275345,44174.11445,154.4827191,,3702.83,39.8463011,,115.3227489,,50.0656557,,97.421875,105.078125,95.46875,104.340625,973.434,6.9937352795090835,2000,10,October,Thursday,19,42,4,-0.1009405091887937,7.1018444266239005
2000-10-20,105.078125,112.6875,105.078125,110.9289063,1101.645,39126,773.8884088,46963.35871,164.2370751,,3692.75,42.36227835,,122.676344,,53.22690398,,105.078125,112.6875,105.078125,110.9289063,1101.645,6.3142053251070696,2000,10,October,Friday,20,42,4,0.7068196112492111,5.568029787360589
2000-10-23,112.5,113.25,106.9546875,107.9195313,633.652,24492,441.4985027,45689.29623,159.7815101,,3619.53,41.21303794,,119.3173913,,51.78291864,,112.5,113.25,106.9546875,107.9195313,633.652,-2.7128862082722915,2000,10,October,Monday,23,43,4,1.4163068513008552,-4.071527733333331
2000-10-24,107.46875,111.171875,105.46875,110.7453125,679.444,29645,470.7056564,46885.63164,163.9652532,,3651.99,42.29216633,,122.4714235,,53.13881037,,107.46875,111.171875,105.46875,110.7453125,679.444,2.6184150041800525,2000,10,October,Tuesday,24,43,4,-0.4177013137194775,3.048851410293687
2000-10-25,110.9375,113.515625,110.390625,113.2242188,591.285,22487,425.866115,47935.11249,167.6354265,,3743.61,43.23882776,,125.2382867,,54.32826143,,110.9375,113.515625,110.390625,113.2242188,591.285,2.238384852632036,2000,10,October,Wednesday,25,43,4,0.17354007647050781,2.061267650704228
2000-10-26,111.734375,112.109375,110.953125,111.7125,100.462,4989,71.8022987,47295.10447,165.3972339,,3757.16,42.66152241,,123.5509623,,53.60289497,,111.734375,112.109375,110.953125,111.7125,100.462,-1.335154983643827,2000,10,October,Thursday,26,43,4,-1.3158349121681048,-0.019577681443149718
2000-10-27,111.875,113.265625,111.4226563,112.5117188,263.384,12945,189.601477,47633.4653,166.5805264,,3729.12,42.96673345,,124.4430206,,53.98638328,,111.875,113.265625,111.4226563,112.5117188,263.384,0.7154246838984024,2000,10,October,Friday,27,43,4,0.14546268322702857,0.5691341229050253
2000-10-30,112.8125,113.75,110.46875,111.0085938,236.767,12325,169.0950166,46997.09557,164.3550573,,3689.43,42.39270995,,122.7652883,,53.26514035,,112.8125,113.75,110.46875,111.0085938,236.767,-1.3359719467728848,2000,10,October,Monday,30,44,4,0.2673332193375069,-1.5990304265927977
2000-10-31,110.625,112.1078125,108.984375,112.021875,322.844,16399,228.1335338,47426.08286,165.8552826,,3711.02,42.77966862,,123.8962752,,53.75134206,,110.625,112.1078125,108.984375,112.021875,322.844,0.9127952758554825,2000,10,October,Tuesday,31,44,4,-0.3455532467072832,1.2627118644067745
