Date,Open (Unit Curr),High (Unit Curr),Low (Unit Curr),Close (Unit Curr),Volume (000's),No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x),Open,High,Low,Close,Volume,Daily_Return,Year,Month,Month_Name,Weekday,Day_of_Month,Week_of_Year,Quarter,Overnight,Intraday
2000-09-04,134.359375,135.9375,133.15625,134.2007813,649.314,27657,560.1913881,56815.84397,198.6925187,,4602.43,59.51779255,,148.6515475,,64.39342403,,134.359375,135.9375,133.15625,134.2007813,649.314,2.576091434138461,2000,9,September,Monday,4,36,3,2.6973122028589676,-0.11803694383068652
2000-09-05,134.6875,135.140625,132.828125,133.3882813,371.361,17612,317.5873291,56471.86033,197.4895625,,4598.65,59.15745034,,147.7446651,,64.00356298,,134.6875,135.140625,132.828125,133.3882813,371.361,-0.6054361175317546,2000,9,September,Tuesday,5,36,3,0.3626794831484424,-0.9646171322505885
2000-09-06,133.2828125,133.2828125,129.3757813,130.6320313,338.232,18041,283.4584092,55304.96198,193.4087647,,4606.35,57.93505868,,144.6682411,,62.68103435,,133.2828125,133.2828125,129.3757813,130.6320313,338.232,-2.0663359428111927,2000,9,September,Wednesday,6,36,3,-0.07906901488802887,-1.9888394837106333
2000-09-07,130.3125,131.9367188,128.75,130.5515625,321.719,16740,268.3532234,55270.89437,193.2896257,,4628.93,57.89937094,,144.5784249,,62.64242312,,130.3125,131.9367188,128.75,130.5515625,321.719,-0.06159959329975484,2000,9,September,Thursday,7,36,3,-0.2446040965758099,0.18345323741006322
2000-09-08,131.171875,134.9140625,131.171875,133.6765625,667.602,27036,571.1825141,56593.90837,197.9163806,,4668.27,59.28530253,,148.066434,,64.14188868,,131.171875,134.9140625,131.171875,133.6765625,667.602,2.3936902325470077,2000,9,September,Friday,8,36,3,0.47514751116058945,1.9094699225729515
2000-09-11,134.53125,138.65625,134.375,135.7539063,913.806,32243,800.6921061,57473.38193,200.9920159,,4696.6,60.20660055,,150.385088,,65.13865841,,134.53125,138.65625,134.375,135.7539063,913.806,1.5540074947693494,2000,9,September,Monday,11,37,3,0.639369747408048,0.9088269825784056
2000-09-12,136.21875,139.53125,134.4539063,138.234375,1132.458,38255,994.8622927,58523.52429,204.6645026,,4763.63,61.30668375,,153.1536952,,66.3288592,,136.21875,139.53125,134.4539063,138.234375,1132.458,1.8271803498003614,2000,9,September,Tuesday,12,37,3,0.3424164450728507,1.4796971782518926
2000-09-13,138.671875,139.453125,135.171875,135.7351563,1128.308,37654,993.1977991,57465.44384,200.9642554,,4702.52,60.19828496,,150.3641599,,65.12966162,,138.671875,139.453125,135.171875,135.7351563,1128.308,-1.8079574635469609,2000,9,September,Wednesday,13,37,3,0.3164914660336837,-2.1177464428169013
2000-09-14,136.359375,137.890625,130.203125,133.8484375,1269.235,45538,1091.462872,56666.67414,198.1708521,,4671.92,59.36152877,,148.2582745,,64.22435928,,136.359375,137.890625,130.203125,133.8484375,1269.235,-1.3900000938813606,2000,9,September,Thursday,14,37,3,0.4598798992210687,-1.841411710782637
2000-09-15,132.828125,134.4375,131.2359375,132.9359375,924.098,31255,785.650416,56280.35405,196.8198397,,4562.38,58.95683674,,147.2397758,,63.78651534,,132.828125,134.4375,131.2359375,132.9359375,924.098,-0.6817412418430369,2000,9,September,Friday,15,37,3,-0.7622894365128384,0.08116692153863823
2000-09-18,131.234375,131.25,124.609375,124.8320313,1071.982,34203,878.9150478,52849.448,184.8215076,,4366.41,55.36276966,,138.1944963,,59.89802627,,131.234375,131.25,124.609375,124.8320313,1071.982,-6.096098882215351,2000,9,September,Monday,18,38,3,-1.2799868357644029,-4.878556932968213
2000-09-19,124.21875,124.21875,115.9539063,120.5523438,887.669,38169,684.5879744,51037.58032,178.4851668,,4264.34,53.46473635,,133.4176679,,57.84450818,,124.21875,124.21875,115.9539063,120.5523438,887.669,-3.428356853150072,2000,9,September,Tuesday,19,38,3,-0.49128520429675737,-2.9515722867924508
2000-09-20,121.078125,123.5929688,118.2820313,121.959375,393.219,18948,305.2201979,51633.26738,180.5683631,,4325.25,54.08875204,,134.988144,,58.51964255,,121.078125,123.5929688,118.2820313,121.959375,393.219,1.1671537488597394,2000,9,September,Wednesday,20,38,3,0.43614349039308953,0.7278358497870646
2000-09-21,121.53125,121.53125,117.515625,117.6148438,341.902,16514,261.4544067,49793.94716,174.1360172,,4257.2,52.16196066,,130.1389394,,56.43501055,,121.53125,121.53125,117.515625,117.6148438,341.902,-3.5622773567017596,2000,9,September,Thursday,21,38,3,-0.35103902426524763,-3.222550743121623
2000-09-22,117.203125,117.203125,108.59375,109.66875,782.621,32591,561.9193633,46429.85332,162.3713362,,4032.37,48.63788311,,121.2698044,,52.62224449,,117.203125,117.203125,108.59375,109.66875,782.621,-6.756029718078837,2000,9,September,Friday,22,38,3,-0.3500568352580703,-6.428476203172908
