Date,Open (Unit Curr),High (Unit Curr),Low (Unit Curr),Close (Unit Curr),Volume (000's),No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x)
14-Nov-25,1510.65,1529.65,1489.3,1502.5,427.328,17004,64.3247736,624198.8027,23.23983777,22.19452435,84562.78,6.743851956,6.040641329,15.36318487,13.4652852,4.419638489,3.683501532
13-Nov-25,1558.95,1558.95,1530.4,1542.35,1051.41,34662,162.3476915,640754.0921,23.8562155,22.78317779,84478.67,6.922715517,6.200854013,15.78018418,13.83698006,4.536858185,3.781197064
12-Nov-25,1541.2,1557.9,1538.25,1551.4,641.435,24832,99.4253927,644513.8253,23.99619589,22.91686194,84466.51,6.963335724,6.237238575,15.8748854,13.92139257,4.563478969,3.803383879
11-Nov-25,1523.25,1532.5,1511,1530.6,521.626,20405,79.4783297,635872.6705,23.67447301,22.60960996,83871.32,6.869976575,6.153614388,15.65722955,13.72738371,4.502295288,3.752390979
10-Nov-25,1495,1520,1490.15,1514.6,664.564,23237,100.4680021,629225.6283,23.42699387,22.37326228,83535.35,6.798161846,6.089288091,15.48980198,13.57814612,4.455230919,3.713165671
07-Nov-25,1470,1481.15,1449.35,1477.35,402.284,17566,58.8890469,613750.4833,22.8508315,21.82301534,83216.28,6.630968178,5.939528431,15.10000965,13.23070236,4.345659182,3.621844252
06-Nov-25,1473.2,1482.7,1461.3,1466.25,1067.624,32784,156.8103543,609139.0978,22.67914285,21.65904913,83311.01,6.581146709,5.894902063,14.98385677,13.12716879,4.313008276,3.594631695
04-Nov-25,1480,1481.2,1463,1468,162.143,9828,23.8641299,609866.118,22.70621088,21.68489966,83459.15,6.589001445,5.901937751,15.00216917,13.14349165,4.318155941,3.598921963
03-Nov-25,1481.3,1490,1474.35,1485.35,296.65,13773,43.9575692,617074.0044,22.97457107,21.94118918,83978.49,6.666875543,5.97169158,15.18372344,13.30532116,4.369191367,3.641456906
31-Oct-25,1491.55,1496.95,1481,1482.5,330.766,11783,49.2082258,615890,22.93048885,21.89908975,83938.71,6.654083544,5.960233458,15.15390041,13.27873821,4.360808026,3.634469898
30-Oct-25,1506,1507.8,1489,1493.6,556.398,22558,83.1338899,620501.3855,23.1021775,22.06305595,84404.46,6.703905013,6.004859827,15.27005329,13.38227179,4.393458933,3.661682455
29-Oct-25,1500,1519.8,1496.85,1510.8,273.304,15210,41.2676836,627646.9558,23.36821757,22.3171297,84997.13,6.781105847,6.074010596,15.45003793,13.5427022,4.444053131,3.703849661
28-Oct-25,1498.2,1505.55,1490.5,1500.6,443.272,21549,66.3300248,623409.4664,23.21044962,22.16645806,84628.16,6.735323957,6.033002582,15.34330285,13.44756323,4.414049595,3.678843527
27-Oct-25,1512.3,1515,1498,1504.8,295.388,13771,44.5194909,625154.315,23.2754129,22.22849932,84778.84,6.754175324,6.049888235,15.38725259,13.4867381,4.426403992,3.68914017
24-Oct-25,1538,1542.3,1517.45,1525.4,373.169,17433,56.9411785,633712.3818,23.59404229,22.53279696,84211.88,6.846636788,6.132708342,15.60281559,13.67888149,4.486999368,3.739642754
23-Oct-25,1515,1545.7,1506.9,1528.85,1133.053,36938,173.4146252,635145.6502,23.64740498,22.58375943,84556.4,6.862121839,6.1465787,15.63891716,13.71106085,4.497147623,3.748100711
21-Oct-25,1477.25,1484.6,1470,1472,161.06,10515,23.7652935,611527.8786,22.76808066,21.74398658,84426.34,6.606955128,5.918019326,15.04402606,13.18080105,4.329922034,3.60872829
20-Oct-25,1446.15,1466.85,1446.15,1461.5,403.826,16260,58.9818375,607165.7572,22.60567248,21.58888341,84363.37,6.559826712,5.875805193,14.93415171,13.08286388,4.299036041,3.582986682
17-Oct-25,1459,1459,1433.8,1441.3,709.603,43384,102.4837272,598773.8664,22.29323007,21.29049447,83952.19,6.469160615,5.794593243,14.7227744,12.89445142,4.239617274,3.533464731
16-Oct-25,1475,1484.85,1460.2,1472.75,764.627,24948,112.4574433,611839.4587,22.77968125,21.75506538,83467.66,6.610321443,5.921034621,15.05187423,13.18779656,4.332128176,3.610566976
15-Oct-25,1488,1488.7,1467.4,1473.9,331.279,18039,48.8592843,612317.2148,22.79746881,21.77205287,82605.43,6.615483127,5.925658073,15.06390808,13.19852301,4.335510928,3.613386295
14-Oct-25,1494.95,1514.85,1486.2,1489.8,163.842,14323,24.539425,618922.713,23.04340121,22.00692337,82029.98,6.686849015,5.989582331,15.23028924,13.34682786,4.382281145,3.652366445
13-Oct-25,1499.95,1504.75,1483.5,1493,314.857,16626,46.9907468,620252.1214,23.09289703,22.05419291,82327.05,6.701211961,6.00244759,15.26377475,13.37667538,4.391694019,3.660211506
10-Oct-25,1510.05,1521.05,1497.95,1514.25,203.481,11429,30.7963898,629080.2243,23.42158026,22.36809217,82500.82,6.796590898,6.087880954,15.4861395,13.57488155,4.454201385,3.712307618
09-Oct-25,1503.9,1513.4,1487.1,1509.4,581.651,20880,87.6936126,627065.3396,23.34656315,22.29644928,82172.1,6.774822058,6.068382045,15.43538802,13.52964391,4.439934998,3.700417446
08-Oct-25,1456.1,1497.9,1455,1494.95,285.653,9464,42.6275536,621062.2297,23.12305855,22.08299778,81773.66,6.709964381,6.010287358,15.28417999,13.39486371,4.397429989,3.66499209
07-Oct-25,1479.35,1483,1454.1,1456.1,222.046,4676,32.3936509,604922.3804,22.52214827,21.50911607,81926.75,6.53558924,5.854095068,14.87764491,13.03249619,4.283151816,3.569748141
06-Oct-25,1446.55,1478.6,1442.05,1475.15,78.527,4311,11.5004394,612836.515,22.81680312,21.79051753,81790.12,6.621093653,5.930683565,15.07698836,13.2101822,4.339187831,3.616450772
03-Oct-25,1443.45,1448.7,1433.8,1446.55,139.459,5084,20.1230497,600954.9271,22.37443416,21.36804605,81207.17,6.492724824,5.815700309,14.77771157,12.94342001,4.25506027,3.546335535
01-Oct-25,1445.4,1449.5,1427.35,1445.65,900.662,29132,129.8069381,600581.031,22.36051346,21.35475149,80983.31,6.488685245,5.812081955,14.76829377,12.93502539,4.252412899,3.544129112
30-Sep-25,1443,1451.8,1438.4,1442.05,82.243,5963,11.8821062,599085.4465,22.30483065,21.30157327,80267.62,6.472526931,5.797608538,14.73062257,12.90144694,4.241823416,3.535303418
29-Sep-25,1460.05,1464.75,1436.7,1440.3,1692.478,4695,245.4918504,598358.4263,23.09105184,21.94522212,80364.94,6.477268684,5.884825089,15.08388881,13.17985087,4.31768995,3.605567966
26-Sep-25,1478.65,1478.65,1441.3,1448.6,208.39,14288,30.3742995,601806.5794,23.22411837,22.07168559,80426.46,6.514595164,5.918737501,15.17293545,13.25903866,4.342571451,3.626345731
25-Sep-25,1487,1503,1476.55,1484.65,451.972,23559,67.1902646,616783.1963,23.80207603,22.6209637,81159.68,6.676718011,6.066031777,15.55969827,13.60298081,4.450641105,3.716591322
24-Sep-25,1493,1496.7,1483.1,1494.2,238.872,25117,35.6209826,620750.6496,23.95518271,22.76647288,81715.63,6.71966595,6.105051481,15.66215556,13.69409447,4.479269821,3.740498268
23-Sep-25,1493.05,1512.95,1493.05,1497.75,216.313,15240,32.4682225,622225.462,24.01204385,22.82051244,82102.1,6.735616395,6.11954299,15.70020639,13.72793249,4.489902024,3.749376889
22-Sep-25,1480.05,1514.7,1480.05,1500.1,722.265,49627,108.3225093,623200.3744,24.04971923,22.85631829,82159.97,6.746184713,6.129144677,15.72541834,13.75035308,4.496946771,3.755259737
19-Sep-25,1541.4,1550.95,1520.6,1540.3,145.218,11622,22.2314851,639901.031,24.69420874,23.46882678,82626.23,6.926970411,6.293394804,16.15670354,14.13388827,4.617456911,3.855893989
18-Sep-25,1545,1554.8,1538,1540.25,661.566,30275,102.2584649,639880.2591,24.69340713,23.46806496,83013.96,6.926745553,6.293190513,16.15616711,14.13341124,4.617307022,3.855768822
17-Sep-25,1515.25,1526.75,1514,1523,213.257,13500,32.4322744,632713.9325,24.4168538,23.20523482,82693.71,6.849169601,6.222710048,15.9711007,13.96883457,4.565595582,3.812586214
16-Sep-25,1508.05,1514.35,1503.95,1511.35,188.722,10550,28.4513644,627874.0656,24.2300801,23.02772925,82380.69,6.796777726,6.175110197,15.84611382,13.85768569,4.530671624,3.783422307
15-Sep-25,1524.1,1527,1501.4,1508.05,165.226,7345,24.9517225,626503.1162,24.17717424,22.9774487,81785.74,6.781937109,6.161626978,15.81070982,13.82620146,4.520779,3.775161287
12-Sep-25,1544.65,1544.65,1522.65,1525.55,443.179,15641,67.86677,633773.3025,24.4577356,23.24408797,81904.7,6.86063735,6.233128899,15.99845835,13.9931633,4.573239882,3.81896973
11-Sep-25,1530,1530,1506.65,1509.5,817.985,41143,123.6299014,627105.503,24.20042076,22.99954167,81548.73,6.788457986,6.167551423,15.82626612,13.84003544,4.525125759,3.778791129
10-Sep-25,1509,1534.5,1509,1532.65,425.557,25956,64.9984532,636722.921,24.57156335,23.35226733,81425.15,6.892567163,6.26213825,16.07463061,14.0609021,4.594524011,3.836743441
09-Sep-25,1480,1507,1472.6,1504.75,575.264,16504,85.8777138,625132.1667,24.12426839,22.92716815,81101.32,6.767096492,6.148143759,15.77530581,13.79471722,4.510886377,3.766900266
08-Sep-25,1452,1458.45,1428.35,1432.65,144.71,9061,20.8098738,595178.999,22.96835561,21.82861435,80787.3,6.442851496,5.853555844,15.00178186,13.10683444,4.294747545,3.586409481
05-Sep-25,1469.5,1472.55,1433.15,1444.35,251.34,16694,36.3222741,600039.6378,23.15593092,22.00688175,80710.76,6.495468229,5.901359985,15.12730516,13.21846036,4.329821391,3.615698554
04-Sep-25,1482.45,1485,1460,1463.25,498.97,30157,73.1843989,607891.4391,23.45893718,22.29485216,80718.01,6.58046449,5.97858206,15.33007358,13.39877915,4.386479143,3.663011673
03-Sep-25,1497.05,1502.4,1473,1479.3,115.052,12601,17.0216045,614559.2386,23.71625202,22.53939847,80567.71,6.652643855,6.044159536,15.5022658,13.551907,4.434593266,3.703190273
02-Sep-25,1499.45,1512.85,1486.1,1497.1,80.249,5548,12.0331626,621954.0567,24.001623,22.8106087,80157.88,6.732693243,6.116887205,15.69323288,13.72173105,4.487953477,3.747749718
01-Sep-25,1472.2,1502.5,1472.2,1499.45,98.064,4300,14.6863692,622930.3389,24.03929838,22.84641454,80364.49,6.743261561,6.126488891,15.71844482,13.74415164,4.494998224,3.753632566
29-Aug-25,1500,1500.9,1467.5,1469.45,463.272,7326,68.5887524,610467.1623,23.55821173,22.38920049,79809.65,6.608312771,6.003883132,15.396507,13.45785735,4.405042037,3.678512965
28-Aug-25,1515.75,1528.4,1498.1,1500.05,220.827,9328,33.2259232,623179.6024,24.04879071,22.85543584,80080.57,6.745925055,6.128908702,15.72479699,13.74980052,4.496773152,3.755114753
26-Aug-25,1522.15,1538.3,1518.05,1529.85,848.744,33521,129.6671085,635556.3371,24.52654409,23.30948203,80786.54,6.879939633,6.25066563,16.04450423,14.03411118,4.586106067,3.829713879
25-Aug-25,1492.05,1539,1492.05,1532.6,530.569,24898,81.1051307,636698.789,24.57063208,23.35138227,81635.91,6.89230675,6.261901588,16.07400741,14.0603479,4.594349877,3.836598027
22-Aug-25,1496.25,1501.45,1485.9,1487.6,196.138,9831,29.3056815,618004.1227,23.8491924,22.66574205,81306.85,6.689935744,6.078040455,15.59122802,13.63101972,4.459451179,3.723948339
21-Aug-25,1508,1508,1484.15,1496.7,161.665,7394,24.1976946,621784.5997,23.99508354,22.80439374,82000.71,6.730859658,6.115221262,15.68885674,13.71783942,4.486730693,3.746728609
20-Aug-25,1440,1499,1439.9,1495.85,353.451,15767,52.2478359,621431.4782,23.98145634,22.79144276,81857.84,6.727037095,6.11174833,15.67973758,13.70972989,4.484182607,3.744600782
19-Aug-25,1434.5,1449.7,1434.5,1440,564.936,15991,81.5636791,598229.3202,23.08606955,21.94048706,81644.39,6.475872191,5.883556235,15.08055471,13.17688591,4.316758334,3.604790003
18-Aug-25,1468.45,1468.45,1429.65,1435.6,86.431,4181,12.4524366,596401.3973,23.01552878,21.87344668,81273.75,6.456084803,5.865578702,15.03334962,13.13490716,4.303568239,3.593775367
14-Aug-25,1427.85,1470,1427.4,1447.45,215.629,7892,31.3457977,601324.326,23.20550789,22.05399861,80597.66,6.509375835,5.913995467,15.16048152,13.24796358,4.339091563,3.623439785
13-Aug-25,1428.95,1434,1422.2,1426,317.483,8675,45.3022513,592413.2018,22.86162165,21.72717677,80539.91,6.412912322,5.826354994,14.93035668,13.04331715,4.27478985,3.569743434
12-Aug-25,1429.8,1441,1421.15,1424.1,704.625,14478,100.5803845,591623.8714,22.83116086,21.69822752,80235.59,6.404367769,5.818591969,14.90997266,13.02518996,4.269094127,3.564987113
11-Aug-25,1420,1433.2,1414.5,1428,130.477,9205,18.5862158,593244.0758,22.89368563,21.75764967,80604.08,6.421906589,5.8345266,14.95181354,13.0623984,4.280785348,3.574750086
08-Aug-25,1428.95,1433.35,1417.05,1423.65,317.247,16554,45.1844085,591436.9248,22.82340998,21.69086124,79857.79,6.402196951,5.816619424,14.90478586,13.02057741,4.267644824,3.563776846
