Date,Day,Open,High,Low,Close,Volume,Overnight,Intraday,Previous day,Unnamed: 10,No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x),Daily_Return,Weekday,Month,Month_Name,Year,Day_of_Month,Is_April,Is_Wednesday,YearMonth,Days_From_Month_End,Is_Last_5_Days,Is_Monday,Is_First_Monday
2000-01-03,Monday,24.16,25.4,24.16,25.4,5731.82,,,,,10459.0,143.13,23563.36,13.83,,5375.11,2.52,,7.15,,2.71,,,Monday,1,January,2000,3,0,0,2000-01,19,0,1,1
2000-01-04,Tuesday,25.68,27.43,25.27,27.43,11491.3,,,,,18817.0,304.69,25444.88,14.94,,5491.01,2.72,,7.6,,2.93,,7.992125984251963,Tuesday,1,January,2000,4,0,0,2000-01,18,0,0,0
2000-01-05,Wednesday,27.38,28.87,25.54,28.74,19501.03,,,,,31545.0,531.86,26658.76,15.65,,5357.0,2.85,,7.88,,3.07,,4.775792927451694,Wednesday,1,January,2000,5,0,1,2000-01,17,0,0,0
2000-01-06,Thursday,28.98,30.15,28.98,29.49,11969.53,,,,,21293.0,352.26,27354.41,16.06,,5421.53,2.93,,8.05,,3.15,,2.609603340292277,Thursday,1,January,2000,6,0,0,2000-01,16,0,0,0
2000-01-07,Friday,29.56,31.85,29.41,31.56,15282.95,,,,,24265.0,470.25,29273.28,17.18,,5414.48,3.13,,8.5,,3.37,,7.019328585961349,Friday,1,January,2000,7,0,0,2000-01,15,0,0,0
2000-01-10,Monday,32.01,32.72,30.9,30.93,10577.7,,,,,20598.0,332.15,28689.68,16.84,,5518.39,3.07,,8.36,,3.3,,-1.9961977186311763,Monday,1,January,2000,10,0,0,2000-01,14,0,1,0
2000-01-11,Tuesday,31.11,31.41,28.46,29.05,10047.01,,,,,17157.0,298.49,26943.56,15.81,,5296.3,2.88,,7.95,,3.1,,-6.078241189783373,Tuesday,1,January,2000,11,0,0,2000-01,13,0,0,0
2000-01-12,Wednesday,29.19,30.6,28.39,30.58,7299.55,,,,,15758.0,214.02,32013.14,18.79,,5491.2,3.38,,9.14,,3.68,,5.266781411359722,Wednesday,1,January,2000,12,0,1,2000-01,12,0,0,0
2000-01-13,Thursday,30.65,31.79,30.58,31.06,11374.73,,,,,24188.0,353.43,32508.4,19.08,,5444.82,3.43,,9.26,,3.74,,1.5696533682145297,Thursday,1,January,2000,13,0,0,2000-01,11,0,0,0
2000-01-14,Friday,31.21,32.26,31.11,31.8,12638.27,,,,,20915.0,398.38,33288.18,19.54,,5471.27,3.52,,9.45,,3.83,,2.3824855119124244,Friday,1,January,2000,14,0,0,2000-01,10,0,0,0
