Date,Year,Weekday,Day_of_Month,Open,High,Low,Close,Volume,Daily_Return
2000-04-03,2000,Monday,3,32.29,33.65,32.07,32.81,14944.19,3.6323436512950114
2000-04-04,2000,Tuesday,4,32.72,32.82,30.19,30.23,14442.58,-7.863456263334356
2000-04-05,2000,Wednesday,5,30.25,31.48,28.1,30.3,17298.88,0.23155805491232861
2000-04-06,2000,Thursday,6,30.66,32.72,30.42,32.72,9653.83,7.986798679867979
2000-04-07,2000,Friday,7,33.11,35.33,33.11,35.33,8246.91,7.976772616136918
2000-04-10,2000,Monday,10,37.25,37.94,36.16,36.54,15551.57,3.4248514010755793
2000-04-11,2000,Tuesday,11,36.27,36.27,34.86,35.78,5714.53,-2.0799124247400047
2000-04-12,2000,Wednesday,12,35.93,36.23,33.62,33.62,8817.94,-6.036892118501969
2000-04-13,2000,Thursday,13,33.33,33.33,30.94,30.94,187.85,-7.971445568114211
2000-04-17,2000,Monday,17,28.46,30.25,28.46,29.88,13709.17,-3.4259857789269654
2000-04-18,2000,Tuesday,18,30.2,31.08,29.6,30.05,7039.83,0.568942436412323
2000-04-19,2000,Wednesday,19,30.1,32.45,30.1,31.73,11029.77,5.590682196339425
2000-04-20,2000,Thursday,20,31.91,34.27,31.13,34.27,13106.53,8.005042546485974
2000-04-24,2000,Monday,24,34.84,36.2,32.52,32.72,11129.34,-4.522906332068876
2000-04-25,2000,Tuesday,25,32.41,34.03,31.21,33.62,12233.28,2.750611246943757
2000-04-26,2000,Wednesday,26,33.91,36.31,33.62,36.31,12950.72,8.001189767995264
2000-04-27,2000,Thursday,27,36.34,36.92,34.23,34.73,18249.61,-4.351418342054547
2000-04-28,2000,Friday,28,34.93,35.64,34.43,34.92,10302.34,0.5470774546501689
2001-04-02,2001,Monday,2,38.76,39.56,37.75,39.2,1509.13,-0.3811944091486663
2001-04-03,2001,Tuesday,3,38.96,39.76,38.96,39.28,1183.4,0.20408163265306367
2001-04-04,2001,Wednesday,4,39.16,39.16,38.05,38.57,1244.01,-1.8075356415478638
2001-04-06,2001,Friday,6,38.74,39.55,38.35,38.47,853.15,-0.25926886180970277
2001-04-09,2001,Monday,9,38.25,38.56,35.49,35.99,5010.5,-6.446581752014547
2001-04-10,2001,Tuesday,10,35.84,35.93,32.75,33.05,4321.37,-8.16893581550432
2001-04-11,2001,Wednesday,11,33.07,33.89,30.8,32.34,4760.67,-2.148260211800279
2001-04-12,2001,Thursday,12,32.22,32.22,29.76,29.78,5370.26,-7.915893630179349
2001-04-16,2001,Monday,16,29.7,31.55,29.3,31.09,2671.4,4.398925453324365
2001-04-17,2001,Tuesday,17,31.22,32.41,30.88,31.73,2747.89,2.0585397233837233
2001-04-18,2001,Wednesday,18,31.53,33.26,30.4,33.05,4522.46,4.160100850929704
2001-04-19,2001,Thursday,19,33.0,38.14,33.0,37.22,6580.95,12.617246596066579
2001-04-20,2001,Friday,20,37.01,37.75,35.6,36.24,3101.06,-2.6329930145083225
2001-04-23,2001,Monday,23,36.25,36.58,35.33,35.56,2266.56,-1.8763796909492259
2001-04-24,2001,Tuesday,24,35.33,35.64,34.7,35.22,2103.36,-0.9561304836895435
2001-04-25,2001,Wednesday,25,35.33,36.64,35.33,36.25,2713.57,2.9244747302668905
2001-04-26,2001,Thursday,26,36.34,36.99,35.64,35.78,2512.86,-1.2965517241379287
2001-04-27,2001,Friday,27,35.43,35.43,33.55,35.02,2230.31,-2.124091671324757
2001-04-30,2001,Monday,30,35.23,35.67,33.58,34.53,2773.7,-1.3992004568817884
2002-04-01,2002,Monday,1,30.35,31.05,30.12,30.3,1318.12,0.09910802775026095
2002-04-02,2002,Tuesday,2,30.4,30.65,30.3,30.55,939.65,0.8250825082508184
2002-04-03,2002,Wednesday,3,30.57,30.57,29.9,30.05,629.94,-1.6366612111292977
2002-04-04,2002,Thursday,4,30.4,31.5,30.26,30.66,7271.26,2.029950083194665
2002-04-05,2002,Friday,5,30.89,31.31,30.67,30.73,1530.33,0.22831050228311334
2002-04-08,2002,Monday,8,30.9,31.04,30.37,30.5,838.13,-0.7484542792059901
2002-04-09,2002,Tuesday,9,30.6,30.62,30.12,30.2,601.87,-0.983606557377048
2002-04-10,2002,Wednesday,10,30.19,30.45,29.61,29.83,1483.47,-1.2251655629139102
2002-04-11,2002,Thursday,11,30.05,30.25,29.72,29.8,461.6,-0.10056989607776234
2002-04-12,2002,Friday,12,30.1,30.17,29.8,30.04,559.72,0.805369127516764
2002-04-15,2002,Monday,15,30.19,30.19,29.51,29.58,359.84,-1.5312916111850927
2002-04-16,2002,Tuesday,16,29.71,29.73,28.96,29.1,933.28,-1.6227180527383256
2002-04-17,2002,Wednesday,17,29.2,29.44,29.09,29.2,578.87,0.3436426116838476
2002-04-18,2002,Thursday,18,29.4,29.79,29.29,29.42,1048.5,0.7534246575342518
2002-04-19,2002,Friday,19,29.6,29.64,28.44,28.63,1262.06,-2.6852481305234654
2002-04-22,2002,Monday,22,28.69,29.09,28.24,28.92,1082.17,1.0129235068110365
2002-04-23,2002,Tuesday,23,29.49,29.68,28.69,29.25,1453.78,1.1410788381742698
2002-04-24,2002,Wednesday,24,29.5,29.68,29.09,29.16,450.31,-0.3076923076923088
2002-04-25,2002,Thursday,25,29.19,29.33,28.73,28.9,842.22,-0.8916323731138598
2002-04-26,2002,Friday,26,28.94,29.29,28.74,29.04,528.03,0.48442906574395206
2002-04-29,2002,Monday,29,28.99,29.04,27.44,27.64,2759.33,-4.820936639118456
2002-04-30,2002,Tuesday,30,27.28,28.19,27.28,28.05,781.93,1.4833574529667048
2003-04-01,2003,Tuesday,1,27.88,28.46,27.88,28.36,1084.93,1.904419690980963
2003-04-02,2003,Wednesday,2,28.44,28.84,28.29,28.37,1503.95,0.03526093088859206
2003-04-03,2003,Thursday,3,28.59,28.89,28.41,28.76,861.72,1.3746915756080336
2003-04-04,2003,Friday,4,28.8,29.63,28.8,29.53,2197.26,2.6773296244784417
2003-04-07,2003,Monday,7,29.7,30.38,29.7,30.21,2433.81,2.3027429732475513
2003-04-08,2003,Tuesday,8,30.4,30.4,29.83,29.83,1266.85,-1.2578616352201366
2003-04-09,2003,Wednesday,9,29.84,29.84,29.04,29.04,2160.27,-2.6483405967147156
2003-04-10,2003,Thursday,10,28.92,29.03,28.41,28.74,1140.23,-1.0330578512396715
2003-04-11,2003,Friday,11,28.59,29.6,28.59,29.5,1330.87,2.6443980514961885
2003-04-15,2003,Tuesday,15,29.34,29.69,27.61,28.54,2199.06,-3.2542372881355974
2003-04-16,2003,Wednesday,16,28.19,28.74,28.19,28.55,1124.91,0.03503854239663706
2003-04-17,2003,Thursday,17,28.39,28.49,27.78,28.0,2152.38,-1.9264448336252182
2003-04-21,2003,Monday,21,28.03,28.39,27.88,28.1,779.95,0.3571428571428559
2003-04-22,2003,Tuesday,22,28.08,28.16,27.49,27.94,1575.67,-0.5693950177935947
2003-04-23,2003,Wednesday,23,26.58,28.63,26.58,27.24,8442.41,-2.505368647100936
2003-04-24,2003,Thursday,24,27.46,27.88,27.33,27.57,3077.37,1.211453744493407
2003-04-25,2003,Friday,25,27.58,27.63,26.88,26.99,3016.17,-2.103735944867613
2003-04-28,2003,Monday,28,26.97,27.56,26.67,27.38,2020.13,1.4449796220822542
2003-04-29,2003,Tuesday,29,27.43,27.57,27.25,27.48,1389.86,0.36523009495983416
2003-04-30,2003,Wednesday,30,27.38,27.79,27.33,27.67,997.05,0.6914119359534343
2004-04-01,2004,Thursday,1,54.29,56.15,54.26,55.97,3689.08,3.341949778434272
2004-04-02,2004,Friday,2,56.07,57.27,55.94,56.99,3027.36,1.822404859746296
2004-04-05,2004,Monday,5,57.28,58.47,57.28,57.8,2549.36,1.4213019828039908
2004-04-06,2004,Tuesday,6,58.03,58.39,56.8,57.76,2712.09,-0.06920415224913601
2004-04-07,2004,Wednesday,7,58.33,58.44,57.38,57.75,1963.87,-0.017313019390574613
2004-04-08,2004,Thursday,8,57.88,58.34,56.99,57.69,2145.48,-0.10389610389610615
