Metric,Value
Total Trading Days,1285.0
Mean Daily Return (%),0.19682138550462946
Median Daily Return (%),0.1428163381891112
Std Deviation (%),1.9638595503373992
Min Daily Return (%),-12.76430434541318
Max Daily Return (%),14.647513433666571
Win Rate (%),53.463035019455255
Average Win (%),1.4595945717489658
Average Loss (%),-1.2580972993592126
10th Percentile (%),-1.8107242006340751
25th Percentile (%),-0.8729245438106159
75th Percentile (%),1.1467072657186383
90th Percentile (%),2.1468988393586317
Skewness,0.5363189018800596
Kurtosis,7.912578800060338
