Date,Year,Month_Name,Open,High,Low,Close,Volume,Daily_Return
2000-01-07,2000,January,29.56,31.85,29.41,31.56,15282.95,7.019328585961349
2000-01-14,2000,January,31.21,32.26,31.11,31.8,12638.27,2.3824855119124244
2000-01-21,2000,January,31.41,32.87,31.41,32.81,12712.07,4.824281150159759
2000-01-28,2000,January,33.57,34.18,33.29,33.8,9096.79,0.8353221957040358
2000-02-04,2000,February,34.48,34.82,34.03,34.05,8910.94,-0.9022118742724183
2000-02-11,2000,February,36.73,38.25,35.84,35.99,8932.39,-1.8543768748295553
2000-02-18,2000,February,35.44,35.93,35.04,35.23,5370.89,-1.0115200899129206
2000-02-25,2000,February,33.33,34.28,32.21,32.42,5542.06,-3.969194312796198
2000-03-03,2000,March,28.69,28.99,27.06,27.09,7097.24,-7.888473308398503
2000-03-10,2000,March,23.35,23.56,21.64,22.12,7328.11,-4.034707158351414
2000-03-24,2000,March,24.16,24.41,24.06,24.21,2292.95,0.3731343283582156
2000-03-31,2000,March,29.32,31.66,28.72,31.66,11125.47,7.9809004092769475
2000-04-07,2000,April,33.11,35.33,33.11,35.33,8246.91,7.976772616136918
2000-04-28,2000,April,34.93,35.64,34.43,34.92,10302.34,0.5470774546501689
2000-05-05,2000,May,34.12,34.43,33.24,33.92,8389.28,-0.029472443265543546
2000-05-12,2000,May,31.84,32.41,31.46,31.82,3314.47,-0.6246096189881367
2000-05-19,2000,May,31.31,32.16,30.98,31.76,5791.87,1.8928456849534703
2000-05-26,2000,May,31.41,32.01,31.36,32.0,2508.51,1.2337867763366095
2000-06-02,2000,June,34.33,34.81,33.64,33.73,4856.1,-1.1719894520949459
2000-06-09,2000,June,34.08,35.49,34.04,34.1,8891.67,-0.37978381536661887
2000-06-16,2000,June,33.22,33.76,33.15,33.35,4489.12,0.12008405884118556
2000-06-23,2000,June,35.16,35.62,33.58,33.65,16253.85,-4.158359441754489
2000-06-30,2000,June,34.08,34.56,33.8,34.32,4209.33,0.4389815627743543
