Date,Year,Month_Name,Open,High,Low,Close,Volume,Daily_Return
2000-01-03,2000,January,24.16,25.4,24.16,25.4,5731.82,
2000-01-10,2000,January,32.01,32.72,30.9,30.93,10577.7,-1.9961977186311763
2000-01-17,2000,January,32.01,32.92,31.1,31.11,6237.25,-2.169811320754722
2000-01-24,2000,January,33.04,33.61,32.77,33.03,9245.68,0.6705272782688176
2000-01-31,2000,January,33.02,33.98,33.02,33.12,7301.83,-2.0118343195266286
2000-02-07,2000,February,34.23,35.42,34.23,34.63,8547.41,1.7033773861967916
2000-02-14,2000,February,35.43,36.62,35.43,35.49,3931.14,-1.3892747985551512
2000-02-21,2000,February,35.23,35.64,34.84,34.98,2999.0,-0.7096224808401885
2000-02-28,2000,February,33.2,34.21,32.11,34.08,5785.78,5.12029611351017
2000-03-06,2000,March,28.19,28.97,25.02,26.26,7876.89,-3.063861203396079
2000-03-13,2000,March,22.65,23.25,20.35,20.49,7784.08,-7.368896925858959
2000-03-27,2000,March,25.16,26.14,24.76,26.14,3435.98,7.97191243287898
2000-04-03,2000,April,32.29,33.65,32.07,32.81,14944.19,3.6323436512950114
2000-04-10,2000,April,37.25,37.94,36.16,36.54,15551.57,3.4248514010755793
2000-04-17,2000,April,28.46,30.25,28.46,29.88,13709.17,-3.4259857789269654
2000-04-24,2000,April,34.84,36.2,32.52,32.72,11129.34,-4.522906332068876
2000-05-08,2000,May,33.29,34.03,32.48,32.58,3704.51,-3.9504716981132226
2000-05-15,2000,May,31.46,32.66,30.81,32.19,4980.84,1.1627906976744207
2000-05-22,2000,May,30.6,31.89,30.6,31.51,2991.62,-0.7871536523929468
2000-05-29,2000,May,32.2,35.03,32.02,34.02,9050.04,6.31250000000001
2000-06-05,2000,June,34.24,35.47,33.92,34.14,10942.6,1.2155351319300456
2000-06-12,2000,June,34.73,34.82,34.13,34.29,4545.25,0.5571847507331418
2000-06-19,2000,June,33.22,33.91,33.22,33.45,2628.6,0.2998500749625155
2000-06-26,2000,June,33.45,33.72,33.13,33.29,2323.68,-1.0698365527488818
2000-07-03,2000,July,34.44,35.52,34.44,35.08,8802.39,2.2144522144522005
2000-07-10,2000,July,36.64,37.38,36.19,37.07,5861.78,1.6173245614035103
2000-07-17,2000,July,36.49,36.7,36.04,36.42,4556.56,0.5244272702180641
2000-07-24,2000,July,33.72,34.1,32.63,32.73,4485.12,-4.909936083672295
2000-07-31,2000,July,33.73,34.33,33.73,34.02,1296.24,-0.8452346254736232
2000-08-07,2000,August,32.54,33.47,32.54,33.3,1859.74,0.48280024140010536
2000-08-14,2000,August,33.17,33.42,32.46,33.24,2804.64,0.4229607250755274
2000-08-21,2000,August,33.83,34.13,33.83,33.96,1099.09,0.26572187776794376
2000-08-28,2000,August,33.24,33.81,33.02,33.49,985.75,-0.3273809523809512
2000-09-04,2000,September,33.33,35.92,33.33,35.91,9627.21,5.835543766578244
2000-09-11,2000,September,38.18,38.96,37.65,38.71,8895.11,2.842720510095642
2000-09-18,2000,September,35.33,36.64,34.74,34.83,3621.44,-5.17288320174244
2000-09-25,2000,September,34.43,35.22,34.04,34.56,3771.45,2.5519287833827953
2000-10-09,2000,October,35.23,35.23,33.98,34.32,2152.39,0.20437956204379937
2000-10-16,2000,October,32.76,33.42,30.81,30.9,5852.58,-3.346887707225521
2000-10-23,2000,October,29.9,30.0,28.56,28.92,4042.39,-2.8878441907320362
2000-10-30,2000,October,30.6,31.16,30.21,30.33,2975.9,-0.9470934030045841
2000-11-06,2000,November,31.95,32.23,31.41,31.46,3710.63,-0.4745333755140746
2000-11-13,2000,November,30.2,30.95,30.2,30.44,2355.67,-3.088188475007958
2000-11-20,2000,November,31.41,31.51,31.18,31.26,1879.19,0.09606147934677622
