Date,Year,Month_Name,Open,High,Low,Close,Volume,Daily_Return
2000-01-06,2000,January,28.98,30.15,28.98,29.49,11969.53,2.609603340292277
2000-01-13,2000,January,30.65,31.79,30.58,31.06,11374.73,1.5696533682145297
2000-01-20,2000,January,32.01,32.67,31.11,31.3,9849.38,-1.9116264493889035
2000-01-27,2000,January,32.42,33.73,32.41,33.52,11499.3,2.916794596254224
2000-02-03,2000,February,33.92,34.5,33.67,34.36,5940.99,1.0291090855630847
2000-02-10,2000,February,34.83,36.69,34.65,36.67,8800.58,5.434157561817132
2000-02-17,2000,February,34.83,35.79,34.63,35.59,5922.03,2.4762453210481095
2000-02-24,2000,February,33.31,34.2,33.14,33.76,4192.55,1.9323671497584627
2000-03-02,2000,March,32.01,32.3,29.41,29.41,9208.74,-8.007507037847983
2000-03-09,2000,March,23.68,24.3,22.55,23.05,4162.42,-2.4132091447925497
2000-03-16,2000,March,24.06,24.91,23.15,23.51,7686.0,-1.5494137353433746
2000-03-23,2000,March,24.2,24.71,23.98,24.12,2913.84,-0.6998764923836887
2000-03-30,2000,March,27.03,29.32,26.02,29.32,9824.14,7.9926335174953955
2000-04-06,2000,April,30.66,32.72,30.42,32.72,9653.83,7.986798679867979
2000-04-13,2000,April,33.33,33.33,30.94,30.94,187.85,-7.971445568114211
2000-04-20,2000,April,31.91,34.27,31.13,34.27,13106.53,8.005042546485974
2000-04-27,2000,April,36.34,36.92,34.23,34.73,18249.61,-4.351418342054547
2000-05-04,2000,May,32.82,34.57,32.82,33.93,7746.64,2.1372667068031426
2000-05-11,2000,May,32.58,32.58,31.56,32.02,4541.8,-2.199144777031148
2000-05-18,2000,May,31.96,32.2,30.88,31.17,2801.78,-2.8971962616822444
2000-05-25,2000,May,31.61,31.99,31.36,31.61,2528.77,0.31735956839098467
2000-06-01,2000,June,34.43,34.83,33.84,34.13,3869.87,-1.3583815028901713
2000-06-08,2000,June,34.08,34.73,34.08,34.23,4156.72,0.7653812187224052
2000-06-15,2000,June,33.92,34.03,32.92,33.31,4493.63,-1.971748087110048
2000-06-22,2000,June,33.02,35.13,32.53,35.11,10389.52,6.168732990625947
2000-06-29,2000,June,33.72,34.64,33.69,34.17,5286.38,1.8479880774962876
2000-07-06,2000,July,35.43,36.82,35.16,36.65,14709.7,3.2685263454494073
2000-07-13,2000,July,37.1,37.65,36.64,36.77,3726.53,-1.1824778285407067
2000-07-20,2000,July,35.49,36.34,34.95,36.02,6278.83,1.2935883014623117
