Date,Year,Month_Name,Open,High,Low,Close,Volume,Daily_Return
2000-01-04,2000,January,25.68,27.43,25.27,27.43,11491.3,7.992125984251963
2000-01-11,2000,January,31.11,31.41,28.46,29.05,10047.01,-6.078241189783373
2000-01-18,2000,January,31.16,32.41,31.01,32.21,9552.8,3.535840565734505
2000-01-25,2000,January,33.02,33.02,32.26,32.57,6857.94,-1.3926733272782377
2000-02-01,2000,February,33.08,34.17,33.06,34.15,8462.5,3.1099033816425203
2000-02-08,2000,February,34.74,35.08,34.53,34.67,4123.39,0.11550678602367803
2000-02-15,2000,February,35.43,35.94,34.98,35.04,5133.57,-1.2679628064243498
2000-02-22,2000,February,34.83,35.18,34.05,34.33,4143.23,-1.8582046883933612
2000-02-29,2000,February,34.23,34.71,31.35,31.35,10270.56,-8.010563380281678
2000-03-07,2000,March,25.88,26.48,24.44,24.86,7168.26,-5.331302361005341
2000-03-14,2000,March,20.73,22.12,20.03,22.12,8137.11,7.955100048804309
2000-03-21,2000,March,23.86,24.31,22.96,24.21,4532.76,2.9774564015312643
2000-03-28,2000,March,26.77,28.23,26.58,28.23,6550.16,7.995409334353476
2000-04-04,2000,April,32.72,32.82,30.19,30.23,14442.58,-7.863456263334356
2000-04-11,2000,April,36.27,36.27,34.86,35.78,5714.53,-2.0799124247400047
2000-04-18,2000,April,30.2,31.08,29.6,30.05,7039.83,0.568942436412323
2000-04-25,2000,April,32.41,34.03,31.21,33.62,12233.28,2.750611246943757
2000-05-02,2000,May,35.64,35.76,32.72,33.07,11168.28,-5.297823596792672
2000-05-09,2000,May,32.5,33.16,31.87,33.14,5043.73,1.7188459177409632
2000-05-16,2000,May,32.21,32.41,31.71,31.91,3038.4,-0.8698353525939617
2000-05-23,2000,May,31.32,31.81,31.06,31.63,3126.88,0.38083148206917716
2000-05-30,2000,May,34.16,34.82,33.92,34.59,6161.36,1.6754850088183337
2000-06-06,2000,June,34.03,34.62,33.87,34.08,3896.01,-0.17574692442883233
2000-06-13,2000,June,34.32,34.93,34.05,34.18,6364.26,-0.320793234179062
2000-06-20,2000,June,33.42,33.71,33.12,33.29,2794.52,-0.4783258594917905
2000-06-27,2000,June,33.37,34.23,33.37,33.63,5378.37,1.0213277260438636
2000-07-04,2000,July,35.23,35.35,34.73,34.81,6054.86,-0.7696693272519872
2000-07-11,2000,July,37.0,37.84,36.9,37.69,8116.67,1.6725114647963224
2000-07-18,2000,July,36.35,36.55,36.05,36.16,2332.34,-0.7138934651290674
2000-07-25,2000,July,32.86,33.94,32.21,33.91,5698.3,3.6052551176290804
2000-08-01,2000,August,34.13,34.51,33.82,34.02,2996.23,0.0
2000-08-08,2000,August,33.22,33.61,33.22,33.39,1426.39,0.2702702702702897
2000-08-22,2000,August,33.88,34.47,33.88,34.15,2046.29,0.5594817432273302
2000-08-29,2000,August,33.42,33.77,33.3,33.41,1185.46,-0.23887727679906545
2000-09-05,2000,September,35.92,36.18,35.52,35.81,3692.16,-0.2784739626844779
2000-09-12,2000,September,38.76,39.26,38.35,38.79,6730.0,0.2066649444588009
2000-09-19,2000,September,34.73,35.54,33.72,34.25,5476.99,-1.6652311225954564
2000-09-26,2000,September,34.58,34.7,34.04,34.58,3087.03,0.05787037037034981
2000-10-03,2000,October,34.42,34.81,34.05,34.7,1804.59,0.6088721368512573
2000-10-10,2000,October,34.23,34.43,33.63,33.74,2105.06,-1.68997668997668
2000-10-17,2000,October,30.8,31.35,29.95,30.37,8635.21,-1.7152103559870513
2000-10-24,2000,October,28.99,29.69,28.7,29.53,3783.61,2.109266943291832
2000-10-31,2000,October,30.31,30.6,29.65,30.52,4521.02,0.6264424662050905
2000-11-07,2000,November,31.41,31.78,31.37,31.61,2442.87,0.4767959313413783
2000-11-14,2000,November,30.32,31.49,30.32,31.31,3902.44,2.8580814717476866
2000-11-21,2000,November,31.23,31.32,30.97,31.15,3150.43,-0.3518873960332791
2000-11-28,2000,November,32.03,33.32,32.03,33.08,8431.23,2.892690513219276
2000-12-05,2000,December,33.7,34.3,33.7,34.16,5422.75,1.8789144050104234
2000-12-12,2000,December,34.95,35.11,34.58,34.63,3021.13,-0.7451991974777861
2000-12-19,2000,December,34.43,34.73,34.23,34.27,3319.22,-0.37790697674416895
2000-12-26,2000,December,34.24,34.24,33.02,33.07,3794.63,-2.935133548576463
2001-01-02,2001,January,34.35,36.14,34.35,35.97,8051.93,4.381892048752167
2001-01-09,2001,January,36.09,36.48,35.96,36.08,4140.21,-0.6607929515418554
2001-01-16,2001,January,35.74,37.25,35.69,37.16,9477.88,3.5385901365282635
2001-01-23,2001,January,37.84,38.73,37.81,38.4,10795.47,1.8027571580063517
2001-01-30,2001,January,38.15,39.33,38.15,39.25,12082.12,3.207993689192734
2001-02-06,2001,February,40.27,40.63,39.86,39.94,5274.71,-0.770186335403733
2001-02-13,2001,February,40.46,41.47,39.97,41.34,15519.77,2.4027743373792543
2001-02-20,2001,February,42.78,42.97,42.41,42.68,5392.14,-0.1870907390084109
2001-02-27,2001,February,40.87,41.2,39.93,40.54,4555.66,-0.6859382655561075
2001-03-13,2001,March,40.97,42.18,38.01,39.18,5669.95,-5.1561365286855505
2001-03-20,2001,March,38.51,38.71,37.26,37.65,1322.91,-2.2331861854063884
2001-03-27,2001,March,38.51,39.8,38.45,39.47,1869.4,1.8843572534847697
2001-04-03,2001,April,38.96,39.76,38.96,39.28,1183.4,0.20408163265306367
2001-04-10,2001,April,35.84,35.93,32.75,33.05,4321.37,-8.16893581550432
2001-04-17,2001,April,31.22,32.41,30.88,31.73,2747.89,2.0585397233837233
2001-04-24,2001,April,35.33,35.64,34.7,35.22,2103.36,-0.9561304836895435
2001-05-08,2001,May,34.24,35.03,34.23,34.84,1543.64,1.485581124381019
2001-05-15,2001,May,36.05,37.41,35.06,37.33,3843.2,2.8658032515844534
2001-05-22,2001,May,38.0,38.39,37.78,38.0,1105.13,0.29031406703614593
2001-05-29,2001,May,40.12,40.87,39.99,40.68,2425.16,1.3200498132005078
2001-06-05,2001,June,37.65,38.07,37.27,37.51,1220.03,-0.6357615894039825
2001-06-12,2001,June,37.16,37.4,37.02,37.3,684.27,-0.18731602890018628
2001-06-19,2001,June,34.43,35.07,34.23,34.97,1727.82,1.9533527696792952
2001-06-26,2001,June,34.31,35.15,34.15,34.93,1307.13,1.4816966879721116
2001-07-03,2001,July,35.72,35.72,32.62,33.03,3398.1,-8.250000000000002
2001-07-10,2001,July,33.02,33.71,32.94,33.63,1107.21,1.7857142857143016
2001-07-17,2001,July,32.72,33.83,32.72,33.59,1186.19,0.8103241296518737
2001-07-24,2001,July,31.2,31.85,31.11,31.64,595.34,0.4444444444444473
2001-07-31,2001,July,31.57,32.35,30.57,32.19,2190.89,2.190476190476187
2001-08-07,2001,August,32.51,33.25,32.4,33.1,1731.37,1.846153846153853
2001-08-14,2001,August,32.77,33.08,32.09,32.25,2398.39,-1.7367458866544783
2001-08-21,2001,August,32.09,32.48,32.01,32.03,1059.6,0.21902377972464748
2001-08-28,2001,August,31.68,31.98,31.41,31.46,630.37,-0.8509297195083532
2001-09-04,2001,September,31.16,31.86,31.07,31.67,993.37,0.5716100349317355
2001-09-11,2001,September,30.7,30.88,30.5,30.71,811.28,0.32669062397909787
2001-09-18,2001,September,25.97,28.04,25.17,25.54,4372.43,-3.0740037950664267
2001-09-25,2001,September,22.75,22.94,20.55,20.76,4658.47,-6.105834464043413
2001-10-09,2001,October,25.62,25.97,25.08,25.44,5216.19,-0.27440219521756015
2001-10-16,2001,October,27.5,27.88,27.31,27.43,2640.23,-0.759768451519538
2001-10-23,2001,October,27.58,27.97,27.49,27.67,1236.14,1.0591672753835102
2001-10-30,2001,October,25.69,25.96,25.28,25.42,1594.36,-2.828746177370023
2001-11-06,2001,November,26.73,26.86,26.04,26.5,1523.95,0.6456513482719473
2001-11-13,2001,November,26.52,27.17,26.52,27.01,1545.81,0.934230194319885
2001-11-20,2001,November,31.21,31.4,28.95,29.24,1994.86,-4.8177083333333375
2001-11-27,2001,November,30.3,30.7,29.19,29.37,1329.85,-2.262895174708812
2001-12-04,2001,December,29.19,30.35,29.18,30.14,1555.79,3.007518796992481
2001-12-11,2001,December,31.76,31.99,31.14,31.26,1194.07,-1.4812480302552777
2001-12-18,2001,December,31.31,31.5,30.43,31.15,1180.33,-0.3518873960332791
2002-01-01,2002,January,30.9,31.09,30.5,30.73,504.7,0.032552083333348136
2002-01-08,2002,January,31.95,32.81,31.71,31.91,1383.84,-0.808206403481504
2002-01-15,2002,January,32.82,33.11,32.25,32.42,1043.6,-0.9471432936144053
2002-01-22,2002,January,31.61,32.1,31.06,31.42,1168.47,-0.0953895071542088
2002-01-29,2002,January,31.7,32.05,31.58,31.88,974.62,1.0139416983523386
2002-02-05,2002,February,30.29,30.4,29.4,29.58,1530.47,-2.8890347997373667
2002-02-12,2002,February,31.4,31.66,30.97,31.13,1265.45,0.2899484536082575
2002-02-19,2002,February,32.72,32.72,32.06,32.29,1651.68,0.6232471174820731
2002-02-26,2002,February,31.83,32.62,31.77,32.39,1607.18,2.2411616161616132
