Date,Year,Month_Name,Weekday,Days_From_End,Open,High,Low,Close,Volume,Daily_Return
2000-01-24,2000,January,Monday,4,33.04,33.61,32.77,33.03,9245.68,0.6705272782688176
2000-01-25,2000,January,Tuesday,3,33.02,33.02,32.26,32.57,6857.94,-1.3926733272782377
2000-01-27,2000,January,Thursday,2,32.42,33.73,32.41,33.52,11499.3,2.916794596254224
2000-01-28,2000,January,Friday,1,33.57,34.18,33.29,33.8,9096.79,0.8353221957040358
2000-01-31,2000,January,Monday,0,33.02,33.98,33.02,33.12,7301.83,-2.0118343195266286
2000-02-23,2000,February,Wednesday,4,34.23,34.6,32.62,33.12,3516.46,-3.524614040198082
2000-02-24,2000,February,Thursday,3,33.31,34.2,33.14,33.76,4192.55,1.9323671497584627
2000-02-25,2000,February,Friday,2,33.33,34.28,32.21,32.42,5542.06,-3.969194312796198
2000-02-28,2000,February,Monday,1,33.2,34.21,32.11,34.08,5785.78,5.12029611351017
2000-02-29,2000,February,Tuesday,0,34.23,34.71,31.35,31.35,10270.56,-8.010563380281678
2000-03-27,2000,March,Monday,4,25.16,26.14,24.76,26.14,3435.98,7.97191243287898
2000-03-28,2000,March,Tuesday,3,26.77,28.23,26.58,28.23,6550.16,7.995409334353476
2000-03-29,2000,March,Wednesday,2,28.69,28.99,27.03,27.15,7292.48,-3.825717321997879
2000-03-30,2000,March,Thursday,1,27.03,29.32,26.02,29.32,9824.14,7.9926335174953955
2000-03-31,2000,March,Friday,0,29.32,31.66,28.72,31.66,11125.47,7.9809004092769475
2000-04-24,2000,April,Monday,4,34.84,36.2,32.52,32.72,11129.34,-4.522906332068876
2000-04-25,2000,April,Tuesday,3,32.41,34.03,31.21,33.62,12233.28,2.750611246943757
2000-04-26,2000,April,Wednesday,2,33.91,36.31,33.62,36.31,12950.72,8.001189767995264
2000-04-27,2000,April,Thursday,1,36.34,36.92,34.23,34.73,18249.61,-4.351418342054547
2000-04-28,2000,April,Friday,0,34.93,35.64,34.43,34.92,10302.34,0.5470774546501689
2000-05-25,2000,May,Thursday,4,31.61,31.99,31.36,31.61,2528.77,0.31735956839098467
2000-05-26,2000,May,Friday,3,31.41,32.01,31.36,32.0,2508.51,1.2337867763366095
2000-05-29,2000,May,Monday,2,32.2,35.03,32.02,34.02,9050.04,6.31250000000001
2000-05-30,2000,May,Tuesday,1,34.16,34.82,33.92,34.59,6161.36,1.6754850088183337
2000-05-31,2000,May,Wednesday,0,34.63,35.98,34.43,34.6,7221.13,0.028910089621270174
2000-06-26,2000,June,Monday,4,33.45,33.72,33.13,33.29,2323.68,-1.0698365527488818
2000-06-27,2000,June,Tuesday,3,33.37,34.23,33.37,33.63,5378.37,1.0213277260438636
2000-06-28,2000,June,Wednesday,2,33.57,33.9,33.42,33.55,1434.44,-0.23788284269998794
2000-06-29,2000,June,Thursday,1,33.72,34.64,33.69,34.17,5286.38,1.8479880774962876
