Date,Year,Month_Name,Open,High,Low,Close,Volume,Daily_Return
2000-01-03,2000,January,24.16,25.4,24.16,25.4,5731.82,-1.9961977186311763
2000-02-07,2000,February,34.23,35.42,34.23,34.63,8547.41,1.7033773861967916
2000-03-06,2000,March,28.19,28.97,25.02,26.26,7876.89,-3.063861203396079
2000-04-03,2000,April,32.29,33.65,32.07,32.81,14944.19,3.6323436512950114
2000-05-08,2000,May,33.29,34.03,32.48,32.58,3704.51,-3.9504716981132226
2000-06-05,2000,June,34.24,35.47,33.92,34.14,10942.6,1.2155351319300456
2000-07-03,2000,July,34.44,35.52,34.44,35.08,8802.39,2.2144522144522005
2000-08-07,2000,August,32.54,33.47,32.54,33.3,1859.74,0.48280024140010536
2000-09-04,2000,September,33.33,35.92,33.33,35.91,9627.21,5.835543766578244
2000-10-09,2000,October,35.23,35.23,33.98,34.32,2152.39,0.20437956204379937
2000-11-06,2000,November,31.95,32.23,31.41,31.46,3710.63,-0.4745333755140746
2000-12-04,2000,December,33.21,33.81,33.21,33.53,4191.9,1.4216575922564978
2001-01-01,2001,January,34.22,34.68,34.18,34.46,1886.08,0.9668912979783117
2001-02-05,2001,February,39.76,40.34,39.36,40.25,11341.4,1.3853904282115748
2001-03-05,2001,March,42.27,42.87,40.47,41.22,8569.11,-1.9038553069966824
2001-04-02,2001,April,38.76,39.56,37.75,39.2,1509.13,-0.3811944091486663
2001-05-07,2001,May,34.83,35.03,34.24,34.33,777.4,-0.4927536231884133
2001-06-04,2001,June,38.35,38.74,37.45,37.75,1058.86,-1.332984840564555
2001-07-02,2001,July,37.65,39.15,35.54,36.0,713.51,-3.2258064516129115
2001-08-06,2001,August,31.72,32.71,31.72,32.5,1312.56,2.1370207416719023
2001-09-03,2001,September,31.22,31.65,31.18,31.49,583.94,0.8648302370275474
2001-10-01,2001,October,26.98,27.28,25.52,26.21,8500.88,-2.0553064275037447
2001-11-05,2001,November,26.43,26.56,25.9,26.33,1304.84,-0.22735884804850892
2001-12-03,2001,December,29.2,29.55,28.79,29.26,1290.69,0.3085361672951592
2002-01-07,2002,January,32.31,33.26,31.91,32.17,2183.46,0.18685767673622955
2002-02-04,2002,February,30.41,30.59,29.87,30.46,947.32,0.8609271523178919
2002-03-04,2002,March,33.12,34.13,31.37,31.5,6781.85,-2.8677150786308947
2002-04-01,2002,April,30.35,31.05,30.12,30.3,1318.12,0.09910802775026095
2002-05-06,2002,May,29.19,29.26,28.9,29.12,686.03,0.4484304932735439
2002-06-03,2002,June,26.72,27.37,26.38,27.24,1903.05,2.329075882794873
2002-07-01,2002,July,27.18,27.56,26.98,27.38,415.37,0.9214891264283098
2002-08-05,2002,August,24.66,24.75,24.36,24.5,800.06,0.1225991009399241
2002-09-02,2002,September,25.87,26.98,25.77,26.69,2141.2,3.85214007782102
2002-10-07,2002,October,23.66,24.33,23.66,24.15,1108.55,1.8128161888701477
