Date,Year,Weekday,Day_of_Month,Open,High,Low,Close,Volume,Daily_Return
2000-08-01,2000,Tuesday,1,34.13,34.51,33.82,34.02,2996.23,0.0
2000-08-02,2000,Wednesday,2,33.92,34.18,33.83,34.1,1267.87,0.23515579071133885
2000-08-03,2000,Thursday,3,34.02,34.62,33.72,33.74,2367.28,-1.0557184750733084
2000-08-04,2000,Friday,4,33.77,34.01,33.11,33.14,2989.74,-1.778304682869003
2000-08-07,2000,Monday,7,32.54,33.47,32.54,33.3,1859.74,0.48280024140010536
2000-08-08,2000,Tuesday,8,33.22,33.61,33.22,33.39,1426.39,0.2702702702702897
2000-08-09,2000,Wednesday,9,33.36,33.97,33.36,33.7,1881.69,0.9284216831386694
2000-08-10,2000,Thursday,10,33.43,33.81,33.04,33.09,1253.75,-1.8100890207715103
2000-08-11,2000,Friday,11,33.03,33.42,33.02,33.1,2066.33,0.03022061045632185
2000-08-14,2000,Monday,14,33.17,33.42,32.46,33.24,2804.64,0.4229607250755274
2000-08-16,2000,Wednesday,16,33.14,34.31,33.14,33.98,3934.8,2.2262334536702566
2000-08-17,2000,Thursday,17,33.92,34.8,33.72,34.03,5211.39,0.1471453796350941
2000-08-18,2000,Friday,18,33.99,34.32,33.77,33.87,2576.37,-0.47017337643256996
2000-08-21,2000,Monday,21,33.83,34.13,33.83,33.96,1099.09,0.26572187776794376
2000-08-22,2000,Tuesday,22,33.88,34.47,33.88,34.15,2046.29,0.5594817432273302
2000-08-23,2000,Wednesday,23,34.08,34.82,34.04,34.14,3659.67,-0.02928257686676261
2000-08-24,2000,Thursday,24,34.08,34.24,33.62,33.8,3401.57,-0.9958992384300092
2000-08-25,2000,Friday,25,33.86,34.03,33.32,33.6,1695.29,-0.5917159763313529
2000-08-28,2000,Monday,28,33.24,33.81,33.02,33.49,985.75,-0.3273809523809512
2000-08-29,2000,Tuesday,29,33.42,33.77,33.3,33.41,1185.46,-0.23887727679906545
2000-08-30,2000,Wednesday,30,33.33,34.12,33.33,33.84,3567.23,1.2870398084406043
2000-08-31,2000,Thursday,31,33.86,34.28,33.82,33.93,2104.59,0.26595744680850686
2001-08-01,2001,Wednesday,1,32.01,32.46,31.45,31.68,1333.16,-1.5843429636533068
2001-08-02,2001,Thursday,2,31.33,32.21,31.16,32.05,1228.73,1.1679292929292817
2001-08-03,2001,Friday,3,32.11,32.29,31.22,31.82,2782.65,-0.7176287051481989
2001-08-06,2001,Monday,6,31.72,32.71,31.72,32.5,1312.56,2.1370207416719023
2001-08-07,2001,Tuesday,7,32.51,33.25,32.4,33.1,1731.37,1.846153846153853
2001-08-08,2001,Wednesday,8,32.72,33.25,32.41,33.04,1205.7,-0.18126888217523396
2001-08-09,2001,Thursday,9,32.92,34.2,32.62,33.83,1449.44,2.3910411622275918
2001-08-10,2001,Friday,10,33.85,34.31,33.59,34.22,1534.4,1.1528229382205213
2001-08-13,2001,Monday,13,34.13,34.72,32.67,32.82,1362.66,-4.091174751607241
2001-08-14,2001,Tuesday,14,32.77,33.08,32.09,32.25,2398.39,-1.7367458866544783
2001-08-16,2001,Thursday,16,32.26,33.37,32.26,32.9,1925.5,2.0155038759689825
2001-08-17,2001,Friday,17,32.62,33.1,31.78,31.94,2291.22,-2.9179331306990797
2001-08-20,2001,Monday,20,31.91,32.38,31.72,31.96,1426.54,0.06261740763933155
2001-08-21,2001,Tuesday,21,32.09,32.48,32.01,32.03,1059.6,0.21902377972464748
2001-08-23,2001,Thursday,23,32.11,32.4,31.76,31.89,988.94,-0.4370902279113298
2001-08-24,2001,Friday,24,32.0,32.03,31.61,31.74,845.05,-0.47036688617122513
2001-08-27,2001,Monday,27,31.99,32.19,31.51,31.73,877.16,-0.031505986137359
2001-08-28,2001,Tuesday,28,31.68,31.98,31.41,31.46,630.37,-0.8509297195083532
2001-08-29,2001,Wednesday,29,31.61,32.26,31.31,32.08,2311.2,1.9707565162110585
2001-08-30,2001,Thursday,30,32.02,32.37,31.73,32.2,1472.26,0.37406483790525247
2001-08-31,2001,Friday,31,31.98,32.16,31.12,31.22,2009.27,-3.043478260869581
2002-08-01,2002,Thursday,1,24.89,25.09,24.45,24.57,1043.53,-0.36496350364962904
2002-08-02,2002,Friday,2,24.29,24.61,24.07,24.47,877.96,-0.40700040700041296
2002-08-05,2002,Monday,5,24.66,24.75,24.36,24.5,800.06,0.1225991009399241
2002-08-06,2002,Tuesday,6,24.46,24.56,24.23,24.32,714.78,-0.7346938775510181
2002-08-07,2002,Wednesday,7,24.66,24.84,24.16,24.26,1660.25,-0.24671052631578538
2002-08-08,2002,Thursday,8,24.26,24.36,23.2,23.42,2212.01,-3.4624896949711492
2002-08-09,2002,Friday,9,23.65,23.73,23.09,23.61,2792.31,0.8112724167378182
2002-08-12,2002,Monday,12,23.67,24.48,23.58,24.24,2807.27,2.668360864040653
2002-08-13,2002,Tuesday,13,24.36,24.86,24.16,24.39,2535.17,0.6188118811881305
2002-08-14,2002,Wednesday,14,24.26,24.52,23.97,24.02,1370.45,-1.5170151701517032
2002-08-16,2002,Friday,16,24.17,24.53,24.17,24.46,980.93,1.831806827643634
2002-08-19,2002,Monday,19,24.56,24.83,24.56,24.69,983.73,0.9403107113654885
2002-08-20,2002,Tuesday,20,24.71,25.21,24.69,25.08,1686.37,1.5795868772782384
2002-08-21,2002,Wednesday,21,24.97,25.28,24.66,24.69,910.74,-1.5550239234449648
2002-08-22,2002,Thursday,22,24.72,25.09,24.72,24.93,924.23,0.9720534629404476
2002-08-23,2002,Friday,23,24.97,25.19,24.88,25.12,2293.97,0.7621339751303635
2002-08-26,2002,Monday,26,25.22,25.45,25.08,25.23,932.89,0.43789808917196194
2002-08-27,2002,Tuesday,27,25.37,25.43,24.74,24.8,718.67,-1.7043202536662694
2002-08-28,2002,Wednesday,28,24.76,24.83,24.56,24.72,401.12,-0.3225806451612967
2002-08-29,2002,Thursday,29,24.7,25.17,24.63,25.15,998.62,1.7394822006472577
2002-08-30,2002,Friday,30,25.19,25.82,25.07,25.7,2318.27,2.1868787276341894
2003-08-01,2003,Friday,1,36.09,36.31,35.59,35.7,2203.8,-0.7230255839821953
2003-08-04,2003,Monday,4,35.74,35.99,35.51,35.74,1493.53,0.11204481792717047
2003-08-05,2003,Tuesday,5,35.94,36.63,34.65,34.9,3841.75,-2.350307778399563
2003-08-06,2003,Wednesday,6,34.73,35.86,34.53,35.33,4135.38,1.2320916905444124
2003-08-07,2003,Thursday,7,35.41,35.91,35.13,35.81,2168.73,1.3586187376167569
2003-08-08,2003,Friday,8,35.94,36.7,35.94,36.59,3414.68,2.1781625244345237
2003-08-11,2003,Monday,11,36.74,36.74,36.39,36.39,1757.1,-0.5465974309920796
2003-08-12,2003,Tuesday,12,36.39,36.63,35.8,35.88,1603.66,-1.4014839241549781
2003-08-13,2003,Wednesday,13,36.24,36.5,35.82,36.4,1685.95,1.4492753623188248
2003-08-14,2003,Thursday,14,36.54,36.8,35.99,36.1,2274.65,-0.8241758241758212
2003-08-18,2003,Monday,18,36.06,36.65,35.77,36.34,2273.92,0.6648199445983494
2003-08-19,2003,Tuesday,19,36.54,37.4,36.27,37.23,2700.11,2.449091909741319
2003-08-20,2003,Wednesday,20,37.45,37.7,36.99,37.09,1628.49,-0.37604082728980304
2003-08-21,2003,Thursday,21,37.55,37.62,37.15,37.37,1844.24,0.7549204637368412
2003-08-22,2003,Friday,22,37.55,38.73,37.49,38.54,4145.08,3.1308536259031294
2003-08-25,2003,Monday,25,38.85,39.03,37.0,38.04,3368.9,-1.2973533990659036
2003-08-26,2003,Tuesday,26,38.25,39.46,38.05,39.4,3253.39,3.5751840168243953
2003-08-27,2003,Wednesday,27,39.47,39.91,39.32,39.57,1818.71,0.43147208121827596
2003-08-28,2003,Thursday,28,39.55,39.87,39.07,39.57,1689.25,0.0
2003-08-29,2003,Friday,29,39.76,40.75,39.59,40.12,3138.38,1.3899418751579518
2004-08-02,2004,Monday,2,49.53,49.81,48.85,49.74,2960.78,1.0564811052417689
2004-08-03,2004,Tuesday,3,49.93,50.29,49.1,49.27,3913.33,-0.9449135504624007
2004-08-04,2004,Wednesday,4,49.23,49.78,48.68,49.64,3182.1,0.750964075502325
2004-08-05,2004,Thursday,5,50.01,50.83,49.83,50.63,2788.89,1.9943593875906496
