Date,Year,Weekday,Day_of_Month,Open,High,Low,Close,Volume,Daily_Return
2000-12-01,2000,Friday,1,32.87,33.23,32.63,33.06,4026.18,0.1818181818181941
2000-12-04,2000,Monday,4,33.21,33.81,33.21,33.53,4191.9,1.4216575922564978
2000-12-05,2000,Tuesday,5,33.7,34.3,33.7,34.16,5422.75,1.8789144050104234
2000-12-06,2000,Wednesday,6,34.3,34.71,33.85,33.92,3177.48,-0.7025761124121677
2000-12-07,2000,Thursday,7,33.85,34.25,33.82,33.98,1852.4,0.1768867924528239
2000-12-08,2000,Friday,8,33.98,34.39,33.85,34.11,4029.99,0.3825779870512136
2000-12-11,2000,Monday,11,34.28,35.01,34.23,34.89,5841.89,2.2867194371152255
2000-12-12,2000,Tuesday,12,34.95,35.11,34.58,34.63,3021.13,-0.7451991974777861
2000-12-13,2000,Wednesday,13,34.57,35.18,34.55,34.97,4801.69,0.9818076812012633
2000-12-14,2000,Thursday,14,35.02,35.49,34.73,34.83,6012.99,-0.40034315127251974
2000-12-15,2000,Friday,15,34.73,34.73,33.89,34.03,3294.21,-2.2968705139247647
2000-12-18,2000,Monday,18,34.04,34.58,33.82,34.4,3051.92,1.0872759330002868
2000-12-19,2000,Tuesday,19,34.43,34.73,34.23,34.27,3319.22,-0.37790697674416895
2000-12-20,2000,Wednesday,20,34.24,34.48,33.98,34.39,2995.05,0.35016049022467133
2000-12-21,2000,Thursday,21,34.28,34.71,33.9,34.57,3743.27,0.5234079674323988
2000-12-22,2000,Friday,22,34.71,34.91,33.98,34.07,3921.8,-1.4463407578825582
2000-12-26,2000,Tuesday,26,34.24,34.24,33.02,33.07,3794.63,-2.935133548576463
2000-12-27,2000,Wednesday,27,32.99,33.61,32.67,33.54,2331.9,1.4212276988206707
2000-12-28,2000,Thursday,28,33.7,34.38,33.48,34.15,3230.89,1.8187239117471554
2000-12-29,2000,Friday,29,34.05,34.29,33.88,34.13,2623.94,-0.05856515373351412
2001-12-03,2001,Monday,3,29.2,29.55,28.79,29.26,1290.69,0.3085361672951592
2001-12-04,2001,Tuesday,4,29.19,30.35,29.18,30.14,1555.79,3.007518796992481
2001-12-05,2001,Wednesday,5,30.69,31.76,30.6,31.62,1997.69,4.910418049104193
2001-12-06,2001,Thursday,6,32.14,32.6,30.78,31.27,2113.21,-1.10689437065149
2001-12-07,2001,Friday,7,31.11,31.76,31.11,31.38,1547.68,0.35177486408697334
2001-12-10,2001,Monday,10,31.36,32.2,31.21,31.73,1055.44,1.115360101975793
2001-12-11,2001,Tuesday,11,31.76,31.99,31.14,31.26,1194.07,-1.4812480302552777
2001-12-12,2001,Wednesday,12,31.5,31.68,31.16,31.32,1279.97,0.19193857965451588
2001-12-13,2001,Thursday,13,31.48,32.12,29.8,31.38,2276.39,0.19157088122605526
2001-12-14,2001,Friday,14,31.03,31.41,30.83,31.26,803.67,-0.3824091778202643
2001-12-18,2001,Tuesday,18,31.31,31.5,30.43,31.15,1180.33,-0.3518873960332791
2001-12-19,2001,Wednesday,19,31.7,31.7,30.86,31.08,1918.21,-0.22471910112359383
2001-12-20,2001,Thursday,20,30.84,31.41,30.5,31.25,1211.48,0.5469755469755588
2001-12-21,2001,Friday,21,30.96,31.36,30.8,31.27,682.33,0.06399999999999739
2001-12-24,2001,Monday,24,30.9,31.47,30.7,31.32,783.93,0.1598976654940909
2001-12-26,2001,Wednesday,26,31.06,31.5,30.6,30.81,745.7,-1.6283524904214586
2001-12-27,2001,Thursday,27,30.81,30.85,30.06,30.48,1397.56,-1.071080817916259
2001-12-28,2001,Friday,28,30.39,30.65,29.12,30.46,1466.91,-0.06561679790025865
2001-12-31,2001,Monday,31,30.56,31.1,30.05,30.72,836.92,0.8535784635587573
2002-12-02,2002,Monday,2,29.09,29.9,28.99,29.61,3789.55,2.1386685063815136
2002-12-03,2002,Tuesday,3,29.79,30.39,29.13,29.26,4263.02,-1.1820330969267046
2002-12-04,2002,Wednesday,4,28.99,29.62,28.86,29.46,5156.63,0.6835269993164639
2002-12-05,2002,Thursday,5,29.55,29.97,29.43,29.6,3317.83,0.4752206381534396
2002-12-06,2002,Friday,6,29.7,30.1,29.6,29.83,1751.74,0.7770270270270219
2002-12-09,2002,Monday,9,30.1,30.64,29.32,29.4,3896.68,-1.441501843781423
2002-12-10,2002,Tuesday,10,29.38,29.64,28.99,29.55,2186.53,0.5102040816326703
2002-12-11,2002,Wednesday,11,29.7,29.9,29.24,29.45,2378.13,-0.33840947546531774
