Date,Year,Weekday,Day_of_Month,Open,High,Low,Close,Volume,Daily_Return
2000-02-01,2000,Tuesday,1,33.08,34.17,33.06,34.15,8462.5,3.1099033816425203
2000-02-02,2000,Wednesday,2,34.21,34.83,33.92,34.01,8383.32,-0.40995607613469875
2000-02-03,2000,Thursday,3,33.92,34.5,33.67,34.36,5940.99,1.0291090855630847
2000-02-04,2000,Friday,4,34.48,34.82,34.03,34.05,8910.94,-0.9022118742724183
2000-02-07,2000,Monday,7,34.23,35.42,34.23,34.63,8547.41,1.7033773861967916
2000-02-08,2000,Tuesday,8,34.74,35.08,34.53,34.67,4123.39,0.11550678602367803
2000-02-09,2000,Wednesday,9,34.8,35.49,34.55,34.78,7993.77,0.3172771848860778
2000-02-10,2000,Thursday,10,34.83,36.69,34.65,36.67,8800.58,5.434157561817132
2000-02-11,2000,Friday,11,36.73,38.25,35.84,35.99,8932.39,-1.8543768748295553
2000-02-14,2000,Monday,14,35.43,36.62,35.43,35.49,3931.14,-1.3892747985551512
2000-02-15,2000,Tuesday,15,35.43,35.94,34.98,35.04,5133.57,-1.2679628064243498
2000-02-16,2000,Wednesday,16,35.13,35.49,34.43,34.73,4563.06,-0.8847031963470364
2000-02-17,2000,Thursday,17,34.83,35.79,34.63,35.59,5922.03,2.4762453210481095
2000-02-18,2000,Friday,18,35.44,35.93,35.04,35.23,5370.89,-1.0115200899129206
2000-02-21,2000,Monday,21,35.23,35.64,34.84,34.98,2999.0,-0.7096224808401885
2000-02-22,2000,Tuesday,22,34.83,35.18,34.05,34.33,4143.23,-1.8582046883933612
2000-02-23,2000,Wednesday,23,34.23,34.6,32.62,33.12,3516.46,-3.524614040198082
2000-02-24,2000,Thursday,24,33.31,34.2,33.14,33.76,4192.55,1.9323671497584627
2000-02-25,2000,Friday,25,33.33,34.28,32.21,32.42,5542.06,-3.969194312796198
2000-02-28,2000,Monday,28,33.2,34.21,32.11,34.08,5785.78,5.12029611351017
2000-02-29,2000,Tuesday,29,34.23,34.71,31.35,31.35,10270.56,-8.010563380281678
2001-02-01,2001,Thursday,1,38.58,39.12,37.55,38.78,10575.59,0.2844582363589421
2001-02-02,2001,Friday,2,38.77,39.82,38.61,39.7,8287.12,2.372356884992266
2001-02-05,2001,Monday,5,39.76,40.34,39.36,40.25,11341.4,1.3853904282115748
2001-02-06,2001,Tuesday,6,40.27,40.63,39.86,39.94,5274.71,-0.770186335403733
2001-02-07,2001,Wednesday,7,40.08,40.16,39.47,39.64,3334.58,-0.7511266900350422
2001-02-08,2001,Thursday,8,39.58,39.96,39.31,39.87,2839.9,0.5802219979818224
2001-02-09,2001,Friday,9,39.86,40.46,39.67,40.08,7552.67,0.5267118133935211
2001-02-12,2001,Monday,12,40.29,40.94,39.81,40.37,6649.33,0.7235528942115765
2001-02-13,2001,Tuesday,13,40.46,41.47,39.97,41.34,15519.77,2.4027743373792543
2001-02-14,2001,Wednesday,14,41.47,41.97,41.18,41.81,8238.31,1.1369134010643434
2001-02-15,2001,Thursday,15,41.81,42.81,41.63,42.49,12698.7,1.6264051662281842
2001-02-16,2001,Friday,16,42.58,43.32,42.39,42.66,8621.95,0.4000941397975799
2001-02-19,2001,Monday,19,42.68,43.02,42.1,42.76,6081.95,0.23441162681669958
2001-02-20,2001,Tuesday,20,42.78,42.97,42.41,42.68,5392.14,-0.1870907390084109
2001-02-21,2001,Wednesday,21,42.58,42.77,41.51,41.77,7047.96,-2.132146204311147
2001-02-22,2001,Thursday,22,41.83,42.23,41.17,41.98,5364.71,0.5027531721330858
2001-02-23,2001,Friday,23,42.07,42.34,40.97,41.24,6828.96,-1.762744163887553
2001-02-26,2001,Monday,26,41.3,41.58,40.5,40.82,5065.62,-1.0184287099903044
2001-02-27,2001,Tuesday,27,40.87,41.2,39.93,40.54,4555.66,-0.6859382655561075
