Date,Year,Weekday,Day_of_Month,Open,High,Low,Close,Volume,Daily_Return
2000-01-03,2000,Monday,3,24.16,25.4,24.16,25.4,5731.82,
2000-01-04,2000,Tuesday,4,25.68,27.43,25.27,27.43,11491.3,7.992125984251963
2000-01-05,2000,Wednesday,5,27.38,28.87,25.54,28.74,19501.03,4.775792927451694
2000-01-06,2000,Thursday,6,28.98,30.15,28.98,29.49,11969.53,2.609603340292277
2000-01-07,2000,Friday,7,29.56,31.85,29.41,31.56,15282.95,7.019328585961349
2000-01-10,2000,Monday,10,32.01,32.72,30.9,30.93,10577.7,-1.9961977186311763
2000-01-11,2000,Tuesday,11,31.11,31.41,28.46,29.05,10047.01,-6.078241189783373
2000-01-12,2000,Wednesday,12,29.19,30.6,28.39,30.58,7299.55,5.266781411359722
2000-01-13,2000,Thursday,13,30.65,31.79,30.58,31.06,11374.73,1.5696533682145297
2000-01-14,2000,Friday,14,31.21,32.26,31.11,31.8,12638.27,2.3824855119124244
2000-01-17,2000,Monday,17,32.01,32.92,31.1,31.11,6237.25,-2.169811320754722
2000-01-18,2000,Tuesday,18,31.16,32.41,31.01,32.21,9552.8,3.535840565734505
2000-01-19,2000,Wednesday,19,32.31,32.6,31.78,31.91,7978.95,-0.9313877677739835
2000-01-20,2000,Thursday,20,32.01,32.67,31.11,31.3,9849.38,-1.9116264493889035
2000-01-21,2000,Friday,21,31.41,32.87,31.41,32.81,12712.07,4.824281150159759
2000-01-24,2000,Monday,24,33.04,33.61,32.77,33.03,9245.68,0.6705272782688176
2000-01-25,2000,Tuesday,25,33.02,33.02,32.26,32.57,6857.94,-1.3926733272782377
2000-01-27,2000,Thursday,27,32.42,33.73,32.41,33.52,11499.3,2.916794596254224
2000-01-28,2000,Friday,28,33.57,34.18,33.29,33.8,9096.79,0.8353221957040358
2000-01-31,2000,Monday,31,33.02,33.98,33.02,33.12,7301.83,-2.0118343195266286
2001-01-01,2001,Monday,1,34.22,34.68,34.18,34.46,1886.08,0.9668912979783117
2001-01-02,2001,Tuesday,2,34.35,36.14,34.35,35.97,8051.93,4.381892048752167
2001-01-03,2001,Wednesday,3,35.88,36.39,35.56,36.21,7403.91,0.6672226855713115
2001-01-04,2001,Thursday,4,36.37,37.02,35.86,36.05,4238.6,-0.4418668876001175
