Date,Year,Weekday,Day_of_Month,Open,High,Low,Close,Volume,Daily_Return
2000-07-03,2000,Monday,3,34.44,35.52,34.44,35.08,8802.39,2.2144522144522005
2000-07-04,2000,Tuesday,4,35.23,35.35,34.73,34.81,6054.86,-0.7696693272519872
2000-07-05,2000,Wednesday,5,34.79,36.18,34.79,35.49,13406.98,1.953461648951449
2000-07-06,2000,Thursday,6,35.43,36.82,35.16,36.65,14709.7,3.2685263454494073
2000-07-07,2000,Friday,7,36.74,37.15,36.45,36.48,9252.17,-0.4638472032742147
2000-07-10,2000,Monday,10,36.64,37.38,36.19,37.07,5861.78,1.6173245614035103
2000-07-11,2000,Tuesday,11,37.0,37.84,36.9,37.69,8116.67,1.6725114647963224
2000-07-12,2000,Wednesday,12,37.6,37.85,37.07,37.21,4640.9,-1.2735473600424485
2000-07-13,2000,Thursday,13,37.1,37.65,36.64,36.77,3726.53,-1.1824778285407067
2000-07-14,2000,Friday,14,36.79,37.24,36.06,36.23,5216.69,-1.4685885232526674
2000-07-17,2000,Monday,17,36.49,36.7,36.04,36.42,4556.56,0.5244272702180641
2000-07-18,2000,Tuesday,18,36.35,36.55,36.05,36.16,2332.34,-0.7138934651290674
2000-07-19,2000,Wednesday,19,36.04,36.49,35.49,35.56,4431.51,-1.6592920353982188
2000-07-20,2000,Thursday,20,35.49,36.34,34.95,36.02,6278.83,1.2935883014623117
2000-07-21,2000,Friday,21,35.95,35.95,34.38,34.42,8010.48,-4.441976679622439
2000-07-24,2000,Monday,24,33.72,34.1,32.63,32.73,4485.12,-4.909936083672295
2000-07-25,2000,Tuesday,25,32.86,33.94,32.21,33.91,5698.3,3.6052551176290804
2000-07-26,2000,Wednesday,26,33.97,34.03,32.64,32.71,3177.23,-3.5387791212031727
2000-07-27,2000,Thursday,27,32.53,35.23,32.42,35.07,7875.8,7.214918985019869
2000-07-28,2000,Friday,28,34.83,35.03,34.14,34.31,5305.84,-2.167094382663237
2000-07-31,2000,Monday,31,33.73,34.33,33.73,34.02,1296.24,-0.8452346254736232
2001-07-02,2001,Monday,2,37.65,39.15,35.54,36.0,713.51,-3.2258064516129115
2001-07-03,2001,Tuesday,3,35.72,35.72,32.62,33.03,3398.1,-8.250000000000002
2001-07-04,2001,Wednesday,4,32.21,33.42,32.21,32.82,2868.73,-0.6357856494096259
2001-07-05,2001,Thursday,5,33.1,33.86,33.02,33.39,1472.29,1.7367458866544894
2001-07-06,2001,Friday,6,32.91,33.13,32.58,32.74,1105.49,-1.9466906259359096
2001-07-09,2001,Monday,9,32.31,33.31,31.82,33.04,1573.04,0.916310323762981
2001-07-10,2001,Tuesday,10,33.02,33.71,32.94,33.63,1107.21,1.7857142857143016
2001-07-11,2001,Wednesday,11,33.42,34.43,33.12,34.04,891.49,1.21914956883733
2001-07-12,2001,Thursday,12,34.24,34.52,33.97,34.32,1240.37,0.8225616921269108
2001-07-13,2001,Friday,13,34.52,35.26,33.52,34.3,1645.94,-0.05827505827507018
2001-07-16,2001,Monday,16,34.03,34.45,33.17,33.32,1110.29,-2.857142857142847
2001-07-17,2001,Tuesday,17,32.72,33.83,32.72,33.59,1186.19,0.8103241296518737
2001-07-18,2001,Wednesday,18,33.72,33.72,32.68,32.81,1473.98,-2.3221196784757425
2001-07-19,2001,Thursday,19,32.53,32.86,32.29,32.61,878.92,-0.6095702529716585
2001-07-20,2001,Friday,20,32.72,32.92,31.27,31.44,1356.0,-3.5878564857405593
2001-07-23,2001,Monday,23,31.2,31.71,30.9,31.5,28.13,0.190839694656475
2001-07-24,2001,Tuesday,24,31.2,31.85,31.11,31.64,595.34,0.4444444444444473
2001-07-25,2001,Wednesday,25,31.61,31.79,31.04,31.26,895.71,-1.2010113780025256
2001-07-26,2001,Thursday,26,31.39,31.41,30.41,30.63,1656.47,-2.0153550863723724
2001-07-27,2001,Friday,27,30.2,30.96,30.2,30.84,902.8,0.6856023506366382
2001-07-30,2001,Monday,30,30.8,31.71,30.6,31.5,1134.63,2.1400778210116655
2001-07-31,2001,Tuesday,31,31.57,32.35,30.57,32.19,2190.89,2.190476190476187
2002-07-01,2002,Monday,1,27.18,27.56,26.98,27.38,415.37,0.9214891264283098
2002-07-02,2002,Tuesday,2,27.18,27.37,26.82,26.89,428.46,-1.789627465303134
2002-07-03,2002,Wednesday,3,26.88,27.5,26.88,26.99,1330.95,0.37188545927853145
2002-07-04,2002,Thursday,4,27.28,27.48,26.79,26.86,519.3,-0.48165987402741806
2002-07-05,2002,Friday,5,26.98,27.07,26.38,26.51,825.25,-1.3030528667163033
2002-07-08,2002,Monday,8,28.09,28.09,26.23,27.32,1968.44,3.0554507732931
