Date,Year,Weekday,Day_of_Month,Open,High,Low,Close,Volume,Daily_Return
2000-06-01,2000,Thursday,1,34.43,34.83,33.84,34.13,3869.87,-1.3583815028901713
2000-06-02,2000,Friday,2,34.33,34.81,33.64,33.73,4856.1,-1.1719894520949459
2000-06-05,2000,Monday,5,34.24,35.47,33.92,34.14,10942.6,1.2155351319300456
2000-06-06,2000,Tuesday,6,34.03,34.62,33.87,34.08,3896.01,-0.17574692442883233
2000-06-07,2000,Wednesday,7,34.13,34.63,33.85,33.97,3238.12,-0.32276995305163814
2000-06-08,2000,Thursday,8,34.08,34.73,34.08,34.23,4156.72,0.7653812187224052
2000-06-09,2000,Friday,9,34.08,35.49,34.04,34.1,8891.67,-0.37978381536661887
2000-06-12,2000,Monday,12,34.73,34.82,34.13,34.29,4545.25,0.5571847507331418
2000-06-13,2000,Tuesday,13,34.32,34.93,34.05,34.18,6364.26,-0.320793234179062
2000-06-14,2000,Wednesday,14,34.33,34.72,33.83,33.98,4281.32,-0.5851375073142262
2000-06-15,2000,Thursday,15,33.92,34.03,32.92,33.31,4493.63,-1.971748087110048
2000-06-16,2000,Friday,16,33.22,33.76,33.15,33.35,4489.12,0.12008405884118556
2000-06-19,2000,Monday,19,33.22,33.91,33.22,33.45,2628.6,0.2998500749625155
2000-06-20,2000,Tuesday,20,33.42,33.71,33.12,33.29,2794.52,-0.4783258594917905
2000-06-21,2000,Wednesday,21,33.32,33.62,33.02,33.07,2198.54,-0.6608591168519085
2000-06-22,2000,Thursday,22,33.02,35.13,32.53,35.11,10389.52,6.168732990625947
2000-06-23,2000,Friday,23,35.16,35.62,33.58,33.65,16253.85,-4.158359441754489
2000-06-26,2000,Monday,26,33.45,33.72,33.13,33.29,2323.68,-1.0698365527488818
2000-06-27,2000,Tuesday,27,33.37,34.23,33.37,33.63,5378.37,1.0213277260438636
2000-06-28,2000,Wednesday,28,33.57,33.9,33.42,33.55,1434.44,-0.23788284269998794
2000-06-29,2000,Thursday,29,33.72,34.64,33.69,34.17,5286.38,1.8479880774962876
2000-06-30,2000,Friday,30,34.08,34.56,33.8,34.32,4209.33,0.4389815627743543
2001-06-01,2001,Friday,1,39.71,39.73,38.06,38.26,1943.92,-3.286147623862501
2001-06-04,2001,Monday,4,38.35,38.74,37.45,37.75,1058.86,-1.332984840564555
2001-06-05,2001,Tuesday,5,37.65,38.07,37.27,37.51,1220.03,-0.6357615894039825
2001-06-06,2001,Wednesday,6,37.69,37.89,36.66,36.83,1272.69,-1.8128499066915493
2001-06-07,2001,Thursday,7,36.83,36.99,35.99,36.72,1933.73,-0.2986695628563685
2001-06-08,2001,Friday,8,36.86,37.59,36.65,37.28,1745.12,1.5250544662309462
