Date,Year,Weekday,Day_of_Month,Open,High,Low,Close,Volume,Daily_Return
2000-03-01,2000,Wednesday,1,30.7,32.47,30.0,31.97,8349.42,1.977671451355656
2000-03-02,2000,Thursday,2,32.01,32.3,29.41,29.41,9208.74,-8.007507037847983
2000-03-03,2000,Friday,3,28.69,28.99,27.06,27.09,7097.24,-7.888473308398503
2000-03-06,2000,Monday,6,28.19,28.97,25.02,26.26,7876.89,-3.063861203396079
2000-03-07,2000,Tuesday,7,25.88,26.48,24.44,24.86,7168.26,-5.331302361005341
2000-03-08,2000,Wednesday,8,24.36,25.07,23.15,23.62,5426.09,-4.987932421560737
2000-03-09,2000,Thursday,9,23.68,24.3,22.55,23.05,4162.42,-2.4132091447925497
2000-03-10,2000,Friday,10,23.35,23.56,21.64,22.12,7328.11,-4.034707158351414
2000-03-13,2000,Monday,13,22.65,23.25,20.35,20.49,7784.08,-7.368896925858959
2000-03-14,2000,Tuesday,14,20.73,22.12,20.03,22.12,8137.11,7.955100048804309
2000-03-15,2000,Wednesday,15,22.15,23.88,22.15,23.88,7086.03,7.956600361663635
2000-03-16,2000,Thursday,16,24.06,24.91,23.15,23.51,7686.0,-1.5494137353433746
2000-03-21,2000,Tuesday,21,23.86,24.31,22.96,24.21,4532.76,2.9774564015312643
2000-03-22,2000,Wednesday,22,24.34,24.96,24.2,24.29,3837.52,0.330441966129702
2000-03-23,2000,Thursday,23,24.2,24.71,23.98,24.12,2913.84,-0.6998764923836887
2000-03-24,2000,Friday,24,24.16,24.41,24.06,24.21,2292.95,0.3731343283582156
2000-03-27,2000,Monday,27,25.16,26.14,24.76,26.14,3435.98,7.97191243287898
2000-03-28,2000,Tuesday,28,26.77,28.23,26.58,28.23,6550.16,7.995409334353476
2000-03-29,2000,Wednesday,29,28.69,28.99,27.03,27.15,7292.48,-3.825717321997879
2000-03-30,2000,Thursday,30,27.03,29.32,26.02,29.32,9824.14,7.9926335174953955
2000-03-31,2000,Friday,31,29.32,31.66,28.72,31.66,11125.47,7.9809004092769475
2001-03-01,2001,Thursday,1,41.8,44.9,41.8,44.25,11002.54,6.140561285680035
2001-03-02,2001,Friday,2,44.49,45.48,41.78,42.02,10317.66,-5.039548022598861
2001-03-05,2001,Monday,5,42.27,42.87,40.47,41.22,8569.11,-1.9038553069966824
2001-03-07,2001,Wednesday,7,41.36,42.44,40.17,41.53,6921.74,0.7520621057738985
2001-03-08,2001,Thursday,8,41.63,42.36,41.13,41.62,2914.39,0.21671081146159565
2001-03-09,2001,Friday,9,41.58,41.58,40.18,40.83,3434.45,-1.898125901009129
2001-03-12,2001,Monday,12,40.27,41.5,40.27,41.31,2285.79,1.1756061719324196
2001-03-13,2001,Tuesday,13,40.97,42.18,38.01,39.18,5669.95,-5.1561365286855505
2001-03-14,2001,Wednesday,14,38.66,40.72,38.46,39.95,2850.35,1.965288412455335
2001-03-15,2001,Thursday,15,39.77,40.34,39.26,40.03,1964.91,0.20025031289110373
2001-03-16,2001,Friday,16,39.81,40.24,38.11,38.7,3509.84,-3.3225081189108163
2001-03-19,2001,Monday,19,37.75,38.95,37.75,38.51,1003.15,-0.4909560723514339
2001-03-20,2001,Tuesday,20,38.51,38.71,37.26,37.65,1322.91,-2.2331861854063884
2001-03-21,2001,Wednesday,21,37.7,40.66,37.65,40.53,2390.8,7.6494023904382535
2001-03-22,2001,Thursday,22,40.62,41.17,39.29,39.46,1691.69,-2.640019738465338
2001-03-23,2001,Friday,23,39.39,40.45,37.69,38.16,2386.09,-3.294475418144971
2001-03-26,2001,Monday,26,38.75,39.0,37.87,38.74,954.73,1.5199161425576646
2001-03-27,2001,Tuesday,27,38.51,39.8,38.45,39.47,1869.4,1.8843572534847697
2001-03-28,2001,Wednesday,28,39.55,40.76,39.55,40.52,1723.79,2.6602482898403945
2001-03-29,2001,Thursday,29,40.26,40.87,39.56,39.86,2222.66,-1.6288252714708906
2001-03-30,2001,Friday,30,39.66,39.9,39.03,39.35,1328.32,-1.2794781736076177
2002-03-01,2002,Friday,1,30.8,32.62,30.8,32.43,2655.6,4.781906300484651
2002-03-04,2002,Monday,4,33.12,34.13,31.37,31.5,6781.85,-2.8677150786308947
2002-03-05,2002,Tuesday,5,31.81,32.1,31.41,31.56,2188.0,0.19047619047618536
2002-03-06,2002,Wednesday,6,31.71,31.86,30.83,30.94,2020.95,-1.9645120405576644
2002-03-07,2002,Thursday,7,31.2,31.69,30.9,31.42,1354.91,1.5513897866838988
2002-03-08,2002,Friday,8,31.61,31.66,30.81,30.89,1273.16,-1.6868236791852342
2002-03-11,2002,Monday,11,31.12,31.21,29.92,30.02,2452.33,-2.8164454516024673
2002-03-12,2002,Tuesday,12,30.1,30.19,29.32,29.39,1306.3,-2.098600932711525
2002-03-13,2002,Wednesday,13,29.4,30.09,29.4,29.54,2091.35,0.5103776794828097
2002-03-14,2002,Thursday,14,29.95,30.02,29.68,29.95,911.88,1.387948544346651
2002-03-15,2002,Friday,15,30.1,31.15,30.09,31.03,2320.75,3.606010016694494
2002-03-18,2002,Monday,18,31.41,31.46,30.73,30.86,1331.49,-0.5478569126651678
2002-03-19,2002,Tuesday,19,31.21,31.21,30.1,30.16,991.32,-2.268308489954629
2002-03-20,2002,Wednesday,20,30.0,30.7,30.0,30.59,1704.41,1.4257294429708134
2002-03-21,2002,Thursday,21,30.55,30.68,30.32,30.56,515.33,-0.09807126511932607
2002-03-22,2002,Friday,22,30.5,30.7,29.9,30.61,1023.8,0.1636125654450371
2002-03-26,2002,Tuesday,26,30.55,30.55,30.05,30.22,865.41,-1.274093433518464
2002-03-27,2002,Wednesday,27,30.3,30.52,29.7,30.24,1469.6,0.06618133686300265
2002-03-28,2002,Thursday,28,30.3,30.53,29.95,30.27,1135.94,0.09920634920634885
2003-03-03,2003,Monday,3,29.79,30.32,29.51,29.75,2983.28,0.5407232173031407
2003-03-04,2003,Tuesday,4,29.8,29.84,29.3,29.45,1250.09,-1.0084033613445453
2003-03-05,2003,Wednesday,5,29.38,29.38,29.1,29.1,2700.9,-1.1884550084889534
2003-03-06,2003,Thursday,6,28.99,29.17,28.62,28.69,1066.82,-1.408934707903775
2003-03-07,2003,Friday,7,28.57,28.57,28.29,28.29,1962.59,-1.394214011850825
2003-03-10,2003,Monday,10,28.39,28.4,27.62,27.85,2331.52,-1.5553199010250873
2003-03-11,2003,Tuesday,11,27.69,28.89,27.58,28.76,1917.3,3.2675044883303306
2003-03-12,2003,Wednesday,12,28.99,28.99,27.96,27.96,1473.13,-2.781641168289295
2003-03-13,2003,Thursday,13,27.99,28.27,27.68,28.04,1619.07,0.28612303290413976
2003-03-17,2003,Monday,17,28.05,28.25,27.71,28.15,2126.03,0.3922967189728954
2003-03-19,2003,Wednesday,19,28.35,28.78,28.29,28.72,1748.92,2.0248667850799373
2003-03-20,2003,Thursday,20,28.69,29.76,28.39,29.59,2338.48,3.0292479108635195
2003-03-21,2003,Friday,21,29.5,29.68,29.05,29.5,1610.0,-0.30415680973301384
2003-03-22,2003,Saturday,22,29.7,29.81,29.52,29.65,603.16,0.5084745762711895
