Date,Year,Weekday,Day_of_Month,Open,High,Low,Close,Volume,Daily_Return
2000-05-02,2000,Tuesday,2,35.64,35.76,32.72,33.07,11168.28,-5.297823596792672
2000-05-03,2000,Wednesday,3,33.01,33.61,31.61,33.22,9613.14,0.4535833081342533
2000-05-04,2000,Thursday,4,32.82,34.57,32.82,33.93,7746.64,2.1372667068031426
2000-05-05,2000,Friday,5,34.12,34.43,33.24,33.92,8389.28,-0.029472443265543546
2000-05-08,2000,Monday,8,33.29,34.03,32.48,32.58,3704.51,-3.9504716981132226
2000-05-09,2000,Tuesday,9,32.5,33.16,31.87,33.14,5043.73,1.7188459177409632
2000-05-10,2000,Wednesday,10,33.17,33.69,32.53,32.74,5259.46,-1.2070006035002967
2000-05-11,2000,Thursday,11,32.58,32.58,31.56,32.02,4541.8,-2.199144777031148
2000-05-12,2000,Friday,12,31.84,32.41,31.46,31.82,3314.47,-0.6246096189881367
2000-05-15,2000,Monday,15,31.46,32.66,30.81,32.19,4980.84,1.1627906976744207
2000-05-16,2000,Tuesday,16,32.21,32.41,31.71,31.91,3038.4,-0.8698353525939617
2000-05-17,2000,Wednesday,17,32.01,33.03,31.82,32.1,5952.29,0.5954246317768863
2000-05-18,2000,Thursday,18,31.96,32.2,30.88,31.17,2801.78,-2.8971962616822444
2000-05-19,2000,Friday,19,31.31,32.16,30.98,31.76,5791.87,1.8928456849534703
2000-05-22,2000,Monday,22,30.6,31.89,30.6,31.51,2991.62,-0.7871536523929468
2000-05-23,2000,Tuesday,23,31.32,31.81,31.06,31.63,3126.88,0.38083148206917716
2000-05-24,2000,Wednesday,24,31.46,31.99,31.26,31.51,2913.83,-0.3793866582358474
2000-05-25,2000,Thursday,25,31.61,31.99,31.36,31.61,2528.77,0.31735956839098467
2000-05-26,2000,Friday,26,31.41,32.01,31.36,32.0,2508.51,1.2337867763366095
2000-05-29,2000,Monday,29,32.2,35.03,32.02,34.02,9050.04,6.31250000000001
2000-05-30,2000,Tuesday,30,34.16,34.82,33.92,34.59,6161.36,1.6754850088183337
2000-05-31,2000,Wednesday,31,34.63,35.98,34.43,34.6,7221.13,0.028910089621270174
2001-05-02,2001,Wednesday,2,34.28,34.86,33.88,34.48,1386.96,-0.1448016217781789
2001-05-03,2001,Thursday,3,34.58,35.07,34.05,34.6,1089.27,0.34802784222738303
2001-05-04,2001,Friday,4,34.5,34.88,34.33,34.5,773.47,-0.28901734104046506
2001-05-07,2001,Monday,7,34.83,35.03,34.24,34.33,777.4,-0.4927536231884133
2001-05-08,2001,Tuesday,8,34.24,35.03,34.23,34.84,1543.64,1.485581124381019
2001-05-09,2001,Wednesday,9,34.93,36.03,34.88,35.41,2878.5,1.6360505166475026
2001-05-10,2001,Thursday,10,35.37,35.91,35.24,35.72,1260.13,0.8754589099124521
2001-05-11,2001,Friday,11,35.9,36.38,35.66,35.85,1388.45,0.36394176931691113
2001-05-14,2001,Monday,14,35.74,36.45,35.74,36.29,1160.46,1.2273361227336022
2001-05-15,2001,Tuesday,15,36.05,37.41,35.06,37.33,3843.2,2.8658032515844534
2001-05-16,2001,Wednesday,16,37.44,37.74,36.77,36.93,1788.39,-1.0715242432359995
2001-05-17,2001,Thursday,17,37.15,38.79,37.15,38.66,3433.86,4.684538315732456
2001-05-18,2001,Friday,18,38.71,38.8,37.52,37.64,1860.02,-2.6383859286083666
2001-05-21,2001,Monday,21,37.37,38.39,37.27,37.89,1648.39,0.6641870350690748
2001-05-22,2001,Tuesday,22,38.0,38.39,37.78,38.0,1105.13,0.29031406703614593
2001-05-23,2001,Wednesday,23,37.95,38.55,37.95,38.34,1084.79,0.8947368421052815
2001-05-24,2001,Thursday,24,38.4,39.71,38.4,39.64,3814.45,3.390714658320282
2001-05-25,2001,Friday,25,39.7,40.27,39.38,39.73,1985.32,0.2270433905146252
2001-05-28,2001,Monday,28,39.89,40.49,39.79,40.15,1973.83,1.0571356657437692
2001-05-29,2001,Tuesday,29,40.12,40.87,39.99,40.68,2425.16,1.3200498132005078
2001-05-30,2001,Wednesday,30,40.76,40.92,39.26,39.32,2885.12,-3.343166175024581
2001-05-31,2001,Thursday,31,39.16,39.66,38.56,39.56,1620.58,0.6103763987792554
2002-05-02,2002,Thursday,2,28.39,28.79,28.34,28.64,726.46,2.1033868092691588
2002-05-03,2002,Friday,3,28.59,29.16,28.59,28.99,895.61,1.222067039106145
2002-05-06,2002,Monday,6,29.19,29.26,28.9,29.12,686.03,0.4484304932735439
2002-05-07,2002,Tuesday,7,28.9,29.65,28.9,29.52,592.56,1.3736263736263687
2002-05-08,2002,Wednesday,8,29.64,29.78,29.06,29.18,1148.79,-1.1517615176151796
2002-05-09,2002,Thursday,9,29.59,29.6,29.1,29.36,558.48,0.6168608636052175
2002-05-10,2002,Friday,10,29.36,29.45,28.75,29.05,505.54,-1.0558583106267005
2002-05-13,2002,Monday,13,28.99,29.16,28.7,28.75,549.54,-1.0327022375215211
2002-05-14,2002,Tuesday,14,28.98,29.04,28.5,28.59,329.98,-0.5565217391304333
2002-05-15,2002,Wednesday,15,28.64,28.88,28.2,28.5,434.56,-0.31479538300105414
2002-05-16,2002,Thursday,16,28.58,28.58,27.68,27.98,694.86,-1.8245614035087732
2002-05-17,2002,Friday,17,28.08,28.92,27.71,28.27,1947.61,1.0364546104360217
2002-05-20,2002,Monday,20,28.74,29.19,27.48,27.72,1494.24,-1.945525291828798
2002-05-21,2002,Tuesday,21,27.68,27.78,24.97,26.42,3233.19,-4.689754689754677
2002-05-22,2002,Wednesday,22,26.37,26.67,25.68,26.05,1279.71,-1.400454201362611
2002-05-23,2002,Thursday,23,26.07,26.17,25.17,25.54,1318.41,-1.9577735124760132
2002-05-24,2002,Friday,24,26.12,27.53,25.97,27.34,1912.71,7.047768206734539
2002-05-27,2002,Monday,27,27.68,27.68,26.73,27.14,1245.66,-0.7315288953913646
2002-05-28,2002,Tuesday,28,26.98,26.98,25.98,26.18,923.38,-3.537214443625647
2002-05-29,2002,Wednesday,29,26.02,26.83,26.02,26.69,823.49,1.9480519480519431
2002-05-30,2002,Thursday,30,26.68,27.17,26.18,26.27,1075.23,-1.5736230798051754
2002-05-31,2002,Friday,31,26.25,26.78,25.73,26.62,1194.32,1.3323182337266815
2003-05-02,2003,Friday,2,27.58,27.74,27.31,27.53,779.71,-0.5059631369714546
2003-05-05,2003,Monday,5,27.56,27.78,27.15,27.23,1056.41,-1.0897203051216886
2003-05-06,2003,Tuesday,6,27.23,27.44,26.98,27.14,1284.89,-0.33051781123760726
2003-05-07,2003,Wednesday,7,27.06,27.18,26.67,26.71,1327.99,-1.584377302873985
2003-05-08,2003,Thursday,8,26.62,26.88,25.99,26.14,2318.1,-2.13403219767877
2003-05-09,2003,Friday,9,26.15,26.52,25.97,26.27,1212.59,0.4973221117061888
2003-05-12,2003,Monday,12,26.32,26.47,26.0,26.26,706.65,-0.03806623524932329
2003-05-13,2003,Tuesday,13,26.37,26.47,26.15,26.33,652.36,0.26656511805025485
2003-05-14,2003,Wednesday,14,26.37,26.88,26.37,26.82,998.05,1.8609950626661709
2003-05-15,2003,Thursday,15,26.86,27.03,26.69,26.9,1108.22,0.298284862043241
2003-05-16,2003,Friday,16,26.98,27.18,26.88,27.02,875.36,0.4460966542751077
2003-05-19,2003,Monday,19,27.26,27.26,27.08,27.08,917.68,0.22205773501109416
2003-05-20,2003,Tuesday,20,26.98,27.45,26.96,27.41,1043.04,1.2186115214180226
2003-05-21,2003,Wednesday,21,27.48,27.58,27.17,27.33,1212.04,-0.2918642831083562
2003-05-22,2003,Thursday,22,27.4,27.69,27.18,27.59,809.18,0.9513355287230185
2003-05-23,2003,Friday,23,27.34,27.36,27.09,27.16,509.92,-1.5585357013410683
2003-05-26,2003,Monday,26,27.21,28.29,27.08,28.18,964.68,3.755522827687785
2003-05-27,2003,Tuesday,27,28.19,28.64,28.0,28.24,1137.95,0.21291696238465718
2003-05-28,2003,Wednesday,28,28.29,29.14,28.29,29.03,1763.2,2.797450424929182
2003-05-29,2003,Thursday,29,29.14,29.68,28.85,29.62,1419.36,2.032380296245262
2003-05-30,2003,Friday,30,28.99,30.4,28.99,30.09,2814.04,1.5867656988521217
2004-05-03,2004,Monday,3,53.25,53.45,51.92,53.18,3985.6,0.3585582185317904
2004-05-04,2004,Tuesday,4,53.57,54.25,53.26,53.41,2276.75,0.43249341857840573
2004-05-05,2004,Wednesday,5,53.55,53.74,53.05,53.34,2331.22,-0.1310615989514985
2004-05-06,2004,Thursday,6,53.86,54.71,53.61,54.43,5635.22,2.043494563179604
2004-05-07,2004,Friday,7,54.34,54.54,53.18,53.59,2086.68,-1.5432665809296253
2004-05-10,2004,Monday,10,53.12,53.25,51.87,52.26,3144.19,-2.481806307146861
2004-05-11,2004,Tuesday,11,51.78,51.93,48.67,49.3,4424.51,-5.66398775353999
2004-05-12,2004,Wednesday,12,49.33,50.28,48.62,49.99,2933.54,1.3995943204868189
2004-05-13,2004,Thursday,13,49.02,52.79,47.92,51.48,7108.08,2.980596119223833
2004-05-14,2004,Friday,14,51.94,52.01,47.42,48.0,6241.56,-6.7599067599067535
2004-05-17,2004,Monday,17,47.31,47.31,40.63,40.63,6556.75,-15.354166666666657
2004-05-18,2004,Tuesday,18,41.47,46.18,41.47,43.65,6986.44,7.432931331528425
2004-05-19,2004,Wednesday,19,44.54,46.91,44.19,45.53,6142.81,4.306987399770912
2004-05-20,2004,Thursday,20,46.81,46.81,44.58,44.58,4200.87,-2.0865363496595735
2004-05-21,2004,Friday,21,44.7,45.1,43.29,44.23,3651.6,-0.7851054284432557
2004-05-24,2004,Monday,24,44.49,46.09,44.09,45.66,3403.83,3.2330997060818545
2004-05-25,2004,Tuesday,25,45.8,46.3,43.97,45.89,4325.67,0.5037231712658796
2004-05-26,2004,Wednesday,26,46.31,47.1,45.83,46.22,3610.06,0.719110917411192
2004-05-27,2004,Thursday,27,46.21,46.21,45.23,45.23,2444.08,-2.1419299004759917
2004-05-28,2004,Friday,28,45.1,45.44,42.84,43.39,5192.03,-4.068096396197207
2004-05-31,2004,Monday,31,43.79,44.24,41.68,43.34,5633.94,-0.11523392486747497
2005-05-02,2005,Monday,2,53.05,53.88,52.78,53.75,1233.58,1.1859939759036209
2005-05-03,2005,Tuesday,3,53.76,54.68,53.55,54.43,1824.3,1.2651162790697779
