Month,Month_Num,Total_Days,Mean_Return,Median_Return,Std_Dev,Min_Return,Max_Return,Win_Rate,Avg_Win,Avg_Loss,10th_Percentile,25th_Percentile,Median,75th_Percentile,90th_Percentile,Skewness,Kurtosis
January,1,553,0.07514142781540809,-0.01771950031009828,2.1897228139308393,-12.515496782572754,8.995815899581583,49.54792043399638,1.6445917332470843,-1.4714565659272678,-2.0125017229163555,-1.1731102723656073,-0.01771950031009828,1.1168618904930483,2.575059250337728,-0.019884484375065,4.133269743529445
February,2,516,0.014256109138282706,-0.006719225945173157,1.8149414440836107,-8.010563380281678,10.972170686456394,49.8062015503876,1.3411907263434646,-1.3074800943989013,-1.974321885986019,-0.9992324214306486,-0.006719225945173157,0.9816609941984578,2.1363611507220326,0.20650546084038968,3.565224788168311
March,3,534,0.09493793000250339,0.12615908865928338,2.5821085707648415,-13.364602505491895,14.647513433666571,52.05992509363296,1.7920778115687306,-1.7480499101358213,-2.4294755714774583,-1.2342476231066963,0.12615908865928338,1.3034894421865895,2.5789310124312688,0.1624439682686862,5.546574428421987
April,4,497,0.2340343365203186,0.10491344640672917,2.260244190891313,-8.16893581550432,12.617246596066579,53.72233400402414,1.6528513842781676,-1.4191976172562109,-2.089441832791048,-0.9397841977027532,0.10491344640672917,1.3608815426997323,2.6850367694632875,0.6880991414416164,5.41576887675512
May,5,555,0.051172044088655125,-0.004162157662523924,2.214890431148243,-15.354166666666657,21.09102967998673,49.72972972972973,1.5190729446672933,-1.4059843462552857,-2.138770819357103,-1.0302149977398645,-0.004162157662523924,1.0782756695725482,2.232914679088236,0.9879986233218572,18.841746101942185
June,6,554,0.11361841839179028,0.07847158604774584,1.9598124705295557,-7.535266743014512,11.743981209630071,52.166064981949454,1.4915614616703154,-1.394381282703293,-2.079328567272265,-0.9361806932563554,0.07847158604774584,1.3037693575769282,2.45323304447034,0.1658859473022125,3.2361752219704067
July,7,570,0.07174816494192406,0.052716873845004564,1.8871611743188008,-8.250000000000002,7.214918985019869,51.578947368421055,1.4317441137694717,-1.3869938519391531,-1.9992298485619753,-0.939295336597909,0.052716873845004564,1.1899925345151607,2.200206839748182,-0.3273242515877262,1.9890880000256295
August,8,545,0.05055200294376167,0.03167689566421217,1.6947167853301481,-8.638568694645954,9.725118154017242,51.19266055045871,1.2686243064047824,-1.236345984403728,-1.8071549762791683,-0.9060854658993533,0.03167689566421217,0.9623902714021026,1.9645854500311404,0.17612606005171813,3.6887274230703824
September,9,537,0.12941372125998485,0.14219830899309116,2.0066269383013444,-10.003425830763968,9.987669543773126,54.18994413407822,1.4184911489371135,-1.395470552943448,-2.1668402278958476,-0.9269945273817082,0.14219830899309116,1.0862251273670909,2.333544165474627,0.1195878193455356,4.685769574368392
October,10,531,0.05379960240879493,0.08156606851550396,2.369537580955497,-16.435169801289295,13.915994908782348,51.60075329566855,1.5947591588259162,-1.6078599237764997,-2.1312523566732744,-1.1427081757652113,0.08156606851550396,1.1379329064602706,2.5336711561541714,-0.07759636819313183,9.1220100626505
November,11,513,0.029469864500585762,0.06262721152339168,1.9503232290757986,-12.76430434541318,9.63597430406853,51.85185185185185,1.3214091707992592,-1.361849388436447,-1.836853544533683,-0.8828398013610572,0.06262721152339168,1.031011858673958,1.964910723958866,-0.5050037646069002,6.754536449375623
December,12,527,0.10668480692887955,0.12111456057646297,1.6130563396001318,-4.788412042856283,9.568791462359382,53.70018975332068,1.2065518775551793,-1.1689806889204764,-1.86264473447727,-0.8025797484513097,0.12111456057646297,0.9784204604854074,1.9888575334449323,0.6399896450986268,3.4174991078056567
