Date,Year,Weekday,Day_of_Month,Open,High,Low,Close,Volume,Daily_Return
2000-10-03,2000,Tuesday,3,34.42,34.81,34.05,34.7,1804.59,0.6088721368512573
2000-10-04,2000,Wednesday,4,34.73,35.08,34.53,34.7,1409.31,0.0
2000-10-05,2000,Thursday,5,34.63,34.93,34.2,34.25,1109.43,-1.2968299711815678
2000-10-06,2000,Friday,6,34.19,34.32,33.81,34.25,1963.43,0.0
2000-10-09,2000,Monday,9,35.23,35.23,33.98,34.32,2152.39,0.20437956204379937
2000-10-10,2000,Tuesday,10,34.23,34.43,33.63,33.74,2105.06,-1.68997668997668
2000-10-11,2000,Wednesday,11,33.72,33.72,32.98,33.24,1922.4,-1.4819205690574933
2000-10-12,2000,Thursday,12,33.14,33.67,32.48,32.93,4857.98,-0.9326113116726931
2000-10-13,2000,Friday,13,32.7,32.7,31.84,31.97,4355.92,-2.915274825387193
2000-10-16,2000,Monday,16,32.76,33.42,30.81,30.9,5852.58,-3.346887707225521
2000-10-17,2000,Tuesday,17,30.8,31.35,29.95,30.37,8635.21,-1.7152103559870513
2000-10-18,2000,Wednesday,18,30.25,30.45,29.6,30.03,3130.89,-1.1195258478761905
2000-10-19,2000,Thursday,19,29.77,31.04,28.9,31.02,3947.17,3.296703296703285
2000-10-20,2000,Friday,20,31.05,31.56,29.71,29.78,7080.74,-3.997421018697611
2000-10-23,2000,Monday,23,29.9,30.0,28.56,28.92,4042.39,-2.8878441907320362
2000-10-24,2000,Tuesday,24,28.99,29.69,28.7,29.53,3783.61,2.109266943291832
2000-10-25,2000,Wednesday,25,29.55,30.55,29.39,30.4,4265.69,2.946156451066706
2000-10-26,2000,Thursday,26,31.09,31.09,30.7,30.77,817.81,1.2171052631579027
2000-10-27,2000,Friday,27,30.89,31.11,30.22,30.62,2261.67,-0.4874878128046767
2000-10-30,2000,Monday,30,30.6,31.16,30.21,30.33,2975.9,-0.9470934030045841
2000-10-31,2000,Tuesday,31,30.31,30.6,29.65,30.52,4521.02,0.6264424662050905
2001-10-01,2001,Monday,1,26.98,27.28,25.52,26.21,8500.88,-2.0553064275037447
2001-10-03,2001,Wednesday,3,26.17,26.35,24.37,24.78,4999.71,-5.455932850057232
2001-10-04,2001,Thursday,4,25.04,25.76,24.53,24.89,7858.59,0.44390637610975947
2001-10-05,2001,Friday,5,25.17,25.97,24.52,25.38,3142.83,1.9686621132985138
2001-10-08,2001,Monday,8,24.66,25.73,24.36,25.51,4152.22,0.5122143420015934
2001-10-09,2001,Tuesday,9,25.62,25.97,25.08,25.44,5216.19,-0.27440219521756015
2001-10-10,2001,Wednesday,10,25.32,26.53,25.32,25.85,3777.28,1.6116352201257955
2001-10-11,2001,Thursday,11,25.67,27.15,25.67,26.63,3692.9,3.017408123791099
2001-10-12,2001,Friday,12,27.08,27.46,26.79,26.93,4177.16,1.1265490048817162
2001-10-15,2001,Monday,15,26.88,27.86,26.48,27.64,2892.28,2.636464909023406
2001-10-16,2001,Tuesday,16,27.5,27.88,27.31,27.43,2640.23,-0.759768451519538
2001-10-17,2001,Wednesday,17,27.93,28.88,27.69,28.66,2748.47,4.484141450966095
2001-10-18,2001,Thursday,18,28.19,28.29,27.45,27.67,1853.99,-3.4542916957431946
2001-10-19,2001,Friday,19,27.73,28.09,27.5,27.93,1885.37,0.9396458258041029
2001-10-22,2001,Monday,22,28.17,28.44,27.2,27.38,1881.94,-1.9692087361260269
2001-10-23,2001,Tuesday,23,27.58,27.97,27.49,27.67,1236.14,1.0591672753835102
2001-10-24,2001,Wednesday,24,27.88,27.94,26.56,26.72,2194.62,-3.4333212865919838
2001-10-25,2001,Thursday,25,26.76,27.11,26.33,26.56,1119.5,-0.5988023952095856
2001-10-29,2001,Monday,29,26.98,27.19,25.97,26.16,1449.67,-1.5060240963855387
2001-10-30,2001,Tuesday,30,25.69,25.96,25.28,25.42,1594.36,-2.828746177370023
2001-10-31,2001,Wednesday,31,25.17,25.94,25.03,25.71,4077.9,1.1408339889850572
2002-10-01,2002,Tuesday,1,26.06,26.06,25.15,25.22,1111.69,-3.0000000000000027
2002-10-03,2002,Thursday,3,25.19,25.19,24.22,24.38,3275.64,-3.3306899286280722
2002-10-04,2002,Friday,4,24.36,24.36,23.66,23.72,2482.46,-2.7071369975389725
2002-10-07,2002,Monday,7,23.66,24.33,23.66,24.15,1108.55,1.8128161888701477
2002-10-08,2002,Tuesday,8,24.26,24.54,24.16,24.38,692.61,0.952380952380949
2002-10-09,2002,Wednesday,9,24.5,24.51,23.92,23.97,737.46,-1.6817063166529977
2002-10-10,2002,Thursday,10,23.36,24.1,23.36,23.85,750.92,-0.5006257822277704
2002-10-11,2002,Friday,11,23.96,24.39,23.96,24.12,719.85,1.132075471698113
2002-10-14,2002,Monday,14,24.16,24.49,24.16,24.36,375.56,0.995024875621886
2002-10-16,2002,Wednesday,16,24.52,24.87,24.36,24.52,1042.22,0.6568144499178974
