Date,Year,Weekday,Day_of_Month,Open,High,Low,Close,Volume,Daily_Return
2000-09-04,2000,Monday,4,33.33,35.92,33.33,35.91,9627.21,5.835543766578244
2000-09-05,2000,Tuesday,5,35.92,36.18,35.52,35.81,3692.16,-0.2784739626844779
2000-09-06,2000,Wednesday,6,35.74,36.84,35.43,36.51,12088.43,1.954761239877123
2000-09-07,2000,Thursday,7,36.44,37.33,36.26,36.39,6893.98,-0.32867707477403085
2000-09-08,2000,Friday,8,36.26,37.75,36.26,37.64,6377.16,3.4350096180269407
2000-09-11,2000,Monday,11,38.18,38.96,37.65,38.71,8895.11,2.842720510095642
2000-09-12,2000,Tuesday,12,38.76,39.26,38.35,38.79,6730.0,0.2066649444588009
2000-09-13,2000,Wednesday,13,38.66,39.16,37.46,37.9,8181.17,-2.294405774684194
2000-09-14,2000,Thursday,14,37.95,38.33,37.57,37.99,3102.44,0.23746701846967255
2000-09-15,2000,Friday,15,37.85,38.05,36.37,36.73,4376.94,-3.3166622795472667
2000-09-18,2000,Monday,18,35.33,36.64,34.74,34.83,3621.44,-5.17288320174244
2000-09-19,2000,Tuesday,19,34.73,35.54,33.72,34.25,5476.99,-1.6652311225954564
2000-09-20,2000,Wednesday,20,34.33,35.23,33.95,34.87,3498.14,1.810218978102185
2000-09-21,2000,Thursday,21,34.74,35.23,34.44,34.98,2933.79,0.3154574132492094
2000-09-22,2000,Friday,22,34.93,34.93,33.63,33.7,4859.23,-3.6592338479130793
2000-09-25,2000,Monday,25,34.43,35.22,34.04,34.56,3771.45,2.5519287833827953
2000-09-26,2000,Tuesday,26,34.58,34.7,34.04,34.58,3087.03,0.05787037037034981
2000-09-27,2000,Wednesday,27,34.43,35.7,33.63,35.68,6358.13,3.1810294968189767
2000-09-28,2000,Thursday,28,35.72,35.73,34.63,34.84,4446.67,-2.354260089686089
2000-09-29,2000,Friday,29,34.92,35.23,34.33,34.49,3825.19,-1.0045924225028702
2001-09-03,2001,Monday,3,31.22,31.65,31.18,31.49,583.94,0.8648302370275474
2001-09-04,2001,Tuesday,4,31.16,31.86,31.07,31.67,993.37,0.5716100349317355
2001-09-05,2001,Wednesday,5,31.52,31.8,31.17,31.34,619.07,-1.0419955794127023
2001-09-06,2001,Thursday,6,31.41,31.8,31.11,31.36,958.62,0.06381620931716903
2001-09-07,2001,Friday,7,31.21,31.3,30.77,30.99,1009.92,-1.1798469387755084
2001-09-10,2001,Monday,10,30.9,31.11,30.5,30.61,627.71,-1.226202000645371
2001-09-11,2001,Tuesday,11,30.7,30.88,30.5,30.71,811.28,0.32669062397909787
2001-09-12,2001,Wednesday,12,29.29,30.35,28.44,30.15,1724.5,-1.8235102572452089
