Metric,Value
Mean Daily Return (%),0.0847508328023498
Median Daily Return (%),0.06405046024460237
Std Dev (%),2.0615066554053776
Skewness,0.2039616065279081
Kurtosis,7.361516656150603
Annualized Return (%),21.35720986619215
Annualized Volatility (%),32.72540361784294
Sharpe Ratio,0.4692748803201591
Sortino Ratio,0.6756125793097946
Max Drawdown (%),-68.42686754551161
Calmar Ratio,0.31211731052845854
VaR 95% (%),-2.974020486057107
VaR 99% (%),-5.338091136571349
CVaR 95% (%),-4.569276891754646
CVaR 99% (%),-7.7333577711429635
Win Rate (%),51.741293532338304
Avg Win (%),1.4731704938473924
Avg Loss (%),-1.4093124343271048
Win/Loss Ratio,1.0453114993984833
Max Win Streak,11.0
Max Loss Streak,9.0
CAGR (%),17.113713703183752
