Year,Return (%)
2000,34.37007874015756
2001,-9.991210079109358
2002,-2.4414062500001332
2003,92.45912579245923
2004,-6.830790568654665
2005,66.65426125790827
2006,75.63644484144727
2007,126.78957406230165
2008,-57.29943376128281
2009,77.10234359614003
2010,-2.8578842019422956
2011,-34.5251268744992
2012,21.102628358295703
2013,6.636188642925767
2014,-0.4061555124326932
2015,13.625447460238327
2016,6.667730100494684
2017,70.5473306415432
2018,21.7151124556096
2019,35.06051437216342
2020,32.326545852168834
2021,19.323209013130782
2022,7.602526856293479
2023,1.4386625853544555
2024,-5.956222000417877
2025,24.283187296885945
